まさに,生きた化石
男,──あ、はい！。分かってます！もちろん！今月中には！。大丈夫です、プロフェッショナルを雇うことに決めましたから……。“Ｇ”ならまちがいなく大丈夫ですよ。くそっ……“Ｇ”め。もうすぐ待ち合わせ時刻だというのに、一向に現れない……。まさか、すっぽかすつもりなんじゃ……
ゴキブリ,俺ならば、すでに来ている……
男,うわっ！？いつの間に！？
ゴキブリ,用件を聞こうか……
男,まさか、コイツが“Ｇ”！？。ウワサじゃゴキブリのようなプロフェッショナル、と聞いてたが──。まさか、“本物のゴキブリ”だったとはな。しかも、言葉を話すときてる。いったい何者なんだ、アンタ？
ゴキブリ,俺が何者かどうかは、俺の依頼遂行能力に関わりのないことだ……
男,そりゃあそうだけどよ……
ゴキブリ,無駄話はもういい……用件に入ってもらおう
男,わ、分かった……。アンタにやってもらいことは、ある飲食店への嫌がらせだ
ゴキブリ,…………
男,その店の地図と写真は──
ゴキブリ,ゆっくりだ……ゆっくりと出せ
男,わ、分かったよ。これが店の地図と写真だ
ゴキブリ,…………
男,この店をアンタの力で嫌がらせして、客が全く入ってこないようにして欲しい！。一週間以内に頼む！
ゴキブリ,引き受ける前に、理由を聞かせてもらおうか……
男,……実はあの店はひでえ店なんだ。俺は一度あそこで食中毒になって文句をいったんだが、知らぬ存ぜぬでよ。結局うやむやにされちまった……。な、頼む！この俺の恨みを晴らしてくれ！
ゴキブリ,…………。今の話……嘘はないだろうな？。俺は依頼人の嘘や裏切りを一切許さない……
男,も、もちろん本当だ！引き受けてくれ、頼むっ！
ゴキブリ,分かった……やってみよう……
男,おおっ！
ゴキブリ,みずほ銀行の指定の口座に、現金キャッシュ。行動に移る……
男,き、消えた……！。よぉし、これで……あの店は……
店主,お～い、生姜焼き定食！できたぞぉ～！
娘,はぁ～い！
客Ａ,安くてウマイ！この店はホント最高だぜ！
客Ｂ,まったくだ。店主と娘ちゃんもよくやってるしな
女性客,きゃああああっ！
客Ａ,なんだなんだ！
客Ｂ,どうしたんだ？
女性客,味噌汁の中にゴキブリが入ってきたのよ！
ゴキブリ,…………
娘,なんですって！？
店主,も、申し訳ありません！
女性客,まったくもう、冗談じゃないわ！。帰らせていただくわ！
娘,申し訳ありません！
店主,大変申し訳ありませんでした！
客Ａ,なぁ～に、大げさなんだよゴキブリぐらいで！気にすんな！なぁ！？
客Ｂ,そうそう、メシ扱ってるんだ。こういうこともあるさ
娘,ええ、でも……。害虫対策は信頼できる業者さんに頼んで、万全なはずなのに……どうして……
ゴキブリ,…………
客Ｃ,うわぁっ、ゴキブリだ！
客Ｄ,ひぃぃっ、こっちに飛んできた！
ゴキブリ,…………
客Ｃ,なんだよ、この店！もうこんな店、いられないよ！
客Ｄ,帰ろうぜ！
店主,も、申し訳ありません！
娘,ま、またなの！？
店主,うっ！？。仕込みや、作ってる最中の料理に、ゴキブリが次々に体をくっつけている！。コラッ、あっち行けっ！。このっ！
ゴキブリ,…………
店主,なんてすばしっこいんだ！こんなゴキブリ見たことないぞ！？。くそっ、もうこれらの料理は廃棄するしかない……。ええい、今日は休業だ！
娘,ごめんなさい、事故があって料理を用意できなくなってしまって……
客Ａ,えぇ～、残念だなぁ
客Ｂ,仕方ない、他行こう
娘,本当にごめんなさいっ……。どうして急にゴキブリが出てきたのかしら……
ゴキブリ,…………
店主,もうダメだ……どんどん客足が遠のいて……
娘,お父さん、諦めないで！。きっとこれは……だれかの嫌がらせよ！
店主,嫌がらせって、どうやってだ？。ただ単にゴキブリをばら撒くんならともかく。ゴキブリがまるで意志を持ったかのように、仕事のジャマをしてくるんだぞ！。こんなもの、もう呪いかなにかとしか思えない！。もうダメだ……この店は……
娘,お、お父さん……。でもお父さんのいうとおり……あのゴキブリの動きは賢すぎるわ……。もしもし。あ、あなたは！。あのゴキブリは、さてはあなたの仕業ね！？。ああっ……
男,クックック、さすがは超Ａ級のプロフェッショナル……。あっという間に、あの店を閑古鳥が鳴くほどにするとはな……。これであの土地をかなり有利な条件で買いたたけるはずだ……。あの立地ならパチンコ、キャバクラ、裏カジノ……なんでもござれだ。これで組長も、もっと俺を取り立ててくれるはず──
ゴキブリ,…………
