ククイ,……………。だ、誰だお前は…
ドフラミンゴ,フフフ…。声を出すな、誰も呼ぶな。おれはドンキホーテ・ドフラミンゴ。海賊だ！
サトシ,アローラ…
ピカチュウ,ピッカー
マオ,サトシ！アローラ！って……
カキ,どうしたサトシ、元気が無いみたいだな？
リーリエ,体の具合でも悪いのですか？
スイレン,心配…
サトシ,実はさ……昨日からククイ博士が何処にもいないんだよ
マオ,え！？
マーマネ,博士が！？
リーリエ,な、何故ですか！？
サトシ,………俺が聞きたいよ…
スイレン,サトシ…
ナリヤ,みんな席につきなサイドン
全員,！
マオ,校長！
サトシ,校長先生！実はククイ博士が…
ナリヤ,ああ、ククイくんから昨日から旅行じゃ
サトシ,………は？
カキ,旅行だと！？
スイレン,サトシに何も言わないで！？
ロトム図鑑,それはおかしな話ロト
ナリヤ,今日はククイくんが旅行に行ってる間の代わりの担任の先生を連れてきたのじゃ
サトシ,か、代わり！？
ピカチュウ,ピッカー
ナリヤ,………入ってきなさい
ドフラミンゴ,フフフ
全員,！
ドフラミンゴ,アローラ！諸君！
全員,！？
ドフラミンゴ,おれがククイ博士の代わりに君たちの担任になるドンキホーテ・ドフラミンゴだ。気軽にドフィ先生と呼んでくれ！
マオ,で、でっかい……
カキ,………ピンクのフサフサコートにグラサン……
マーマネ,どうみても普通の人じゃないね……
スイレン,怪しい…
リーリエ,わ、私、怖いです……
サトシ,うぉー！なんか凄そうな人だなぁ！
ピカチュウ,ピー！
ロトム図鑑,サトシ……
ドフラミンゴ,フフフ
>サトシ,うぉー！なんか凄そうな人だなぁ！
ドフラミンゴ,………………
ロトム図鑑,！？
マオ,あ
スイレン,い
カキ,う
マーマネ,え
リーリエ,お
ドフラミンゴ,フフフ
サトシ,お、おい！みんな！急に倒れてどうしたんだよ！
ピカチュウ,ピー！
ドフラミンゴ,！
ロトム図鑑,さ、サトシ！あれは"覇気"ロト！
サトシ,ハキ？
ナリヤ,こ、これドフラミンゴくん！いきなり生徒に向けて覇気を放ってはならん！
ドフラミンゴ,フフフ…すまねェ校長、気をつけるよ
サトシ,みんなー！
ドフラミンゴ,(にしてもこの小僧…)
サトシ,？
ドフラミンゴ,なかなか見込みあるじゃねェか…？
サトシ,え？
ピカチュウ,ピ？
サトシ,なぁドフィ！俺にもハキを教えてくれよ！
ピカチュウ,ピッカー！
ドフラミンゴ,フフフ
サトシ,なぁなぁドフィ～！
ドフラミンゴ,サトシ……つったか？出は？
サトシ,え？。カントーのマサラタウンだけど？
ドフラミンゴ,………マサラタウンあのド田舎か…フフフ
サトシ,ば、馬鹿にしてるのかよぉ！
ドフラミンゴ,フフフ…すまねェすまねェ。いいさ、覇気を教えてやるよ？お前は素質がありそうだしなァ
サトシ,マジ！？
ドフラミンゴ,フフフ、その代わり死ぬほど厳しいぞ？
サトシ,やったー！
ピカチュウ,ピッカー！
ドフラミンゴ,フフフ。ところでサトシ
サトシ,え？
ドフラミンゴ,何処につれていく気だ？俺ァガキの相手をしている程暇じゃないぜ？
サトシ,あっ！ごめん！もうすぐつくから！
ドフラミンゴ,？。おい、こんなとこにいったいなにが……。……泡？。！？
マオ、スイレン、リーリエ,アローラサプラーイ…………
ドフラミンゴ,……………
