兵士A,こ、これは……ッ！
兵士B,ああああ……ッ！
兵士C,闇魔術師様、あなたに仕えます……
闇魔術師,フハハハハハ……！。我が黒き雷を喰らった者は、みな下僕となるのだ！
国王,――というわけなのじゃ
賢者,なるほど……
国王,これまで幾人もの兵士や術士が、奴の下僕にされてしまっておる。どうか、ヤツを倒して欲しい！
賢者,かしこまりました。“王国一の魔法使い”の異名にかけて必ずや闇魔術師を仕留めます！。闇魔術師か……。恐るべき黒い雷の魔法を使うらしいが、しょせん私の敵ではない。必ずやこの私が仕留めてくれる！。貴様が闇魔術師か
闇魔術師,ククク、待っていたぞ……王国一の魔法使い
賢者,それを知っていてなお、一対一に応じるとは……。よほど自分に自信があるようだ
闇魔術師,お前も我が雷で、下僕にしてくれよう！
賢者,いくぞ！
闇魔術師,ゆくぞ！
賢者,雷よ！天より轟いて、罪人に罰を与えよ！
闇魔術師,雷よ！全てを引き裂く剣となり、我が敵を打ち砕け！。ぐうっ……！
賢者,ふん……やはりこの程度か。だが、今のが全力ではないだろう？黒き雷とやらを見せてみろ
闇魔術師,……よかろう
賢者,黒い雷の魔法など聞いたことないが、このシールドはいかなる魔法でもはね返す！。こうすれば、どんな魔法かを学習し、なおかつ勝つことができる！
闇魔術師,我が黒き雷を喰らえッ！
賢者,！？。なんだ、この茶色い固まりは……！？。いい匂いがする……。どれ、ちょっと食べてみるか……
闇魔術師,……
賢者,！！！。な、なんだこのサクサクした歯ごたえは……！？。さっぱりしていて、なおかつ濃厚な甘み……！。たまらん！もっと……もっと食べたい！
闇魔術師,ククク……しかも、値段はたったの30え……30ゴールドだ
賢者,30ゴールド！？
闇魔術師,どうだ……我が下僕となれ。そして駄菓子市場の制圧を手伝うのだ。さすれば、好きなだけこの菓子を食わせてやろう
賢者,なりますなります！私を下僕にして下さい！
闇魔術師,ククク……フハハハハハハッ！。我が黒き雷……ブラックサンダーは無敵だ！
