女勇者,まぁ、魔王も倒しちゃったし、いらないって言えばいらないかな
女僧侶,世界も平和になるでしょうしね
商人,でしょ？だから私に売ってくれないですか？
勇者,ん～、私は別にいいけどねー。一緒に戦った仲間だし
僧侶,戦士さんどうです？
女戦士,別にいいんじゃね？あたしもまぁ剣は捨てようかと思ってるし
勇者,ありゃ意外、このあとどうするの？
戦士,まー故郷に帰ってから考えるよ
商人,では武具や道具は私が引き受けるということで
僧侶,商人さんに旅の資金や道具の管理してもらってましたからね
商人,あざーっす！それで旅で残った資金なんですが、現金がこれくらいでして
勇者,お・・・・・・おお
戦士,すげぇ・・・・・・
僧侶,こ、こんなに！？
商人,おっとソロバンの桁が一つ低かったです。これだけです
勇者,おわっ！
戦士,こりゃ城が帰るんじゃね！？
僧侶,あわわ・・・・・・
商人,いやぁ、魔物からも魔王軍からもたくさんいただきましたからねー。それを山分けして一人これだけです
勇者,すごい・・・・・遊んで暮らせる・・・・・・
戦士,やばっ、興奮してきた
僧侶,あわわわわっ
商人,で、私が管理してた武具や道具ですが、馬車と倉庫合わせてこれだけありますので。道具屋などへ卸す価格で買い取らせてください。伝説級のものにはこれだけ払います。それで、最終的な山分け価格はこれでどうでしょう？
勇者,え？これじゃ・・・・・・
戦士,商人、お前全然金残らないじゃん
僧侶,い、いいんですか？
商人,ええ、これでよろしければ
勇者,でも、平和になるんだし武具なんて売れなくなるんじゃ・・・・・・
商人,安心してください。これでも私は商人です。勝算はあります
戦士,商人がいいって言うんならいんじゃね？
僧侶,ど、どうもありがとうございます
商人,では、現金はみなさんに、商品は私にということで
戦士,うわっ、おもっ
僧侶,こんなお金はじめてみました
勇者,よ、よぉし！遊んでくらせるぞぉ！
商人,あまり無駄遣いはよくありませんよ
勇者,大丈夫だよ。私達王様からもなんかご褒美もらえるだろうしね
戦士,あたしも楽しみだなー
僧侶,ですねー
商人,それでは私はこれで
勇者,もういっちゃうの？
商人,ええ、時は金なりと申しまして。商品は早さが命です
戦士,そっか、じゃ、がんばれよ
僧侶,また会いましょう
商人,お元気で。よぉし・・・・・・念願の伝説の武具を手に入れたぞ。しかも魔王討伐したという勇者印・・・・・・これは売れる！。どうやって売ろうかなぁ・・・・・・まずは安めのものからさばいていくかなぁ。聖王の遺産とかアイスソードとか伝説級のは王族関係の方のほうが高くうれそうだ。ふふふふふっ。とりあえずここにしますか。まずは根回しを・・・・・・
町長,ほぅ、よろず屋を開きたいと
商人,はい、お願いします
町長,しかし、お貸しできるような店舗はございませんが・・・・・・
商人,いえ、馬車で露店を開くつもりですので
町長,そうですか、商店会の了解もとりませんとなりませんし・・・・・・
商人,それは私が自分で回りますので、あとこれはつまらないものですが
町長,いや、こんなものはありがとう
商人,それではよろしくおねがいします。だいたいのお店は回ったかな？ん？あそこの武具屋だけ回っていなかったかな
武具屋,おう、いらっしゃい
商人,あ、お客じゃないんです。すみません
武具屋,だろうな
商人,え？なんでです？
武具屋,いや、もう最近魔物が減っちまってな・・・・・・もう店たたもうかと思ってんだよ、はぁ・・・・・・。勇者だかなんだかしらねーが、こっちは商売あがったりだぜ
商人,いや、はや、それは申し訳ないです
武具屋,なんであんたが謝るんだよ
商人,まぁ、これでも飲んで元気出してください
武具屋,お、おお！こりゃ魔界近くの町じゃねーと手に入らない一級品の酒じゃねーか！
商人,近くでお店開かせていただくのでご挨拶がわりにどうぞ
武具屋,店？
商人,ええ、ほらっ、あそこ？
武具屋,あんっ？あんなちっぽけな屋台みてーなのか？
商人,はい
武具屋,ふーん、ま、いいんじゃね？酒ありがとよ！がんばりな！
商人,はい、お互いがんばりましょうね
武具屋,あれじゃがんばるったってしれてるけどな！ははは
