ある人は,私より可愛いなんて
母は勉強する僕を見て,子供を間違えた
帰宅しテストの点を見せると,あたしの子だ
元々同級生ではあるが,そういう人がいる
数秒の間の後に,欲求不満じゃない？
僕が,殴られるのは嫌だ
僕は,ああ、屋根裏部屋があるのだな
そして表示されている,あと１回です
けれどどうにも,よわくてニューゲーム
他の二つは押すと,クリアデータです
その後には,おもいで
そして,みる
僕は,みる
すると,クリアデータです
そこには,しゃしん
最下段。右下に,100/100
僕は最下段にある,おわる
続けて途切れ途切れの声で,なた
そこには,おわる
僕は固唾を飲みながら,おわる
その話をすると,遅れてるなあ
三日くらいは,忙しそうだなあ
しかし前述に,人の噂も七十五日
母から書き置きで,油を買ってきて
と僕はそう声をかけてみたが,あ
そっか。僕はさも,見てませんよ
どちらかというと,ああ、ようやく嫌われてしまったか
さて、いくら,遊んでいただけです
推測は確信に代わって,熱心な指導
校舎裏まで,友達です
小学校の同級生が,あいつ気味悪い
それを告げると,石鹸の匂いさせてる女よりずっとましよ
低い声で,ああ。絶対だ
午前十一時に着くと,美味い飯連れてってやるよ
しかし,守秘義務
その姿をみて,すごいねえ
と、ここで僕は,失恋した
…僕が選ぶのは,つよくてニューゲーム
彼は僕が忘れているか確認していたのだ。,まだ、ご存知でない？
ならば,すれ違った
そうだ。彼は言った。,人生を確定させてほしい
それに,つよくてニューゲーム
母は,ふっ
そして後から僕がきて、手短に,要件
