第一話,サイヤ人襲来と１０００人のヤムチャ
次話,サイバイマン６人対ヤムチャ９６１人
第二話,サイバイマン６人対ヤムチャ９６１人
次回,ナッパ出撃、迎え撃つヤムチャ９５３人
第三話,ナッパ出撃、迎え撃つヤムチャ９５３人
次話,炸裂？９４２人狼牙風風拳
第四話,炸裂？９４２人狼牙風風拳
次話,悟空復活？うかれるヤムチャ９４２人
第五話,悟空復活？うかれるヤムチャ９４２人
次話,ピッコロ散る、あざ笑うヤムチャ９４１人
第六話,ピッコロ散る、あざ笑うヤムチャ９４１人
次話,動きはじめた帝王、まだ動かないヤムチャ９０４人
第七話,動きはじめた帝王、まだ動かないヤムチャ９０４人
次話,元気玉とヤムチャ９０１人
第八話,元気玉とヤムチャ９０１人
次話,決まるか元気玉、及び暴発する操気弾８９５発
第九話,決まるか元気玉、及び暴発する操気弾８９５発
次話,幕切れ、生き残ったヤムチャ７８２人
第十話,幕切れ、生き残ったヤムチャ７８２人
ベジータはそう言い捨てると宇宙船に乗り込み、宇宙,そら
次話,ナメック星に向かうヤムチャ７７９人
第十一話,ナメック星に向かうヤムチャ７７９人
次話,氏闘！！キュイｖｓヤムチャ６４＋７１５人
第十二話,氏闘！！キュイｖｓヤムチャ
次話,危険がいっぱい！！ヤムチャはいっぱいいっぱい６４＋７１５人
第十三話,危険がいっぱい！！ヤムチャはいっぱいいっぱい
次話,ナメック星のヤムチャ、地球のヤムチャ６４＋７１５人
第十四話,ナメック星のヤムチャ、地球のヤムチャ
３人までに減っていた。,残りは氏亡。
次話,ザーボンの恐怖とヤムチャ６４＋６９７人
第十五話,ザーボンの恐怖とヤムチャ
次話,限界を超えたヤムチャたち６４＋６９７人
第十六話,限界を超えたヤムチャたち
次話,たった一人の救出作戦６３＋６９７人
第十七話,たった一人の救出作戦
次話,揃ったドラゴンボールとまだ揃わないヤムチャたち６３＋６９７人
第十八話,揃ったドラゴンボールとまだ揃わないヤムチャたち
次話,近づくギニュー特戦隊と最近出番がなくて怒るヤムチャたち５８＋６９７人
第十九話,近づくギニュー特戦隊と最近出番がなくて怒るヤムチャたち
次話,ギニュー特戦隊の恐怖と本当に出番がこないヤムチャたち５８＋６９７人
第二十話,ギニュー特戦隊の恐怖と本当に出番がこないヤムチャたち
次話,戦慄！！グルドｖｓヤムチャたち５７＋６９７人
第二十一話,戦慄！！グルドｖｓヤムチャたち
次話,リクーム出撃、見守るヤムチャたち５３＋６９７人
第二十二話,リクーム出撃、見守るヤムチャたち
次話,接近する悟空とヤムチャたち５２＋６９７人
第二十三話,接近する悟空とヤムチャたち
次話,悟空か？ヤムチャか？４６＋６９７人
第二十四話,悟空か？ヤムチャか？
が、もちろんダメージなど与えることはできない。,はっきりいって全然効いてないんだけど・・・
リクームはそう答えた。,はあはあ、あいさつって言っただろ。これからが本番だ、覚悟しな。
肩で息をしながらヤムチャはそう強がった。,んじゃ、こっちもあいさつしなきゃね。
そこからリクームを挑発した。,俺はまだ戦えるぞ、さあ来い。
次話,ナメック星だよ全員集合４６＋６１６人
第二十五話,ナメック星だよ全員集合
氏んだ。,おい、リクームの奴やられちまったぞ。
次話,パワーアップした悟空、何も変わっていないヤムチャたち６６０人
第二十五話,パワーアップした悟空、何も変わっていないヤムチャたち
向かってきた。悟空たちも身構えたそのとき、,あばよ。
いった。一瞬あっけにとられる悟空とヤムチャ。,スキありーっ！！
次話,ギニュー特戦隊ｖｓ悟空＆ヤムチャ６５８人
第二十六話,ギニュー特戦隊ｖｓ悟空＆ヤムチャ
削りとっていく。,くそっ！！
ヤムチャに向かってエネルギー弾を放った。,クラッシャーボール！！
戦闘不能で地面に倒れていたのだ。そしてギニューは、,信じられん・・・じゅ、１８万だと！！
次話,逆襲のギニュー隊長とヤムチャたち６５８人
第二十七話,逆襲のギニュー隊長とヤムチャたち
感じた。,みんな隠れるんだ！
姿を見せた。,なんだ悟空か・・そいつも仲間にしたのか？
ニヤリと笑った。,クリリンさーん、そいつはお父さんじゃない！！
次話,俺がヤムチャでヤムチャが俺で６５５人
第二十八話,俺がヤムチャでヤムチャが俺で
力を貸してくれぇ、ヤムチャは最後の力を振り絞りふたたび立ち上がった。,邪魔だ、地球人！！
完璧な攻撃であったので、しだいに悟空のダメージは深くなっていった。,このさい全員ブチ頃す！！
次話,人はそれをヤムチャと呼ぶ６５３人
第二十九話,人はそれをヤムチャと呼ぶ
さそうと攻撃の態勢に入ったとき、追い詰められたはずのギニューは笑った。,いただくぞ、そのカラダ！
痛みに耐えられず、すぐにショック氏した。,くそっ、次こそは！チェーンジ！！
できねえ。見逃してやってくれ。」,これからのてめえの人生を考えると同情するぜ。
次話,戦士たちの休息、ヤムチャたちも休息６５２人
第三十話,戦士たちの休息、ヤムチャたちも休息
次話,天までとどけ！？ヤムチャたちの願い６５２人
三十一話,天までとどけ！？ヤムチャたちの願い
悟飯があることに気づいた。,しまった！ヤムチャさんたちに気づかれた！！デンデ早く！！
声だった。,とりあえずそれらしく適当に言ってみたりして。
次話,さらば！ブルマ、戦士ヤムチャ散る６４６人
第三十二話,さらば！ブルマ、戦士ヤムチャ散る
叫んだ。,ここまでコケにされたのは初めてですよ。許さんぞ、許さんぞ、この虫ケラどもが！！
次話,追いつめられたフリーザ、ギニュー特戦隊βの恐怖６１１人
第三十三話,追いつめられたフリーザ、ギニュー特戦隊βの恐怖
次の瞬間、みんなの前に見知らぬヨボヨボの老人が立っていた。,とめひゅぎた・・フゴッ！！
していた。そのときベジータが言った。,変身しろ、フリーザ。
次話,そして誰もいなくなった・・・６０９人
第三十四話,そして誰もいなくなった・・・
回復した悟飯、そしてクリリンがフリーザと向き合った。そのときあの男がやって来た。,ピッコロさん！！
次話,激突！天下分け目の超決戦。ミスターポポｖｓ発狂ヤムチャ５３０人
第三十五話,激突！天下分け目の超決戦。ミスターポポｖｓ発狂ヤムチャ
次話,まともなヤムチャとだめヤムチャ５３０人
第三十六話,まともなヤムチャとだめヤムチャ
次話,ヤムチャの自信、最長老の贈り物５１３人
第三十七話,ヤムチャの自信、最長老の贈り物
次話,ごめんよ、ベジータを頃したのは勢いだったんだ５１３人
第三十八話,ごめんよ、ベジータを頃したのは勢いだったんだ
ナッパのパンツのゴムが切れた。,不吉な・・・、まさか仲間がっ！！
次話,ヤムチャの切り札５１２人
悟空超サイヤ人化,ヤムチャのことか・・・ヤムチャのことかーーっ！！
