剣崎一真(ブレイド),ｹﾝｼﾞｬｷｶｽﾞﾊﾞﾄﾞｨｽ
橘朔也(ギャレン),ｻﾞﾖﾞｺﾞｫｫｫｫｵ!!
天道総司(カブト),天の道を行き総てを司る男だ
神代剣,サソード
左翔太郎(ダブル),この町の涙を拭う二色のハンカチだ
火野映司(オーズ),パンツ
操真晴人(ウィザード),絶望
てつを,仮面ライダー、ﾌﾞﾗｧｯ！
野上良太郎(電王),あ、あの、野上、良太郎…です
面接官,では野上さん。あなたの座右の銘を教えてください
良太郎(電王),最初からクライマックスだぜ！
面接官,で、では皆さんにも聞きます。座右の銘があれば言ってください
東條悟(タイガ),英雄
橘朔也(ギャレン),ｻﾞﾖﾞｺﾞｫｫｫｫｵ!!
天道(カブト),天のry
剣(サソード),頂点
剣崎,ブレイド
てつを,仮面ライダー、ﾌﾞﾗｧｯ！
矢車想,キックホッパー
葛葉紘汰,鎧武
駆紋戒斗,バロン
呉島光実,龍玄
呉島貴虎,斬月
良太郎,電王
笛木奏,白い魔法使い
神崎士郎,妹
草加雅人,カイザ
海堂直也,ショタ
相川始(カリス),幼女
面接官,これは酷い、というか座右の銘の意味知らない奴多すぎだろ。では自己ＰＲ等、あればどうぞ
城戸真司,龍騎
浅倉威,王蛇
草加雅人,カイザ
剣崎(ブレイド),ﾃﾞｨｮﾙｼｮｳﾞｧﾍﾞｲﾄﾞﾙｶｲｶﾂﾞﾃﾞｨﾙﾗｵﾎﾞﾃﾞﾄﾞﾅｲｾｲｶｸﾞﾃﾞｨｱﾞﾄﾞｩｺﾄﾞｩ､ﾀﾞﾝｼｮｳﾞｧﾑｸﾖﾙﾃﾞｨｱﾞﾀﾞﾊﾞﾃﾞｨﾃﾞｨｶﾞﾄﾞﾎﾞﾃﾞｨｬｽﾞｲｺﾄﾞｩﾃﾞｨﾋﾞｨﾄﾞｩｦﾀﾞｽﾞｹﾄﾞｩｼｺﾞﾄﾞｩｶﾞｼﾀﾞｲﾃﾞｨｽ
橘(ギャレン),ｻﾞﾖﾞｺﾞｫｫｫｫｵ!!
上城睦月,レンゲル
白井虎太郎,牛乳牛乳牛乳牛乳牛乳牛乳牛乳牛乳牛乳牛乳牛乳牛乳牛乳牛乳牛乳牛乳牛乳牛乳牛乳牛乳牛乳牛乳牛乳牛乳牛乳
天道,カブト
剣,サソード
良太郎,電王
翔太郎,ダブル
映司(オーズ),パンツ
晴斗,ウィザード
面接官,誰か、誰かつっこみ役を追加してくれ。ってか自己ＰＲの意味知ってんのかこいつら。あ、あなたはよろしいのですか？
乾巧,ファイズ
面接官,…
巧,ファイズ
面接官,…あの、他には
巧,ファイズ
面接官,…そ、そうですか
草加,カイザ
巧,ファイズ
草加,カイザ
面接官,なんでって！それは本当かい？
てつを,おのれゴルゴム！ゆﾞるﾞさﾞんﾞ！！！！
鳴滝,おのれディケイドぉぉぉぉぉおおおお
面接官,で、では…えと、特技…なんかは
真司,龍騎
龍騎出演ライダーズ,以下同文
神崎,時間を巻き戻せます
剣崎,ブレイド
橘(ギャレン),ﾊﾞｰﾆﾝｸﾞｻﾞﾖﾞｺﾞｫｫｫｫｵ!!
始,カリス
海堂,ショタのためなら命をはれる
神崎,妹のためなら
天道,カブト
笛木,白魔
巧,ファイズ
カブト出演ライダーズ,以下同文
天道,カブト
カブト出演ライダーズ,ふぁっ!?
良太郎,電王
翔太郎,ダブル
映司(オーズ),パンツ
晴斗,ウィザード
ウィザード出演ライダーズ,同じく
葛葉紘汰,鎧武
駆紋戒斗,バロン
呉島光実,龍玄
呉島貴虎,斬月
面接官,。趣味は？
全員,戦い
面接官,おいさっき戦いは止めろ。で、では最後に。わが社に何か言いたいこと、聞いておきたいことはありますか？
真司,龍騎
神埼,戦え…戦え
王蛇,イライラするんだよぉ…食うか？
東條,タイガ
手塚海之(ライア),俺の占いは当たる。俺を採用しなかったらこの会社はすぐに倒産するだろう
草加,カイザ
剣崎,ブレイド
始,カリス
天道,カブト
剣,サソード
桜井悠斗,ゼロノス
翔太郎,ダブル
照井竜,アクセル
てつを,ゆﾞるﾞさﾞんﾞぞゴルゴム
映司(オーズ),パンツ
如月弦太朗,フォーゼ
晴斗,ウィザード
面接官,そうですか、ではこれにて終わります。え？。えー！
てつを,リボルケイン!!
面接官,何故我が社を受けましたか？
巧,ここならオルフェノクでも雇ってくれるんじゃないかと
草加,内部からオルフェノクを殲滅しようと
三原,皆がここに入れって…
