青年剣士,ソニックウェーブソード！
魔剣士,魔空斬……
サムライ,飛空居合でござる！
剣士,ったく、近頃の剣士ときたら……どいつもこいつも斬撃を飛ばしやがる
剣豪,まったくだな
剣士,鍛えた肉体で間合いを詰め、自分が握った刃で敵を斬る！。これこそが剣士の強みであり醍醐味だろうが！。あんな魔法じみた技で、間合いをごまかしたって強くなんかなれるか！
剣豪,そのとおりだ。結局、戦いでモノをいうのは純粋な剣技に決まっている。我々だけでも、今までの剣士の流儀を貫き通していこうではないか
剣士,ああ、もちろんだ！。飛ぶ斬撃？ふん、あんな技は邪道の極みだ。なぜなら、剣士にとって最良にして最強の戦術とは――。自分の足で踏み込み、間合いを詰め、自分の剣で敵を斬る、これに尽きるからだ。あのような技では強くなれた気になれても、真に強くはなれん。剣士が強くなるには、ひたすら剣を振り、間合いを体で覚え、場数を踏む。これしかないのだから！。斬撃を飛ばすなどという技で楽をしたところで、いずれ必ず限界がくる！。はっきり申し上げておこう。私はここに断言する。私は斬撃を飛ばす技は絶対に使わないと！。剣豪！
剣豪,……やぁ
剣士,闘技場での若い剣士との立ち合いで敗れたと聞いたが、本当なのか！？
剣豪,ああ……やられたよ。飛んでくる斬撃を避け切れず……こんなザマになってしまった……
剣士,お前ほどの剣士がどうして……油断したか？
剣豪,いや、油断じゃない……。むしろ、斬撃を飛ばす技の性能が……私の想像以上に進歩していた……
剣士,…………！
剣豪,スピードも、威力も……そして連射性能も……。もはや、従来の剣術で太刀打ちできるようなシロモノではない……。今のうちにいっておく……。退院したら、私も斬撃を飛ばす技を会得しようと思う
剣士,な……！
剣豪,そして……お前も私のようなことにならぬ前に、会得すべきだ。大怪我してからでは遅いのだから……
剣士,…………。剣豪の奴め、見損なったぞ！。俺たちだけでも従来のスタイルを守っていくんじゃなかったのか……！。俺も……今度、闘技場で試合をすることになっている。おそらく相手は斬撃を飛ばす技を使ってくるだろう。そこで、俺が従来の剣術の強さを皆に知らしめてやる！。そうすれば、剣豪だって気持ちを変えてくれるかもしれないしな！
金髪剣士,ほれっ、ほれっ、ほれっ！
剣士,ぐううっ……！
金髪剣士,そらっ！
