儀式,ゆ、許された……
アドバンス,俺もな
デスガイド,記事の内容間違ってるデスよ。正しくはこうデス！！！
おまいら,リミットオーバーアクセルシンクロ出来ない！ホープ戦隊出来ない！今こそ一つになれない！。アニメ再現何もかも出来ない！こんなカードゲームクソや！せや！全部売って引退や！！
ショップ,買取停止やですまんな
おまいら,ファッ！？！？！？
ショップ,遊戯王取り扱いやめるンゴ
おまいら,ファーｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
ショップ,つーか店畳むンゴ……やっぱ撤回するンゴ
おまいら,構ってちゃん乙
KONMAI,リンク召喚に。嫌ならやめろ
GX勢,やめます
5D's勢,やめます
ZEXAL勢,やめます
ARC勢,やめます
原作勢,やめてます
KONMAI,えっ？
クェーサー,そんな単純なことじゃねぇ！！
シフル,ヤツら(十二獣)の虐待なんざいくらでも耐えられた！
ブレイザー,だが奴等(マスタールール４)はオレから命より大切なデッキを奪った！！！
クリッター,おい誰かあいつ等止めろ！
デスガイド,えー？いや流石にあの３体相手にしろってのはキツ過ぎるデスよ……
ブレイザー,絶対に許さねえ！！KONMAI爆破してやるううううぅぅぅぅぅ！！！
デスガイド,…………
クリッター,…………
デスガイド,――はー……。……えー、皆様この度は当バスをご利用頂き有難う御座いますデス
タイグリス,わーい！たーのしー！
クリッター,何か、テンション低くないか？
デスガイド,今回の改訂内容なんかより、新ルールの方が衝撃デカ過ぎて身が入らないんデスよねぇ
タイグリス,すっごーい！あなたはリンク召喚ができるフレンズなんだね！
デスガイド,……何か以前、何処かで見た時の口調と全然違う気がするのは気のせいデスか？
タイグリス,んー？良く分かんないや！きっとそれは、私以外の別(2枚目3枚目)のフレンズなんだよ！。フレンズによって性格って違うから！
