男,うげっ、蚊と蛾がいる！気持ちわりィ！あっち行け！
蚊,へいへい、あっち行こうぜ～
蛾,全く……なぜ我々はこうも嫌われるのか
蚊,仕方ないって。俺たちが嫌われるのは、大昔からの慣習みたいなもんだ
蛾,しかし、実際に人を刺す貴様が嫌われるのは分かるが、なぜ私まで？ただ飛んでるだけだぞ？
蚊,見た目がね……
蛾,…………
蚊,まぁまぁ！嫌われてるのは俺たちだけじゃないし！たとえば、蝿の奴なんか――
女,キャーキャーッ！
ギャル,蝿さんだわーっ！
主婦,ステキーッ！
蝿,みんな、ありがとー！
蚊と蛾,え！？
蛾,な、なぜだ！？なぜ蝿があんなに人気になっているのだ！
蚊,俺たち以上に嫌われてたはずなのに……！
蛾,蚊よ、どうする？
蚊,決まってる……どうしてあんなに人気になったか聞いてみようぜ！
蛾,それしかあるまい！
蚊,おい、蝿！
蛾,蝿！
蝿,おお、お前らか。なにか用か？
蚊,お前、俺たち以上に人間に嫌われてたはずなのに、いつの間にあんなに人気になってんだ！？
蛾,それも、婦女子たちに……！
蝿,ああ、あれ？たまたまだよ、たまたま
蚊,ウソつけ！
蛾,なにか秘密があるはずだ！
蝿,なんだよ嫉妬か？ったく、男のくせにウジウジしやがって……
蚊と蛾,ウジはお前だろうが！！！
蝿,秘密……秘密ねえ。まあ、あるっちゃあるかな
蚊,マジか！
蛾,よし、教えろ……今すぐ！
蝿,やだね
蚊と蛾,！
蝿,俺だって苦労したんだ。そう簡単に教えてたまるかよ
蚊,そうか……ならしかたねえ
蛾,貴様は貴様なりに努力したんだろうしな。無理に教わろうとは思わん
蝿,あら？。おいおい、あっさりすぎるだろ。しょうがねえな～……分かったよ、教えてやるよ！
蚊,相変わらず心変わりはえーな
蝿,俺が人気になった秘密はな……こっちに来てくれ
蚊,？
蛾,場所を変えねばならんのか
蝿,今日はこれでいくつもりだったんだ
蚊,これは……かりんとう？
蛾,どうするのだ、こんなもの。食うのか？
蝿,これにたかって……。前もってセットしておいたカメラで写真を撮る！。題して≪かりんとうにたかるハエ≫！。んでもって、これをネット上に投稿する！。すると――
蚊,うおっ！？すごい勢いで“いいね！”がついていく！
蛾,コメントも増えているぞ！
蝿,へへっ、すごいだろ！。他にも色んな写真があるぞ
蚊,へぇ～、高速で飛んでる蝿をうまく捉えてるな
蛾,高く浮いた野球ボールとのツーショットか。さわやかな写真だ
蚊,石鹸に止まってやがる。おもしれー！
蛾,なるほどな……こういうことだったか
蚊,ユニークな写真をいっぱい投稿して、人気者になったわけだな！。お前の人気の秘密がよく分かったぜ！
蛾,私もやってみようかな……
蝿,ここまで人気になるまでは大変だったけど、まぁ、二匹も頑張れよ。アドバイスが欲しかったら教えてやるから！
蚊,そうさせてもらうぜ！
蛾,≪モスバーガーにいる蛾≫とかどうかな……モス繋がりで
蝿,ああ、そうだ。そろそろ俺、呼び方を変えてもらおうと思ってたんだ
蚊,へ？なんで？
蝿,せっかく人気者になったのに、いつまでも“蝿”じゃ味気ないだろ？。今日から俺のことは――。“インスタ蝿”と呼んでくれ！！！
蚊と蛾,…………
