ルイーダ,という訳で、晴れて貴方は魔王討伐の旅へ出る冒険者に選ばれましたー。これに反対するって事は、王様への反逆z。若者は苦労を買って出ないとねぇ。で、PTについてだけど。貴方には三人でPTを組んでもらう事になったわ。そうよ三人PTよ。三人PTよ。三人よ。犬になるか配合されたいのね。あー戦士君とかの事ね。不思議な事にあの子の訃報が伝えられてしばらく。忽然といなくなったのよね。というか貴方含めて三人しか残っていないの。貴方含めて、冒険者は三人しかいません。いないわよ？。すばしっこい盗賊の貴方。性格の事が？。何事にも迅速に対処する。速さなら誰にも負けない……。早漏。で、他が頭脳明晰の魔法使い。期待の三人目はっ！。お調子者の遊び人。じゃ、頑張ってねー
魔法使い,ま、よろしくね。……随分嬉しそうね。ああ……大往生
遊び人,よろしくなー！盗賊ーーー！。でもまさか、オイラに銅の剣を持たせてくれるとは思わなかったぜー
魔法使い,……。近接火力大丈夫なのかしら……
遊び,Zzz……
魔法,厳しい戦いになりそうね
遊び,Zzz……
魔法,ちょ……分かったわ、メ……。ねえ……街に帰らないの
遊び,野宿もしないで戦い続ける、て流石に頭おかしいと思うよ。これぞ遊び人の真髄さ！
魔法,カラスって案外食べられるのね。うわ……時間的に２４時間くらいずっと外で戦ってたの？
遊び人,……朝日が綺麗でしたねぇ
魔法,あたしもう寝るね
遊び人,オイラも……あれ、盗賊は出かけるの？
魔法,……何か聞こえは凄い気がするわね。意表を付いて遊び人を先頭にしてみるとか
遊び,え、ちょっ
魔法,それはそれで凄い事よね
遊び,そういえば、ナジミの塔に鍵を持った爺さんがいるって話だよ～。何でも盗賊バコタから奪った鍵なんだそうな～
魔法,夜は寝させてよ～
遊び,現実的過ぎる話だねぇ
魔法,犯罪だわ……
遊び,おんや？武器屋の所に人が……
店主,今日は店じまいなんだ。明日また来ておくれ
魔法,昨晩……から？
遊び,精が出ますなぁ～
魔法,ルート的には洞窟から来るのが普通みたいね
遊び,地元の人、誰もいないもんね～
魔法,そもそも何で洞窟内に宝箱が配置されたり、燭台があるんだろう
遊び,何言ってんの？
魔法,何それ怖い！
遊び,頭三個目？！え？腕一本？！。ここで経営してて意味あるのかねぇ
魔法,……
遊び,一部屋まるまるで泊まるのかぁ
魔法,せめて仕切りとシャワーが欲しい……。きゃあ！
遊び,フロッガー×３……舌で魔法使い……工口くていいなっ！！。あっ
魔法,一人棺桶だけどもね。いみふ。次ふざけたら燃すから
遊び,ヘヘ、オイラはもう姐さんよりMHP高いんだぜっ。もう虐げられていた頃とは違うんだいっ！。いいんですぜぇ……わざわざ俺の部屋に一人で来た事を後悔させやすぜぇ。これからはそのまな板使って恥辱の薔薇色の旅をお送りさせていただきやすぜぇ
魔法,へえ。そういえば魔法の玉がどうのって話があったわね
遊び,城の宝物庫にでもあるのかなぁ
魔法,とりあえず壁にセットしてみるね
遊び,これでどうに開くんだろうね
魔法,
遊び,
魔法,寝たい……
遊び,一旦戻らない？小さなメダルも結構あるし
魔法,あら本当。これなら景品貰えるんじゃないかしら？。だいぶ楽になったね。この調子ならこのまま洞窟を突破できそうね
遊び,にしてもここらへん穴ばっかりだね。地震は、関東地方によく起きるんでしょうね……
魔法,そうかもしれません、分かりません。夕暮れには着きそうね
遊び,そもそもここはどこなんだい？
魔法,魔法以外の事興味無いし
遊び,常識人がいなかった
魔法,どっか
遊び,ていうか、洞窟の入り口で世界地図手に入ったよね
魔法,本当ね
遊び,なにその情報
魔法,ああ、お宝ね……。金の冠が盗まれた、ねぇ
遊び,城の警備薄すぎ笑えない
魔法,ばれたらあたし達が指名手配ね
遊び,加齢臭ついた冠で指名手配ってのもなぁ。芋虫かてぇ
魔法,MPの節約なんてやってられないわよ
遊び,おいらもう疲れたっ。おやすみっ！
魔法,……。ヒャド
遊び,うひぃあああぁぁぁああぁ！！
魔法,最近夜通し戦うとか無くて嬉しいわぁ。
遊び,MP尽きるまで戦うの？
魔法,マジキチ。ありえないありえない！
遊び,二人まだいいじゃん！おいらグループ攻撃ないよっ！？
魔法,ぜぇ……はぁ
遊び,ほら、おいらもうHP少ないし宿に行こうよっね、ね
魔法,何時手に入れたのよ
遊び,流石盗賊。平然とやってのけるッ。そこにシビれる！あこがれるゥ！
魔法,……ステテコパンツ
遊び,……これどうすんの？。嫌だよ！おいらでも絶対装備したくないよっ！。……。90Gになったよーっ！
魔法,何気に貴方、酷いのね。一体何が起こったのかしら……
遊び,どうしたんだろうね、これ。何しても起きないのかなぁ？……何しても。これじゃああんまり変わらないよぉ！
魔法,そうね、次からはヒャドかイオにするわ
遊び,酷いや酷いや！オイラが何したって言うんだ！
魔法,盗賊、毒針持たせてくれない？
遊び,あ、ごめんなさい。冗談です。え？ノアニールの人達は？
魔法,そうねぇ……もう長い事眠り続けているけど、問題ないのならそっちが先のがいいわね
遊び,でも塔を根城って事は、出てくる魔物を瞬殺するような連中って事だよね。帰ろうよ！絶対無理だよぉ！
魔法,とりあえず塔の魔物の強さくらい確認しておかない？。あっさりね
遊び,帰ろう！もう帰ろうよ！。ノオオォォォォ！！
魔法,多分、あんたがうるさいからよ
カンダタ,たった三人で俺様のアジトに来るたぁ良い度胸だ！。てめぇらぁやっちまえぇぇ！！
カンダタ子分ABC,
魔法,勝てそうね
遊び,い、意外と弱いなぁアハハハハ！
カンダタ,ぐぬぬ！。子分の仇、とってやるぁぁぁ！
遊び,へっへへ、覆面のおっさん観念しなぁ！
魔法,畳み掛けるわよ！ヒャド！！
カンダタ,うおおおお！
魔法,全くね。ヒャド！。えっ。ないわー
カンダタ,ぐぇっへっへっ。ここからはお子様は見られない大人専用の展開だぁ！。薄い本みたいになぁ！！
魔法,ヒャ、ヒャド！！
カンダタ,運の良い奴め！だが何処まで耐えられる！！
魔法,ぐぅ……。ヒャド！
カンダタ,これで終わりだぁ！。Oh...
魔法,これで終わりよ！ヒャド！！。ないわー。カンダタ達を見逃し王冠を取り戻し、ルーラでロマリアに帰り、二人を蘇生した
遊び,全く、PTリーダーが何やっているのさー！
魔法,はい
遊び,あ、ごめんなさい。冗ぎにゃあああ！
魔法,勇者がいなくて残念的な事言っていたけど、他の国は勇者が死んでいる事って知らないのかしら
遊び,あ、それ聞いた事あるよー。なんでも混乱を避けるために公表していないんだってさー
魔法,全くね……で、これからどうするの？
遊び,その心はー？
魔法,確かに少し位何か無いとやってられないわね。本当ね……なんで近くに町があるところで暮らしているのやら
遊び,ぐへへ、魔王を倒した暁にはその権威を盾に
魔法,メンバー交代あるわね
遊び,へへ、いいのかい！今のオイラが抜けた戦力ダウンは目に余るものだぜっ！
魔法,装備による優位性が高いだけだしね
遊び,ごめんなさい調子に乗りすぎました
魔法,腐った犬に襲われたり色々したわね
遊び,なんでダイジェスト風？。泉の水をビンに入れた！
魔法,結局謝礼無しのくたびれもうけね
遊び,ねえねえなにこのまとめ方。何があったか忘れたの？
魔法,一年前の軽いメモじゃあ何があったか思い出せないわ。また夜通し移動……
遊び,お腹空いたよー
魔法,いい加減休まない？もうMPろくに残ってないわよ？
遊び,偉い人は言いました。まだやれるはもうだめだ！
魔法,魔法使えないと倒せないわよ！キメラの翼使うわよ！。別にいいわよ。それ、結構凄い装備なのよ
遊び,生着替え！生着替え！ここは大人しくうっかりを期待！！
魔法,サミング！
遊び,目があああぁぁぁ！目があああああ！！。今度はこっちがボコボコにしてやらぁ！
魔法,全くだわ
遊び,いつも頑張って遊んでいるよぉ！
魔法,あたしも案を考えておくわ。あまり砂漠では戦いたくないわね。ただでさえ二人だし
遊び,おいおーい、三人の間違いだRO☆そりゃあー勇者様はいないけどさー。むっひょー！余裕でストライクゥ！どストライクぅぅ！！。うぇっへっへっ、こいつぁー夜に謁見しなくちゃぁならねぇぜ！
魔法,うるさいわよ、それになに犯罪宣言しているのよ！
遊び,おっと、町中で魔法を使うかぁ？使えないよなぁ！魔法使いじゃオイラを止められないぜー！
魔法,……
遊び,ごべ、ごべんな、ごべんなひゃ、ずびば、もうじま
魔法,はいこれ。というよりも今ある手持ちから考えただけよ
遊び,苦労人
魔法,どうしようウザさ百倍なんだけど。分かったわ
遊び,どうやって暮らしているんだここで
魔法,わぁっ！。あ、あれ……？ピラミッド？全滅したと思ったのに
遊び,頼みますよー、カエル一匹だけだったから何とかなったもののー
魔法,これも性格のなせる事なのかしら？。なに？
遊び,ピラミッドの宝箱、きっと凄い高価なんだろうなぁ！
魔法,大して期待しちゃいないわよ。どーせ100Gとかでしょ
人食,突撃今日の晩御飯
魔法,いい金策ね
遊び,まあ数発当てれば倒せるけどねっ！。急所……毒じゃないんだ
魔法,あたしに言われてもねぇ。相変わらず運が悪い男ねー
遊び,文字通り宝の山だね！
魔法,マミーならいざ知れず、今更ミイラ男なんて良い経験値稼ぎね。地獄の鋏はまだ苦労するわね
遊び,そう簡単に劇的成長なんてしないもんねー。でもこれチェーンクロスより弱いよー……
魔法,あたしの棘の鞭より少し威力がある程度ね。とりあえずあたしが使うわ
遊び,人使い荒すぎるよ……
魔法,それはあたしも思うわ
遊び,分かる。初めて果てしなき旅を聞いた時のワクワク感と序盤のドキドキ感
魔法,……それは置いておくにしても、あたしは数発攻撃されると死ぬんだけど
遊び,あ、ここの町オイラ達が装備できるものあるねー
魔法,やっとお鍋の蓋を卒業できるわ……
遊び,何時接触不良でGBAの電源が切れるか分からないもんね！
