監督,はいOKで～す
スタッフ,お疲れ様でしたー！
雪歩,うっうっうっ～～
P,ほら、もう泣くなよ雪歩
雪歩,で、でも・・・
P,NGを8回だしただけじゃないか、こんなこともあるさ
雪歩,こんな駄目なアイドルは、穴を掘って埋まりますぅ
P,ん～今回はちょっと役の研究不足だったな、いつもみたいに俺に相談してくれたらいいのに
雪歩,ごめんなさい、プロデューサー今、すっごく忙しそうだったから声掛けられなくて・・・
P,相談はいつでも大丈夫だよ。それにいつも言ってるだろ電話でもいいって
雪歩,うぅぅすみません・・・・
P,そうか、忙しいって思ってる相手には電話掛けにくいよな・・・
雪歩,すみません・・・
P,・・・じゃあ雪歩、俺とメアド交換しないか？
雪歩,メアドですか・・・
P,うん、それなら雪歩でも言いやすいだろうし、時間も気にする必要もないだろ
雪歩,・・・・・
P,嫌か？
雪歩,そ、そんな事ないですぅ!!ぜひお願いします!!!
P,じゃあ、ショートメール送るから確認してくれ
雪歩,はい！
P,あと、みんなにはメールのことは内緒な。まだ皆にはアドレス教えてないからな
雪歩,分かりました
店員,いらっしゃいませ～
雪歩,うう、昨日あれからずっとメール見返してて寝れなかったよ
春香,あれ、雪歩どうしたの？なんか元気ないようだけど？
千早,そうよね、なんだか顔色が良くないわね
雪歩,だ、大丈夫だよ。心配してくれてありがとう
春香,ホント？それならいいけど・・・
雪歩,プロデューサーとメールしてるなんて、みんなに言えないよぉ
P,お疲れ様～
美希,ただいまなの～
春香,お帰りなさいプロデューサー、美希
千早,お帰りなさい
雪歩,プロデューサーだ！。お、お帰りなさい
P,おう、みんなただいま
美希,は～疲れたの。雪歩～お茶入れてなの
P,こら！美希、帰ってそうそう何言ってるんだ
俺,雪歩からメールの返信がこないよ・・・・
雪歩,大丈夫ですプロデューサー。今入れてくるからまってて下さい。よいしょ、よいしょ。お待たせしました
美希,雪歩ありがとうなの
P,雪歩いつもありがとうな
雪歩,そんな、私お茶いれるの好きだし。全然嫌じゃないですぅ
P,そうか？それならいいけど・・・。・・・・・
雪歩,ん？プロデューサーが手招きしてる？。何ですか？プロデューサー？
P,昨日、メールありがとうな。嬉しかったぞ
雪歩,ふえ
美希,あ～雪歩、ハニーと近いの！離れて離れて
P,おい、美希押すなよ
雪歩,プロデューサーが嬉しいって。えへへへ。ふふふ～♪。うぅ、昨日泣きっぱなしで全然寝られなかったよ。今日のお仕事プロデューサーと会いたくないな・・・。おはようございます
小鳥,あら、おはよう雪歩ちゃん
雪歩,うぅ、おはようございます
小鳥,・・・どうしたの雪歩ちゃん？元気ないようだけど？
雪歩,な、なんでもないですぅ、あのプロデューサーは？
小鳥,プロデューサー？今は営業に行ってるけど
雪歩,そうなんですか
小鳥,どうしたの？何かあったら私に相談してみて
雪歩,相談…小鳥さんになら話しても大丈夫かな。・・・・小鳥さん実は私
小鳥,うん
雪歩,実は・・・プロデューサーと・・
P,おはよーございます
雪歩,ひっ
P,ん、おはよー雪歩
雪歩,あぁ…あの
P,？？
雪歩,私・・・ごめんなさい！
P,どうしたんだろう雪歩。突然出て行ったけど・・・
小鳥,どうしたもこうしたもありませんよ！
P,うわ
小鳥,私もよく分かりませんけど、原因はプロデューサーさんに決まってます。早く雪歩ちゃんを追いかけてください
P,え、でも・・・
小鳥,つべこべ言わないでさっさと行けー！
P,はいー！
雪歩,うぅ、プロデューサーの顔を見た瞬間、飛び出してきちゃったよ。私これからどうしたら・・・
P,雪歩ー！どこだー！雪歩ー！
雪歩,あれはプロデューサー！ど、どうしよう隠れなきゃ
P,はあはあ、雪歩ー！どこだー！
雪歩,プロデューサーあんなに必死に私のこと探してくれてる。こんなちんちくりんな私のせいで、またプロデューサーに迷惑かけてる・・・。うぅぅ
P,雪歩ー！
雪歩,プ、プロデューサー・・・
P,あっ！雪歩
雪歩,ごめんなさいプロデューサー・・・
P,どうしたんだ雪歩、突然飛び出していって
雪歩,その、わ、私・・・
P,どうした？なにかあったのか？
雪歩,その…私…プロデューサーに変なメールしちゃって、その
P,変なメール？
雪歩,だから、私、嫌われたと思って、その、私、私
P,雪歩そのメールはいつ送ってくれたんだ？
雪歩,え、えっと三日前です
P,三日前、じゃあこのケータイになる前か？
雪歩,ほえ？
P,実は三日前ぐらいに、ケータイがぶっ壊れてしまってな。メールも電話も一切合財使えなかったんだよ。だから、新しいケータイに買え変えたんだけど、雪歩のメール多分古いケータイの方にいったんだ。だから、俺はまだメールを見れてないぞ
雪歩,そ、そうだったんですかー。す、すみません私の勘違いでプロデューサーに迷惑かけてしまって
P,いや、俺も雪歩にちゃんと伝えておけばよかったよ、そうすればこんなことも起きなかったのに
雪歩,そんな、私が勝手に変なメール送ったから、ひとりで勘違いしちゃったんです。だからプロデューサーはわるくないです
P,でもな～。ちなみに雪歩、俺にどんなメール送ってくれたんだ？
雪歩,ふえ
P,いやだって、気になるじゃないか変なメールって言われると
雪歩,そ、それは、そのあのえ～と
P,まだ、データあるんだろ？よかったら見せてくれよ
Ｐ,そうこのiPhoneにね
雪歩,ふえ～そ、そんな恥ずかしいです
P,そんな恥ずかしい内容のメールなのか？
雪歩,そ、そんなことないですけど・・・
P,じゃあいいじゃないか、今送ってみてくれよ
雪歩,ええ！いまですか！
P,おう、いますぐ
雪歩,うぅぅ。うぅ、迷惑かけちゃったし断れる雰囲気じゃないよ。…じゃあ送ります。ふえ～プロデューサーの目の前で送っちゃったよ
P,お！来た来た♪
雪歩,ひ～見てるプロデューサーが見てるよ
P,・・・・・・・・・
雪歩,・・・・・・・
P,なあ雪歩
雪歩,ひゃい
P,今から暇か？
雪歩,へ？
P,暇なら一緒に行こう、その店に
雪歩,ふぇ？
P,駄目か？
雪歩,ぜ、ぜ、ぜ、全然駄目じゃないです。是非お願いしますぅー
P,そうか、じゃあ早速いくぞ
雪歩,はい
