通称“モン=サン=パルフェ”,聖なる完璧の山
ストロングマン,あれが……聖なる完璧の山!!
キャノンボーラ―,ついに……ついにここまでやって来たんですね……
レオパルドン,しかし、本当に良かったのですかい？。あなたも俺たちも、超人ＫＯ病院を退院してまだそれほど経っていない……。あ、あの島でもし、何かあったら……
ストロングマン,……レオパルドン、おめえの心配もよく分かる。だが……。今でも忘れねえ、あの１年半前の王位争奪戦で……。オラは邪悪の神にそそのかされての参加だったとはいえ。スーパーフェニックスとの戦いで、とんだ醜態を晒しちまった。おめえたちのガンバリに、応えることができなかった
レオパルドン,……
ストロングマン,だから、オラはあの島で力をつけ、再び“キン肉マンビッグボディ”となる!!。そして、キン肉星でクーデターを起こし、今度こそキン肉星の王となるのだ――っ。おめえたち……。そして、オラのために死んでいったペンチマン、ゴーレムマンのためにも……！
レオパルドン,兄貴……
ストロングマン,おーし、いくぞおめえら!!。オラについてこい!!
キャノンボーラ―,ゲ――ッ
ストロングマン,オラたちの目の前に……か、雷が落ちたぞ!!
？？？？,……
レオパルドン,おぉ雷の中から超人が――っ
悪魔将軍,……
キャノンボーラ―,なんだこいつは！
ストロングマン,グ、グムー。こやつ……どこかで……
キャノンボーラ―,おいてめぇ！そこをどきやがれ！
レオパルドン,そうだ！俺たちは今から“聖なる完璧の山”を訪れ。そこで最強の超人となるんだ！
悪魔将軍,……。お前達には無理だ
レオパルドン,なにッ
悪魔将軍,“聖なる完璧の山”。あれはお前達のような、弱体超人どもが来るべき場所ではない
キャノンボーラ―,お、俺達が弱体超人だと!!。その言葉とりけせ――っ
悪魔将軍,フン！
キャノンボーラ―,ギャアーッ
ストロングマン,ゲーーッ、キャノンボーラ―が奴のジャブ一発で!!
レオパルドン,キャノンボーラ―、大丈夫か!?
キャノンボーラ―,グゥ……
悪魔将軍,……
ストロングマン,間違いない……奴は……！
悪魔将軍,これでわかっただろう。今すぐそいつを連れて帰るが良い
ストロングマン,……あ、あぁ……分かっ……
レオパルドン,ちょっと待ってもらおうか――っ!!
ストロングマン,！？
悪魔将軍,……
レオパルドン,黙って聞いていれば、俺達の事を見下しやがって！。今度は……この俺が相手だ――っ！
ストロングマン,レ、レオパルドン！。無謀だ！なぜなら奴は……！。キン肉大神殿に祀られていた、黄金の……
レオパルドン,相手が誰だろうが、関係ありません!!
ストロングマン,！！
レオパルドン,俺たちは、兄貴を必ず王にすると誓った!!。だから……。ここで歩みを止めるわけにはいかないんだ――っ!!
ストロングマン,レ……。レオパル……ドン……！
