アイドルのみんなも、,どうしたんだろうね
初老の男性である管理人は、少し逡巡したが,自分の立ち会いのもとなら
高木,私が呼ぶまで、君はここにいてくれないかな。それから、ドアが開いても中を見ないように。いいね？。Ｐ君？いるのかい？Ｐ君！。……これは……。きたまえ。これは……日記帳かな？。これを、お借りするわけにはいきませんか？
管理人,申し訳ありませんが、それは
高木,そうですか
管理人,警察からの要請ならまた、話は別ですが
高木,一旦我々は、失礼します。ケータイだな。部屋で見つけたんだが……日記とケータイ、どっちを持ち帰ろうかと正直、判断に迷ってね。電話やメールのやりとりなどを、調べてみるよ。明日、朝になっても連絡がなかったら……警察に連絡をする
美希,ハニイイイーーー！！！
高木,ちょっと私にはわからないです。事務所を通してください。そう言うんだよ、みんな。いいね？
美希,……ハニー？
伊織,そんなわけないでしょ！
美希,でも…………でも………………
伊織,そんなわけない！！そんなわけないのよ！！！
美希,ハニー……なの…………？
伊織,誰かテレビ消して！消してよ！！！
千早,私が
高木,履歴書に書かれた彼の出身地だが、デタラメだった。群馬県前橋市となっているが、そこから後の住所は存在しない。カンが鈍ったかな……これなら日記の方を持ってくるんだったよ。まずこのケータイだが、普段彼が使っているものではなく、登録アドレスは１件しか無かった。ああ。彼は若いのに簡単ケータイを使っていたからね。登録名はＷとなっているな。まだかけていないし、メールも出していない。……君だから話すが、相手はどうやら女性。しかもＰ君とは、恋愛関係にあったようなんだ。ま、そうなるかかな。多少、首をかしげる点もあるが。相手から電話はかかっていない。通話は必ず彼から、それも決まって夜の10時にかけている。帰宅すると、その旨と好きだよと書かれたメールが送られている。返信は無い。まあ、彼がいちいち相手からのメールや着信履歴を消去している可能性もある。ついでに言うと、ケータイはほんの２週間前から使われているようだ。それで？なにかあったのかね？随分と急いでやって来たようだが。ふむ……まず彼では無いと思うが、念のために確認に赴くべきかな？。ああ。警察には彼が失踪した件を話してあるし、写真も渡してある。もし彼なら、すぐに連絡があるはずだ。みんなにもそう言って、安心させてやってくれ。私は念のために警察に行ってみる
伊織,あったり前じゃない。だから言ったのよ、そんなはずないって。私、ちゃんとわかってたんだから
響,ふーん
真美,お→お→
亜美,やよいっちに、頭撫でられて泣いていたにしては、確信をもったお言葉でしたなあ
伊織,な、なによ！
