銀架城,ジルバーン
リルトット,――ったく、気の短けぇビッチだぜ
ミニーニャ,う～ん、帝国の未来とか、正直どうでもいいと思うの(>_<)
リル,お前はもう少し色々考えろ
キャンディ,で、どうすんの？本気で次の戦いは団体行動する？
ジジ,えー、ボクめんどいからパース
ミニー,私はどっちでもいいけど
リル,オレもぶっちゃけどっちでもいいぜ
キャンディ,おいっ！リルおまえ言い出しっぺだろ！
ジジ,どうかーん。最初だけ一緒についてって、後はバンビちゃん独りに頑張ってもらえばいいじゃんねっ！
キャンディ,ったくおまえら……ま、最初の侵攻で死神連中の底は知れたし、わざわざアイツの短気に付き合いながら戦う必要もないか
ミニー,ほどほどに戦って、サクサクッと終わらせちゃえばいいと思うの(^-^)
ジジ,そーゆーことっ！どーせ死神なんてボクの血を浴びせただけで終わりなんだしさっ
リル,……。ホントにそう都合よく進めばいいがな……。確かに、最初の侵攻じゃほぼこっちの圧勝だった。席官クラスの死神もかなりの数を仕留めたし、何より奴らの総隊長を潰せたんだからな。……とはいえ
前方から、一人の星十字騎士団,シュテルンリッター
リル,……ついさっき別れた所だ。次の侵攻までは各自適当にグダグダ過ごしてようってな
ナックルヴァール,いいねェ～適当にグダグダ、最高だねェ～。できれば俺もそうしたい気分だぜ
リル,何言ってんだ、てめぇこそ大概グダグダしてんだろうが。……どうせあの眼鏡野郎が喧嘩の原因だろ？こっちもひとりイライラしてやがるクソビッチが居て鬱陶しい限りだぜ
ナックルヴァール,そっちもかァ。いやはや全く、初戦勝利の余韻にも浸れる空気じゃねェよなァ、どこもよ
リル,……浸ってられるほど、深い余韻なんざねーだろ、実際
ナックルヴァール,ん？
リル,アイツらはもうこの戦いに勝った気でいやがるが……最初の戦い、言うほどオレらのワンサイドゲームじゃなかったろ
ナックルヴァール,あー……ま、そうだよなァ
能力や戦闘スタイルに差があるとはいえ、いずれも彼同様“聖文字,シュリフト
リル,例の、世界を壊しかねない卍解って奴か。んなもん下手に使われたらオレらもどうなるか分かったもんじゃねーぞ。一番生き残る可能性が高けぇ癖にほざきやがるぜ、くたばり損ないが
ナックルヴァール,おいおいやめてくれよォ……確かに俺ァ死ににくいけど、別に不死身とかそういうワケじゃないんだからな……。虎の子ねェ……それを言うならこっちにだってひとり、隠し玉があるっちゃあるんだが
リル,……寝言は死んでから言えよ。アイツが解放されることなんざあるわけねーだろ
ナックルヴァール,ま、そらそーだ。それこそ、天変地異でも起きない限りはな……っと、冗談だよ、そんなに睨むなって
リル,相変わらず喰えねー野郎だぜ、てめーは……まぁ、この戦いを楽観視してる馬鹿ばかりじゃねーって分かっただけでもよしとするか。うっせぇゾンビ野郎。……楽しいことか。……はらぁ、へったなー。チッ、腹の足しになるもんでも残ってねーかと来てみたが…。……派手に騒ぎすぎだろ、お前ら
星十字騎士団“Ｋ”BG9,ベー・ゲー・ノイン
BG9,早合点をするな。短気を起こしたバズビーが勝手に散らかしただけだ
弁明するBG9の言葉を聞いて、ナックルヴァールが言っていた,喧嘩
リル,ったく、どいつもコイツも気に入らねーことがあるとすぐ癇癪起こしやがって。周りの迷惑も考えろってんだ
BG9,その意見には同感だな。しかし見ての通り、お前の空腹を満たすものなどここにはない。間食ならば他をあたることだ
リル,みてーだな――で、短気の理由はやっぱあの眼鏡野郎なのか？
加えて、異を唱えることなく後継者の座を譲る気でいる騎士団最高位,グランドマスター
リル,しかも揉めた相手ハッシュヴァルトかよ……髪型だけじゃなく脳みそまでニワトリレベルかあのモヒカン
BG9,その意見にも同感だ――だが、陛下のあのお言葉で、騎士団内に不穏な気配が漂いつつあるのは否定できない
リル,当たり前だろ。ポッと出のヒョロ眼鏡が次期皇帝ですって言われて、そう簡単に受け入れられる奴が居る……かよ。あいつらは受け入れてるんじゃなく何も考えてねーだけだ
BG9,マスキュリンや蒼都も明言こそしなかったが、あの後継者指名に関しては少なからず思うところがある様子だった
リル,で、バスビーの奴がひとり先走って不満ぶちまけたってワケか。なかなか白けた男子会じゃねーか
BG9,……尤も、陛下が仰る以上、石田雨竜は次の戦いでその力を我々に示すことだろう
リル,次の戦いか……そういやおまえは星章化に成功したんだったな。どうだ？卍解ってやつの感触は。ベタ誉めかよ。ま、そうでなきゃこっちも狙う甲斐がねーけどな
BG9,――しかし、手に余る
リル,は？
BG9,第一に重量の問題がある。発動すれば機動力の大幅な低下は免れないだろう。第二に使用後の反動が挙げられる。強大な威力を誇る分、射出時及び起爆時の反動は無視できないレベルとなる
事実、情報,ダーテン
リル,……要するにハズレ引いたってことか？
BG9,そうは言っていない。使い所が限られるとはいえ、強力な卍解であることは事実だ
リル,それ結局使い所がなきゃ持ち腐れってことだろ。散々欠点あげつらっといてよく言うぜ
容赦なく言い放つリルトットに対し、,そうとも限らない
リル,ま、確かに陛下は、卍解を奪われた連中が他の戦法を練ってくるだろうとは言ってたが、所詮は付け焼刃だしな
BG9,何にせよ、折角手に入れた卍解だ。蒼都のように、扱いこなすための鍛錬はしておくとしよう
リル,マジメな野郎だなー。いや、精密な野郎だなって言うべきか？。そういやお前、機械だから食事とか必要ないよな？
BG9,…………
