シャロ(ある日私は、ココアと入れ替わってしまった。よく漫画とかアニメで人と人が入れ替わるというお話がある。私も小さい頃、そういう漫画を読んでいて入れ替わってみたいなと思った時期もあったっけ……そこで千夜にからかわれたのよね、,シャロちゃんと私が入れ替わったらいろいろと貧相になっちゃうわー
シャロ(冗談だということはわかっていたけど、そのときの私は傷ついた。っていうか今言われても傷つくわ…多分。まあ、その後千夜が,なんて冗談♪私もシャロちゃんと一度入れ替わってみたいわ
ココア,よし！できた！見て見てチノちゃん。これが新作のパンだよ！美味しそうでしょー
チノ,いい香りです。１個食べてもいいですか？
ココア,もちろん！
チノ,………
ココア,ど、どうかな？
チノ,お、美味しい……さすがココアさんです。こんなにおいしいパンは産まれて一度も食べたことがありません
ココア,ほんと！？良かった～
チノ,でも最近ココアさんパン作りをしてなかったのに、どうして急に作り始めたんですか？
ココア,んー、一番の理由はお姉ちゃんに負けたくないから！かな？
チノ,モカさんに…ですか
ココア,うん、この間お姉ちゃんがラビットハウスに来たときチノちゃん好みのパンをどっちが作れるかって言ったの覚えてる？
チノ,そんなことがありましたね…でも結局作ったパンはみんなで食べましたが
ココア,それでお姉ちゃんのパンを食べたんだけど、やっぱり私はまだまだだなって思っちゃって…
チノ,そうですか…
ココア,お姉ちゃんにも負けないパンを作って皆に食べてもらいたいし、お姉ちゃんにも食べてもらうんだ
チノ,モカさん喜んでくれるといいですね
ココア,そうだね～。よし！完成したし、とりあえず皆に試食してもらわなきゃ！ってことでシャロちゃんと千夜ちゃんにメールしなきゃ
チノ,リゼさんには連絡しないんですか？
ココア,リゼちゃんにはバイト中にあげることにするよ
チノ,そうですか。リゼさんなら絶対おいしいって言ってくれる気がします
ココア,だといいな～
チノ,それにしてもたくさん作りましたね。特にメロンパンが…
ココア,そのメロンパンはシャロちゃん用に作ったんだ！シャロちゃん、メロンパン好きだから…
チノ,そういえばそうでしたね
ココア,よし、メールで来た！送信っと…
チノ,い、いつの間に！
ココア,早く来ないかな～♪
シャロ,さーてバイトの準備しなきゃ。あらメールね？誰からかしら？。今からバイトあるってのに…でも……。仕方ない、今日はバイト休みにしてもらおっと。せっかくだし千夜のことも呼んでみよっと。千夜ーー
千夜,何かしらシャロちゃん？
シャロ,私今からココアのパンを試食しに行くんだけど千夜も一緒に行かない？
千夜,あら？シャロちゃんにもココアちゃんからメール来ていたのね
シャロ,あんたにもメール来てたんだ
千夜,ええ。でも悪いけど私ちょっと用事があるからいけそうにないわね
シャロ,そ、そう。なら私一人で行ってくるわ
千夜,ごめんね
シャロ,じゃあまたね千夜
千夜,うん、いってらっしゃいシャロちゃん
リゼ,う、美味い……
ココア,そのパン私の自信作なんだ！えへへ、リゼちゃんの口に合ったみたいで嬉しいよ
チノ,泣くほどおいしかったんですか
リゼ,…なっ//泣いてなんかいないぞ！
ココア,後はシャロちゃんと千夜ちゃんだね。早く来ないかな
リゼ,なんだ、あいつらも来るのか？
ココア,うん、そろそろ来てもいい時間なんだけど…
シャロ,ココアー、いるー？
ココア,っ！来た！いらっしゃいシャロちゃん千夜ちゃ……ってあれ？千夜ちゃんは？
シャロ,千夜は何か用事があるから行けないって。それで私一人で来たわ
ココア,そっかー。それは残念だな～
シャロ,あんたたち同じ学校なんだから学校ですぐ渡せるでしょ
ココア,それもそうだね
シャロ,それであんたの作ったパンは？食べてもらいたいってことで来たんだけど
ココア,はっ、そうだった。シャロちゃん用に私の部屋でラッピングしていたの忘れてた…今取ってくるからちょっと待っててー
リゼ,そういえばシャロ
シャロ,な、なんでしょうか？先輩
リゼ,今の時間たしかシャロバイトしている時間だよな？今来れたってことはバイト休みだったんだな
シャロ,………店長から急きょ休みを頂きました
リゼ,そ、そうか…。…………。…………
チノ,それにしてもココアさん遅いですね。何してるんでしょうか？。！？
リゼ,！？
シャロ,！？
リゼ,…ココアの声だな
シャロ,はぁ、ちょっと様子見てくるわ
チノ,すいませんシャロさん。お願いします
シャロ,全く何してるのよ……
ココア,えへへ…実は、いちいち持っていくの面倒だから一気に全部持っていこうと思ったらたくさんのパンのせいで前が見えなくなっちゃって…
シャロ,それで階段から降りている途中転んでしまったってわけね
ココア,おおー！よくわかったね、シャロちゃん！シャロちゃんはもしかして読心能力が使えるとか！？
シャロ,この状況見れば誰だってわかるわよ！そんなことよりパンを早く持っていかないと…パン一つ一つ袋詰めしていたのが幸いだったわね。ほらっ、私も手伝ってあげるから
ココア,ごめんね、シャロちゃん。よし全部拾ったよ
シャロ,２人で分けてもこんなにあるなんて……あんたどんだけ作ったのよ
ココア,いや～メロンパン大好きなシャロちゃんにいっぱい食べてもらいたいな～って思ってたらつい……。シャロちゃんが私の美味しいパンを食べて幸せな気持ちになってほしいからこんなに作ったんだー
シャロ,そ、そう…//私のためだったのね//
ココア,あはは！シャロちゃん赤くなってるー！
シャロ,べ、別に赤くなんかなってないわよ///ほら！早く持っていくわよ
ココア,はーい
シャロ,……っと、階段があるから気を付けなさいよ。私が先頭でいくからついてきて
ココア,うん
シャロ,………
ココア,え？…え！？うわーーー！
シャロ,え？何！？ってひゃあああ！！
リゼ,な、何事だ！敵襲か！？
ココア？,いたたたた………ち、違いますよ先輩…
チノ,ココアさん！シャロさん！大丈夫ですか！？
シャロ？,いったぁー……頭がくらくら…
リゼ,全くお前ら何してるんだ！
シャロ？,ご、ごめんねシャロちゃん……
ココア？,いたた…全く……あれほど気を付けなさいって言ったのにもう！………って、え？な、なんで…
ココア(シャロ),な、なんで私が目の前にいるの！？
シャロ(ココア),あれ？私がいる……
チノ,えーと、つまり階段から落ちた拍子で２人の中身が入れ替わった…ということですか？
リゼ,そうか…２人とも頭を打ったせいで、こんなことを言っているのか
ココア(シャロ),ち、違います先輩！転びましたが頭は正常です！信じてください！ちょっとココアも何か言いなさいよ！
シャロ(ココア),う～ん、多分これは私の夢だよ！
ココア(シャロ),ココアぁーーーー！！
シャロ(ココア),ためしにシャロちゃん私のほっぺをつねってみてよ。それで解決だよ
ココア(シャロ),自分自身のほっぺをつねるのは、なんか嫌なものね……えいっ！
シャロ(ココア),痛い痛い痛い！シャロちゃん！力強すぎるよー！
ココア(シャロ),…………
シャロ(ココア),もう……ってあれ？何も変化なし…ってこれは夢じゃない！？
ココア(シャロ),あんたねぇ～
