店員,生姜焼き定食大盛り、お待ち！
男,どうもー！。いただきまーす！。……。うっ！？。あれ……？もしかして食い切れないかも……残しちゃうかも……。なんとか食い切れた……。いつもあそこで定食大盛り食ってるけど、残すかもって思ったの初めてだ……。もし店入る前にパンの一つも食ってたら危なかったかも……。三丁目の夕日、今回は泣ける話だなー……。深夜食堂、相変わらずメシうまそうだな。腹減ってくるわ。浮浪雲、遊びすぎだろこいつ……でもこういう生き方してみたい。あー、面白かった。たまには甘いもんでも食うか……。ケーキ、シュークリーム、ティラミス……うーん、甘ったるそうだ。大福にしよ。こいつとお～いお茶を合わせて食うとうまいんだわ、これが。そういや……最近洋菓子食べてないかも……。……。あーっ、うまい！このノドごしがたまらん！。あれ……昔はビールなんて苦くてマズイから最初の一杯で十分、なんて思ってたのに……。――ん。あそこの鏡に俺の姿が映ってる……。地味だなぁ……グレーのシャツにジーンズって……。昔はこれでももうちょいオシャレして、明るい色の服着てたのに……。え！？。７０ｋｇ！？ウソだろ！？。今までは運動なんかしなくても６５ｋｇ前後キープしてたのに、いつの間に……。うお、すげえ……今のゲームってこんなに進化してるのか。ほとんど実写じゃん。でも、やってみたいって気にはならないんだよな。昔はそこそこゲーマーだったけど、すっかりやらなくなっちゃったな……。ふぁぁ……ボケッとしてたらつい３０分見てしまった。このアニメの世界って、ホント平和な世界だよな。登場人物がみんないい人で、事件も起こらず、暴力沙汰はおろか口喧嘩すらないんだもの。昔の俺は、こういうアニメ大嫌いだったのにな……。……。もしかして……。もしかして俺って……おっさんになってる！？。試しにちょっと腕立て伏せしてみるか……。……。……。あ、ダメだ、もうきついわ。たしか昔は５０回はイケたのに、今は３０回もきつくなってる……！。このままじゃマズイ！俺はまだ、おっさんなんかじゃないんだ！。……。ハァ、ハァ、ハァ……。近所の公園を走ってみたが……二周しただけでこのざまかよ。横腹いてえ……。うう……おっさんになりたくない、おっさんになりたくない。体力を取り戻さなきゃ……。……待てよ？。おっさんになりたくない、と思うこと自体がすでにもうおっさんじゃね？。どうしよう、どうしよう！このままじゃマジでおっさんになっちまう！。身も心もおっさんになっちまう！。たしかに体力落ちたし体重は増えたけど、さすがにおっさんにはまだ早いだろ！。よ、よし……きついけどもう一周……！
老人,無理はやめなさい、お若いの
男,なんですか、いきなり！？
老人,急に激しい運動すると、かえって体によくないよ
男,！
老人,お前さんの気持ちは痛いほど分かる。おっさんになりたくないのだろう？
男,ううっ！。あ、あなたは……！？あなたはいったい……！？
老人,かつてお前さんのような人間だった者だよ。お前さんの気持ちはよく分かる。若いといえなくなってきた自分を拒絶したい気持ちはな。だが人間、時の流れには絶対に逆らえぬ。それに逆らおうとすれば、必ずやとんでもないしっぺ返しを喰らってしまう。おっさんになった？……いいことじゃないか！。いい年こいて、君は子供みたいだね、といわれる方がよっぽど問題だよ
男,はぁ……それはそうですけど……
老人,おっさんになりつつある自分を全肯定しろ、とはいわぬ。だが、心のどこかでおっさんになってもいいじゃないか、と開き直ることも大事だ。無理をして体を壊せば、それこそおっさんどころか寝たきりになってしまうのだから
男,たしかに……そうですね。ありがとうございます。おかげで少し気が楽になりました
老人,なあに、私も経験者だからね。君の心境がなんとなく分かったのだよ
男,ってことは、やっぱりおっさんになりたくない時期があったんですか？
老人,そりゃあったさ。あの頃は私も若かったよ
男,そうだったんですか……あなたも……。誰もが通る道だって分かって、なんだかホッとしたよ。だけど今は……時の流れを受け入れ、穏やかなおじいさんになったわけですね
老人,誰がおじいさんだッ！私はまだおっさんと呼ばれるぐらいの若さは保っておるッ！
男,……
