リュウ,旅の途中で喉が渇いた時は……これに限る。フランスの国民的炭酸、オランジーナ……美味い。そういえばケンも毎日、メルに飲ませてると言っていたな……。……フランス……。……フランスといえば……あいつは今どこで何をしているのだろうか。……また戦ってみたいものだな
アレックス,ノオオオオオ！！
レミー,……。……なんなんだアンタ
子ども,アーハッハッハッハッハッwwww
レミー,！！！？
子ども,なんなんだアンタってwwお前がなんなんだよww
レミー,……
子ども,ほら、そんな顔しないで。これあげるから
レミー,……！！これは……オランジーナ
子ども,あ、お兄さんも知ってるんだ
レミー,……フランス人で知らない人はいないだろう。……美味い。オランジーナは……俺の数少ない癒しだ。……お前はどうしてここに？
子ども,お前じゃないよ、ちゃんとGENって名前があるもん
レミー,……GEN、お前は俺をわざわざ笑いに来たのか？
GEN,違うよ、人を待ってるんだ
レミー,人……？
GEN,うん。その人、女の人に目がないの。中国人の警察の人を見た途端、どっか行っちゃったんだ。だから帰って来るのを待ってるんだ
TORA,おーーーい！！
GEN,あ！帰って来た！！TORAーー！！
レミー,！！！
TORA,いやー、ブロッキング失敗してやられちゃったー。顔がボコボコだ
GEN,アーハッハッハッハッハッwwww。どうやったら対決することになんだよww
TORA,ちょっと怒らせちゃってさ
レミー,……
TORA,……！！！
GEN,……TORA？
レミー,……
TORA,……
レミー,……親父？
TORA,……レミーか？
GEN,！！？
レミー,何故だ……何故親父がここに……
TORA,……
レミー,家族を捨てたあんたを……俺は絶対に許さない！！。今ここで……倒す！！
TORA,……
GEN,TORA……どういうこと？
TORA,本当は私は……格闘家なんだ。そして……家族を捨てた
GEN,TORA……
レミー,さあ……断罪の時間だ
TORA,……
GEN,……！！TORAの服が……
TORA,Getreadytodie！！
GEN,TORAがパンツ一丁になった！！
レミー,はぁ……はぁ……
TORA,はぁ……はぁ……
GEN,二人とも！！もうやめてよ！！ボロボロじゃないか！！
レミー,クソ……身体が動かない……
TORA,……
レミー,！！
TORA,はあああああ！！
レミー,ここ……までか……
ギル,おおおおおおおおう！！
レミー,！？
GEN,アーハッハッハッハッハッwwww
TORA,……
レミー,親父……何故だ……何故俺を殴らなかった
TORA,後ろからこんな青と赤の肌をしたパンツ一丁のやつがやって来てたら殴らないといけないと思うだろう
レミー,……確かにそうだな
GEN,はい二人とも！！
レミー,……！オランジーナ……
GEN,格闘の後のオランジーナは格別だよ！！
TORA,GEN……よく分かってるじゃないか
レミー,……美味いな
GEN,当たり前じゃん！！オランジーナより美味しい炭酸の飲み物なんてないよ！！
TORA,ああ、オランジーナは世界一だ
GEN,オバさん、レモンジーナ飲む？
春麗,……誰がオバさんですって？
ハカン,ヤールギュレスはやめや！！時代はオランジーナレスリングや！！
