玉子,売れっ子のタレントはやっぱり大変なのね～。だけど寝てない自慢なんて、面白いもんじゃないわね
のび太,寝てない自慢……？。ドラえも～ん！
ドラえもん,なんだい？
のび太,寝てない自慢ってなに？
ドラえもん,そのまんまだよ。自分が眠ってないことを自慢することさ
のび太,なんで眠ってないことが自慢になるの？
ドラえもん,うーんと、つまりだね……。寝るってことは、ようするに休息を取るってことだろう？
のび太,うん
ドラえもん,その休息を満足に取れてないってことは、自分はこんなに忙しいんだってことを。自慢することにつながるじゃない
のび太,そうか！テレビに出てた人もそんなこといってた！
ドラえもん,それに、眠れない他の原因としては、体調不良や心の不安などが挙げられる。そういった、自分は今つらいんだ、ということをアピールすることもできるからね
のび太,なるほど～！。よし決めた！
ドラえもん,へ？
のび太,ぼく、明日学校で寝てない自慢をしてみる！。いつもぼくは他人に自慢されてばかりいるから、たまには自慢してやらなきゃ！
ドラえもん,え～……やめた方がいいと思うけど。きっとろくなことにならないよ
のび太,いや、やる！
ドラえもん,またバカなことを……。寝てない自慢なんて、みんなからうっとうしがられるだけだろうに……
のび太,みんな、おはよう！
しずか,おはよう、のび太さん
ジャイアン,おっす！
スネ夫,今日は珍しく遅刻してこなかったのか。雨でも降るんじゃないの？いや雪かもね
のび太,ふあぁ……
ジャイアン,おいおい、朝からいきなりあくびかよ
スネ夫,アハハ、のび太らしいや！
のび太,うん、実はね……。昨日はあまり眠れなかったんだ
しずか,えぇぇっ！
ジャイアン,のび太が……あののび太が……っ！
スネ夫,眠れなかっただって！？
三人,そんなバカな！！！
のび太,！？
ジャイアン,のび太が眠れないだなんてありえねえ！母ちゃんが優しくなるくらいありえねえ！。ま、まさか……オレのせいか？
のび太,え？
ジャイアン,オレが殴ったりしたせいで、眠れなくなっちまったのか？。ごめんよぉ……許してくれぇっ！。うわぁぁぁぁぁっ！！！
のび太,ちょ、ちょっとジャイアン！落ち着いて……
スネ夫,いいや、ぼくのせいだ！。ぼくが日頃、自慢話を聞かせたり、旅行に誘わなかったせいで。のび太の精神はついに異常をきたし、眠れなくなってしまったんだ！。のび太、あとでぼくのオモチャを全部やるよ！
のび太,いや、いきなりそんなことされても困るよ！
スネ夫,そうだな、このくらいでぼくの罪が消えるわけはない。罪を償うために、窓から飛び降りるしかない……！
のび太,わーっ、待った待った！
しずか,のび太さん！
のび太,はい！
しずか,どうして……どうしていってくれなかったの……？。あたし、のび太さんがそこまで思い詰めてるなんて知らなかった……。のび太さんが眠れないだなんて、よっぽどのことだもの……
のび太,あ、あのね……これはね……
しずか,う、う、う……
のび太,どうしよう、泣き止みそうにないぞ……
出木杉,みんな、大騒ぎしてどうしたんだい？。野比君になにかあったのかい？
ジャイアン,出木杉！
スネ夫,実は……
しずか,のび太さんが昨夜、眠れなかったんですって！
出木杉,な、なんだって！？。たしかに普通の人にとって、“眠れない”ってことはよくあることだけど……。野比君の睡眠好きはぼくもよく知ってる。野比君が寝てない眠れないなんて、科学的にもまずほとんどありえないことだ！
しずか,でしょう！？
スネ夫,さすが出木杉！
ジャイアン,頼む、のび太を助けてやってくれよ！
出木杉,ううん、市販されてる睡眠薬で一番強力なものを探すしか……でも、副作用が……
のび太,なんだかとんでもないことになってきたぞ……
先生,どうしたんだ、もう授業が始まるぞ。みんな、席につきなさい
ジャイアン,それどころじゃないんですよ！
先生,？
出木杉,先生、野比君が昨夜眠れなかったらしいんです
先生,なんだとぉ！？。いったいどうしてそんなことに……！？。野比、すまん！。私がガミガミ怒りすぎたせいで、重度のノイローゼに陥ってしまったのか！。すまん、許してくれぇ！いや、今すぐご両親に謝罪して、退職願を……
のび太,いや、あの……
しずか,のび太さん……お願い、死なないで……
スネ夫,やっぱり飛び降りるぅ！
ジャイアン,うわぁぁぁん！オレはどうすればいいんだぁぁぁ！教えてくれジャイ子ぉぉぉ！
出木杉,野比君の睡眠を阻害する脳内物質の正体さえ分かれば……
のび太,みんな、いい加減にしてよ！なんでもないんだったらぁ！！！。ただいまー……
ドラえもん,お帰り。そういえば寝てない自慢をしたんでしょ？どうだった？
のび太,うん……ろくなことにならなかったよ
ドラえもん,ほーら、やっぱりね
