第一夜,情熱的不老不死者
そうそれは、探偵の僕が推理するに,シュレディンガー
そうすると、来客があったんだ。そいつは頭を抱えている僕を心配そうに覗き込んで,悲鳴が聞こえたけど大丈夫か？
小学生のころ、僕は,将来の夢
ほぅ、これはこれは。今のところ、特に金には困っていないが,ただでもらえるものは嬉しい
いやまあ、かつての世界なら,首から上には何も無い
仮に、無理やり,結婚指輪
なるほど、,結婚指輪
しかし、これはミステリー小説ではくネットのゴミ捨て場,異世界転移物
そういえば、神を名乗る隣人が僕に,無限の可能性
いや、,恋は当然フィフティフィフティ
シュレディンガーは、まるで,任せておけ
さて、酒に酔った男が一人ですることNo.１と言えば過去の栄光に思いを馳せることだという。,僕調べ
……そう,アレシボメッセージ
四足歩行で歩き、,みゃあ
代わりとばかりに逆立ちして歩きまわり、あまつさえ,みゃあ
もしくは、,わん
そのカセットテープにふられたタイトルは,アレシボメッセージ
アレシボメッセージ……というよりは、ボイジャーのゴールデンレコードのほうが近いかもしれない。なぜなら、それは返信を期待したものではなく、ただ一方的に僕という人間が銀河系の隅っこにいることを知らしめたかっただけのものだからだ。僕は、自身の研究を,愛
いったい何年、いや何億年経ったのかはわからない。宇宙に放たれた一方的な愛はついにとある惑星に届いた。そう、この狂った惑星に僕の愛はたどり着いた。そして僕は、ラジカセの頭をもつ僕は。僕の,愛
僕は、天を仰ぎ神を称える。僕に肩を揺さぶられて目を回していた友人が,もう一度言う前に、悟るなよ……
狂った世界で、僕は偽物の僕だった。だがシュレディンガーはどうだ。猫の姿をもって、,にゃあ
シュレは,にゃむにゃむ
僕は、驚きのあまり,なーご
ところが、読み物の世界に目を向けてみると、これがまた不思議なことに,不死
勇者,おーい、いるか？
魔王,いるよいるよ、カギはかかってねえから入ってくれ
勇者,久しぶりだなあ魔王、５００年ぶりぐらいか
魔王,だれかと思えば、勇者か。もうそんなに経つのか
勇者,ちっと近くに寄ったもんでな、それでどうだい？そろそろ寿命はつきそうか？
魔王,それがちっともさ、腰はいたまねえし、思考も冴えっぱなし、体力も全盛期となんら変わらん
勇者,おいおい、魔王が死なない限り、勇者である俺も死ぬことができねえんだ。そろそろ死んでくれよ
魔王,だったら、お前が俺を殺しておくれよ
勇者,俺の力じゃあ魔王を殺しきれねえから、寿命がきれるのを待ってるんだろうが
魔王,ちっ、我だって死ねるもんならさっさと死にたいさ。テレビにもラジオにも飽き飽きだ。漫画や小説も、これだけ長く生きてると先の展開が読めてしまってつまらねえ。現世で生きる無上の苦しみには、我はもう耐えきれん
勇者,まあ、そんなところだろうと思ってな。今日は面白い話を持って来たぜ
魔王,面白い話？
勇者,ああ、なんでも月のでない夜。俺たちのように死ぬことのできない者たちが夜な夜な講を開いているらしい
魔王,ほう、この世界に我ら以外にも不死者がいるというのか
勇者,おうよ、それで今晩は、その月の出ない夜ってわけだ。一緒に行ってみようぜ。うひゃあ、こりゃまたすげえな
魔王,おい、向こうを見てみろ。肉が腐り落ちてるのに、動いている奴がいるぞ
