・このSSは,静・ジョースターの奇妙な日常
男,足のネンザが治ってたあぁ～～ひねった足首の関節がよォオ～～……治ってたのに、今はスゲー痛えェエよォォ～～ッ！
救急隊員,コイツは軽傷だな……向こうの道に倒れてる人のほうがヤバそうだ。そっちにタンカをーッ！
女,うう～～……体が溶けてるゥウウ～～……マイマイカブリに食われるなんてェェェ～～医者を呼んでくれェエエエエ～～～
警察,街中大混乱だ……一体何が起こっているんだァ～～？。あッ！大丈夫ですかァ～？神父様ァー？すごく……気分が悪そうですけどォ～～？どこか怪我でも？
プッチ,……何でもない……向こうへ行ってくれ。わたしは急がなくてはならない用があるんだ……
警察,……
プッチ,ハァ、ハァ、ハァ……急がなくては……新月の時は近い……それまでに。北緯28度24分……西経80度36分……ケネディ・スペース・センターへ……ケープ・カナベラルへ……ハァハァハァ……。ハァ、ハァ……天国だ……天国の時は近い……！ハァハァ……。そしておまえはそれ以上わたしに近付くな。気付いていないと思っていたか？お前は……ずっとわたしをつけていたな？これほどまで近づいてきたのは初めてだが……そこの茂みの中にいるな？。……わたしは、夜空に流れ星を見た……3つだった。……3つ、確かに3つ流れたんだ。しかし……。この星には……肉眼では確認することの出来ない流れ星が、つねに降り注いでいるのだ。……お前もそのうちの一人か？確認できなかった者か？。お前からも……肉体の波長を強く感じる……！まさかお前も……DIOの息子の一人なのか……？。……。……。ホワイトスネイク！！DISCを一枚このわたしに――。――ぐおおッッ！？こ、これはッ……？
チェスタ,フーッ……サカナクション……視力を食ったぞ、神父……！
プッチ,うおおッ……
チェスタ,ム……。……DISCを使って人を操るのが、貴様の能力か？当たらなければ意味はないな。見当違いの方向へ飛んでいったぞ……
プッチ,な……何者だ？お前は……
チェスタ,フーッ……俺もまた、貴様に引かれて集まった一人、なのかもしれないな。今の今まで日本を放浪していたのだが……自分でも何故今アメリカにいるのか、理解していないんだ。……しかし
プッチ,……ハァーッ、ハァーッ……
チェスタ,……俺は貴様に出会うために、ここに来たことを実感したよ。貴様の追い求めているものは、俺が追い求めているものと同じだ。……俺はお前を押し上げない……お前に押し上げてもらうとするよ
プッチ,……くっ……視力が……！
チェスタ,答えろ、プッチ神父。……天国へはどうやって行くのだ？
プッチ,…………
チェスタ,俺は今まで暗い闇の中を生きてきた。お前の求める天国は、俺が今まで生きてきた人生の中、最も欲したものでもあるんだ。俺が天国へと到達する……
プッチ,……
チェスタ,答えないというのなら……お前の五感を全て食う。ひとつひとつ丁寧に咀嚼して食ってやる。……どこまで耐え切れるか見ものだな……
プッチ,……
チェスタ,さあ、答えろ。それとも生きながら死ぬのがお好みか？黙りこくってるんじゃあないぜ。……五感を食われるという体験をして、子鹿のように怯えているのか？クク……
プッチ,……本に染み付いた薄汚い汚れのような小男が、ずいぶんと偉そうな口をきくものだ……わたしとDIOの砦に踏み込んでくる気か？愚かな……
チェスタ,……何？
プッチ,……視力なら数時間前、すでに自分で抜き取ったことがある。この状況には慣れている。目が見えなくても……お前の位置なら感覚でわかる
チェスタ,……感覚……だと？……肉体の波長というやつか。しかし……
プッチ,……
チェスタ,それだけでお前、自分が対等な立場にでもなったつもりなのか？今命令するのはこの俺だ。次は触覚を食ってやる。俺を舐めきった言葉が、その口から飛び出ないようにな……！
プッチ,対等？違うな……お前はわたしの上にいるつもりかもしれないが、わたしのほうがすでに上にいる
チェスタ,……
プッチ,すでに……わたしはすでに、DISCを投げているんだ……
チェスタ,――サカナクション！少しばかり痛い目を見せてやれェ――ッ！！。！？――うぐうゥッ！？。何ッ！？……撃たれた……背後からッ！？脇腹を……うう……誰が……！？
プッチ,……強力なスタンドだが、なるほど……本体への攻撃には弱いようだな。わたしの視力が戻ったようだ
チェスタ,誰だ……俺を撃ったのはッ……！？。……！
警察,あああァ～～ッ……大丈夫ですかァ～～？神父様ァァァアア……すごく……気分が悪そうですけどォオ～～ッ？
チェスタ,な……んだとォ～？警察の頭にッ！DISCがッ！ハァ、ハァ……！
プッチ,最初から……DISCはお前に向かって投げたんじゃあない。彼だ……彼に攻撃してもらうように投げたんだ
チェスタ,くっ……！
プッチ,さて、DIOの息子よ……。おまえは……わたしを押し上げる存在じゃあないんだな？
チェスタ,……その通りだ……俺は貴様からッ！天国を奪うためにここに来たッ！ハァ、ハァ……！
プッチ,しかし……引力に導かれてお前はここに来た……その事に意味はあるはずだ。おまえの役割はなんだ？
チェスタ,ハァ、ハァ……
プッチ,お前は……何故今わたしの前にいる？
チェスタ,……言ってることがよく、わからないな……しかし、意味なら……俺が天国へ行くためだろう
プッチ,……
チェスタ,俺が天国へと到達する。なぜなら、お前は……きっと、天国へ行くことは出来ない
プッチ,……！
チェスタ,お前は神父だ……人の法よりも神の法を尊ぶ人間だ。しかし……だからこそ……お前は天国へ到達することは決して無い……
プッチ,……興味深い話だな。……それは何故だ？
