新八｢へー、まるでどっかで経験済みみたいな言い方ですね｣,棒読み
銀時,長年の勘からして何か嫌な予感がすんだよ…今日はとっとと寝ちまうか
上条,ベランダにシスターさんと白髪の男が干されてる……。こ、今度はシスターが目を覚ました…
禁書,どうしよう…このままじゃきっと私、空気になっちゃうんだよ……
銀時,何か目が覚めたらここにいました、とは言えねーし…上手い言い訳は……。初耳もクソもそんなシステムねーよ！何その狙われたシスターの護衛って！？。出任せにしろ言っちまったモンは仕方ねえ…適当にやってバックレりゃ…
美琴,何なのあれ……変な奴
上条,銀さん…あの子のこと、ちゃんと見つけられたのか？。俺が…俺が右手で触ったから……？。俺を守るためにわざわざ戻ってきた…？じゃあこいつが怪我したのは…
銀時,うん、こりゃあれだ…Ｘ－２パターンだな……
美琴｢アンタ…学園都市レベル５の超電磁砲,レールガン
銀時,どんなに速く飛んでこようが所詮メダルだろ、なら余裕で…。メ、メダルじゃなくてかめはめ波飛んできたァァァ！！。オイィィィ！あのガキいきなりかめはめ波撃ちやがったよ！？サイヤ人か！？。そういやアイツの体の周りに電気みてーな…超サイヤ人２になると出るアレが…。学校…電気…魔法とか超能力…あの声……ま、まさか……
美琴,か、考えてみたらアイツの家に行くなんてめったになかったわね…ラッキー！
美琴｢そ…そう、あたしは御坂美琴、学園都市第三位で異名は超電磁砲,レールガン
美琴,もう…何でこういう日に限って門限が早いのよ……ついてないわね
銀時,一枚一枚に妙なモン書き込んでやがる……犯人は中二病か？
ステイル,集中集中…よし大丈夫だ…！
上条,あ…涙目……
ステイル,な、何故イノケンティウスが発動しない…ルーンはちゃんと貼ったはず！
銀時,俺ァさっきまで何してたんだっけか……？
上条｢ウオオオォォ！ＤＡＶＳ！,ダウン・アッパー・ブイ・ストーム
銀時,コイツめんどくせーな…一発適当なこと言ってビビらせとくか…？。……あれ？やべえ、何か間違えたか？
上条,いや……さすがにもう少し上手いハッタリがあったんじゃ…
銀時,嘘だろオイ、将来海賊王になる一味の狙撃手が考えた台詞なんだぞ？
上条,こんなのよっぽどバカじゃないと信じたり…
銀時・上条,あー…なるほど、コイツよっぽど馬鹿だ
上条,そういや忘れてたけど…この人も正体がよく分からないんだよな……
銀時,…計画通り！
上条,苺おでん……
