主にエリカとマチスのお話し,予定
エリカ,なんだか騒がしいですわね・・
女トレーナー,あ！エリカさん！困ってるんです！。なんか変な外人が現れて・・男性侵入禁止なのに・・エリカさんと戦わせろと
エリカ,変な外人・・・?
マチス,ＨＡＨＡＨＡＨＡＨＡＨＡ！！！！！とりあえずミーのポケモンでビリビリ！イチコロネ！
エリカ,あらマチスさん。クチバジムはどうなさったんですか?
マチス,ンんんんんんんッ！ゴミ箱スイッチ方式のせいで全然挑戦者が来ないネ！しかも開けてもらわないと出られないネ！。あんなキュークツなトコロはもうコリゴリネ！だからちょっと外の空気吸いがてら挑戦しに来たって訳ネ！
エリカ,ここに来るまで大変じゃなくって?
マチス,ノンノン！ヤマブキを経由でここまで来たネ・・
エリカ,あら・・警備員が通してくれないはず・・
マチス,ちょっとネ・・クビをコキャッとネ・・それで黙らせたネ
エリカ,ならナツメさんと勝負なさったらよかったのに
マチス,ノー！ちょっとレベル差がありすぎるネ。カスミはコキャッと倒したヨ！自信ついたネ。ついでにレベルもあがったヨ！
エリカ,舐められたものですね。わたくしに勝とうなどと・・
マチス,ＨＡＨＡＨＡ！勝ってから言うセリフですネ！。一対一のソロバトルデース！。いけ！ライチュウ！ビリビリにしてあげなサーイ！
エリカ,ゆくのですラフレシア
マチス,ライチュウ！ビリビリ！１０万ボルト！
エリカ,強力ですね・・でもあまり効きませんわよ。草タイプには。ラフレシア。はなびらのまい
マチス,ＯＨ！じり貧！負け確定！オーノ―！。ガックリ・・
エリカ,良きバトルでしたわ。さて、お帰りになりますか?
マチス,ＮＯ！まだ帰りたくありまセーン！
エリカ,あらあら
マチス,そうだ！タマムシデパートを案内して下サーイ！
エリカ,はぁ・・
女トレーナー,エリカさんはジムをさぼるような事はしないの！おとなしく帰りなさい！
エリカ,いや・・いいんですよ。いつも寝ておりますし。たまにはお外の空気でも吸おうかしらね・・私も
マチス,イエああああああ！
女トレーナー,そんなぁ・・
エリカ,ここがワザマシンを売ってる階で。。そしてここが進化の石を売ってる階でして・・
マチス,ンんんんんん！喉がカラカラネ！ジュースありますカ！？
エリカ,ああ・・でしたら一番上の階に・・
マチス,ンんんんんん！生き返りマース！
エリカ,あらあら・・マチスさんってホントいつもお元気ですね・・
マチス,そうですカ？ワタシだって悩んで落ち込んだりする時だってありマース
エリカ,・・どんな時ですか?
マチス,戦友を失った時にネ
エリカ,まあ・・それは大変な経験をなさって・・。そうですよね・・元軍人さんのマチスさんですものね・・
マチス,それに比べたら今の生活は楽しいコトだらけデース！！ＨＡＨＡＨＡＨＡ！
エリカ,フフ・・マチスさんがいつもお元気なわけですね・・。楽しいコト・・いっぱいでしたか?今日は
マチス,そうネ！ジム挑戦はここで終わってしまったケド、バトル後においしいジュースが飲めたから全てヨシ！ネ。そうダ！今度クチバシティに遊びに来てクダサーイ。セントアンヌ号の案内してあげマース！
エリカ,あら、嬉しい。船、乗ったことないので・・楽しみですわ
マチス,ＨＡＨＡＨＡＨＡ！では、ごきげんヨー！。おや・・?遂に念願の挑戦者デスカ?
エリカ,遊びに参りました
マチス,ＯＨ！エリカサーン！来てくれたのデスネ！カスミは誘ったのに全然来てくれまセーン！
エリカ,ではご案内して下さいな・・
マチス,ＯＫ！いーっぱい案内してあげマース！
エリカ,まあ、これがセントアンヌ号。お部屋もお広いですわね・・
マチス,ＨＡＨＡＨＡＨＡ！豪華客船ですからネ！トレーナー達がバトルも仕掛けてくるので退屈しまセーン！
乗務員,失礼します。お料理は・・フィッシュorビーフ?
エリカ,???えーっと、懐石料理を・・
