アシダカ母,…もうそろそろ卵から子供達が孵るわね…
母,ふふっ…元気な子供達ね…。あら？もう動けるようになったの？あなたは良いハンターになりそうね。よしよし…こうして一緒に居られるのも、あと一週間くらいだから…
軍曹,ままー？
軍曹A,それでは母上、行ってまいります
母,ええ。みんな長生きするのよ…
軍曹B,この一週間の訓練、我々は一生忘れません！
母,はい。あなたたちの武運を祈っています
軍曹C,気を付け！敬礼！。直れ！
母,…ぐすっ…それでは…最後の命令を下します…
女軍曹,えっ…このまま出発では…
母,私を…食べなさい。あなたたちの、栄養にして…頂戴…
女軍曹,なっ！？。母上、何を…！
母,良いのですよ、女軍曹…それが私の使命ですから…
軍曹C,…指示された通り、かかれ！
軍曹達,かかります！
女軍曹,ま、待て！みんな…。だが！しかし…っ！
母,それで良いのです…それで…
軍曹C,気を付け！母上に敬礼！。直れ！
女軍曹,うっ、ぐすっ…お母さん…
軍曹A,おい、妹！泣くなよ…泣いたってしょうがないだろ！
女軍曹,分かって…分かってるよ兄さん…
軍曹C,これより最後の命令を下す！分隊員はそれぞれ降下ポイントよりパラシュート降下を行い、各自独自の判断により行動する事
軍曹B,これが最後の顔合わせだっていうのに…情けない奴だなホント
女軍曹,ぅ、ぐすっ…
軍曹C,交戦規定は“生き残れ”。それだけだ。共食いでも縄張り荒らしでも何でもしろ。とにかく生き残れ…それが母上の意志だ。以上、解散！
軍曹B,…さて、降下ポイントはこの辺りだな…
軍曹A,降下って言ったって…上昇するだろ、これだけ風きつけりゃ
軍曹C,ああそうだ。だからなるべく他の奴らとは違う所に行くようにしろよ
女軍曹,共食いなっても…誰も助けてはくれないから…
軍曹C,そういう事だ。泣き虫の妹
軍曹A,それじゃあ俺はとっとと行く事にするわ。腹を空かせたお前らに襲い掛かられちゃたまらんからな
軍曹C,さよならだ、兄弟…。…お前は行かないのか？
女軍曹,…行くけど…兄さんは？
軍曹C,全員の旅立ちを見守ってやって欲しいというのが母上からの命令でな。先任伍長も楽じゃない
女軍曹,…そうですか
軍曹C,…さぁ、次はお前の番だ。一生に一度のバルーニングだ、楽しむ勢いで行けよ
女軍曹,…はい
軍曹C,俺たちは空挺師団だ。飛び降りる勇気と、生き延びる勇気を。往ったか…
女軍曹,な、なに今の風…噂に聞いていた“室外機”？。…っ、この…パラシュート外して…。体重、軽くて良かった…着地のダメージは少なくて済んだから…。それで…ここは何処だろう…一軒家みたいだけど…。とりあえず、忍び込もう…通気口から侵入しよう
軍曹,はっ、ぁ…ここまで来れば一先ずは安心ね…。後は家の構造をマッピングして頭に叩き込んで、獲物の通り道を把握して、順次攻撃…って母さ…いや母上が言ってたわね…。疲れた…ん？何か来るような気配が…。…敵っ！？しかも早い！？今の状態で迎撃なんて…くっ…！
？？？,ここに逃げ込めば…ん？誰だ！
軍曹,…見つかった！
ゲジ,っ、あんたは…
軍曹,早いっ…！
ゲジ,一撃が重い、当たったらマズイな…
軍曹,はあっ、はあっ、はぁ…
ゲジ,はっ、はぁ…おい、ちょっと休戦しないか！ヤバいのに追われてんだ！
軍曹,…そうやって油断させて後ろから襲う気？
ゲジ,お前の探知能力なら分かるだろ！探ってみろよ！
軍曹,…あんまり当てにしないでよ。私だってまだ子供なんだから…。………。…掛かったっ！？
ゲジ,それみたことか！
軍曹,早い…そして大きい…これはっ…
ゲジ,俺は逃げるぜ！お前もそうするんだな！
？？？,…
軍曹,これはっ…
G,…
軍曹,ゴキ…ブリ…っ！！。駆動系に一時的に負荷を掛けるけど…やるしかない！緊急用高機動モード、レディ！
ゲジ,聞こえるか、こちらに逃げ込め！
軍曹,了解っ…！リミッター…解除！
ゲジ,早いな…流石だ
軍曹,くっ、脚部に軽度の損傷を確認…何度か壁にぶつけたから…
ゲジ,安心するのはまだ早いぞ、奴はまだこっちに来てる！
軍曹,あの早さ…あの大きさ…
ゲジ,ああ、クロゴキブリの成虫だ…今の俺たちには到底適う相手じゃない…
軍曹,向こうのレーダーもかなりの性能よ。痕跡を残さないように、静かに行動しましょう
ゲジ,それならいい場所を知ってる…こっちだ
軍曹,ふぅ、ふぅ…レーダー、パッシブにに感なし…なんとか振り切ったわね
ゲジ,一時はどうなる事かと思ったぜ…この家に来てからまだ間もないが、あんなでかい奴が居るなんて知らなかったぞ
軍曹,チャバネなら狩れるかもしれないけど…あの大きさとなると成虫近くなるまでは…無理ね
ゲジ,あぁ、そうだな…
軍曹,…もっとも、あなたも狩りの対象には入ってるのだけれど？ゲジゲジさん？
ゲジ,…っ、辞めてくれよ…俺だってお前を殺そうと思えばできない事は無いんだぜ…速度なら負けねーしな
軍曹,ふーん、それじゃあさっきの続き…ここで始める？今度は本気で殺すけど
ゲジ,上等じゃねぇか…掛かって来いよタカアシガニ
軍曹,…お腹空いたわ
ゲジ,…俺もだ。まだまだ休戦と行こうぜ
軍曹,はぁ…食事と言っても…何か狩れそうなのは…。うっ、油断したら後ろからザクっとやられそう…
ゲジ,ま、安心してくれよ。俺は外でヤスデかハサミムシかなんか食って来るわ。それじゃあな、“相棒”
軍曹,はいはい、お好きにどうぞ…って、なにが相棒よ…。…そろそろ戻って狩り、始めなきゃね…
チャバネ,…
軍曹,…ごめんなさい。私も、生きなきゃいけないの…母さんのために…
人間,うわっ！ゴキブリだ！殺虫剤とかねーよやべぇ！。あちゃー、戸棚の後ろに入っちまった…これじゃどうしようもないな…今度バルサン買ってこよう
軍曹,あの時とは違うのよ、あの時とは…
？？？,なかなか上手じゃないか
軍曹,その声は…。…何？獲物を横取りにでも来たの？
ゲジ,…なんてな、冗談だよ冗談。同じ戦場で生きる仲だ、縄張りを荒らしたりなんてしないさ
軍曹,…どうだかね。…ふぅ、ご馳走様でした。何よ。さっきから人の顔見て笑って…
ゲジ,いや、その…昔から変わらず可愛いなとか思ってさ
軍曹,ゲジにそんな事言われても嬉しくないわよ。どうせ私の仲間を何匹も食べてそこまで大きくなったんでしょ？
ゲジ,それはそうだが…まぁお前は特別だ。幼馴染みたいなもんだし…その、女友達っていうか…なんて言うか…
軍曹,さっきは相棒とか言ってたくせに…
ゲジ,まぁ相棒は相棒だけどさ！ほら、そのなんて言うか…。お、おい待ってくれよ！
軍曹,何？食べるもの食べたから帰って寝たいんだけど
ゲジ,俺も連れてってくれよ。久し振りだしさ、色々話しがしたくてな…
軍曹,自分の寝床にゲジなんて呼ぶわけ無いでしょ！寝てる時に奇襲されない保証が何処にあるのよ！
ゲジ,そんな事しねぇよ！ただ…
軍曹,ただ…？
ゲジ,少しでも長く、お前の側に居たいだけなんだ…
軍曹,…っ！？。…い、良いわよ…その代わり、私の許可なく勝手に来たら容赦無く食い殺すからね
ゲジ,…アシダカ…
軍曹,はい、ここが私の寝床
ゲジ,…巣とか張って無いんだな。というか物影の角ってだけじゃないか…
軍曹,私はそういう蜘蛛じゃないからね
ゲジ,ふーん…外でジョロウグモっての見たがまぁ綺麗な見た目してたぜ
軍曹,うるさいわね！どうせ地味で手足が長いだけの嫌われ者って言うのは分かってるわよ！
ゲジ,そんな事ないぞ！
軍曹,ゲジ…？
ゲジ,俺の方が手足長くて気持ち悪いわりに存在感あるからな…アシダカの方がよっぽどマシさ
軍曹,…ご、ごめん…
ゲジ,いや、良いんだ…分かってるよ。ブサイクだからな俺は
軍曹,…
ゲジ,…
軍曹,…あの後、何も言わず帰っちゃったけど…。何がしたかったのかな…あいつ
人間,えーっと、バルサンバルサンっと…。それとゴキジェットも買っておこうかな。これで虫も怖くないぞ
軍曹,…さてと、今日も狩りに出かけないとね…ん？
人間,えーっと、なになに？部屋の真ん中で炊いてください…食べ物やリモコンは隠して…
軍曹,人間、人間は…面倒ね。私は面倒が大嫌いなのよ。しばらく隠れておこうかな。…消えたわね。あの赤い缶は何かしら…少し近づいて確かめてみようかな。…何かしら。ゴキブリや私の絵が描かれてる…
？？？,それはバルサンと言う奴だ。虫や俺たちみたいな虫もどき用の大量破壊兵器さ
軍曹,…あなたは…
ゲジ,ついに見つかったか、相棒
軍曹,…どういう意味？
ゲジ,この兵器は俺たちを皆殺しにするために準備されたものだ。人間に見つかった虫が居たんだろう…迷惑な奴だ
軍曹,私じゃないわよ
ゲジ,そうだろうな。でももうそんな事は関係ない…
軍曹,…それもそうね。設置された物は仕方が無い…早く脱出しなければ…
ゲジ,…待てよ
軍曹,…何？まだなにか…
ゲジ,行くなら俺を殺してから行け
軍曹,！？
ゲジ,俺は種族として、ゲジとして…お前と決着を着けなきゃならないんだ
軍曹,だからってこんなところで…二人とも死ぬわよ！？
人間,用意出来たし家出るか…うわあっ！？。なんか変な虫とデカイ蜘蛛が戦ってる…とりあえずバルサン炊いて逃げよう
軍曹,…っ、ゲジ！もういい！決着は着いた！
ゲジ,れよ…
軍曹,！？
ゲジ,これが俺の生きた証だ…。残念だったなぁ、相棒…バルサンはもう止められない…お前なら、逃げ切れるかもな…
軍曹,ここまで、ね…
ゲジ,俺はただひたすら、強くあろうとした…
軍曹,あんたらしくもない…。それじゃあ…巻き添えで死ぬ前に…私は行くわね
ゲジ,…後は頼んだぞ、アシダカ！
軍曹,…最期まで、笑顔だったな…。…。次の家…探さなきゃ…。隣の家に…よし、空いてる…。はぁっ、く…すこし…わたしにも…マワってき、たかな…？。どうし、よ…いきの、びる…のが、しめ…に…。…もう、すこし…で…たんす、の…かげ…に…
人間,どうしたー、タマ。うわー、デカイ蜘蛛だなー。流石タマ、ゴキブリも一撃だもんなー！
猫,うみゃ
