校長,……ごほんｯ。卒業証書。△△△△殿。あなたは本校の全過程を～
友,♀
女,そうね
友,私たちも来年度から花も恥じらう女子高生かぁ
女,そうね
友,……。なぁさっきからどうした？ずっとうわの空だけど
女,別に
友,あ、さてはお前泣きｓ
女,寝言は寝て言えこのあんぽんたん
友,えー。あんぽんたんっていう悪口久しぶりに聞いたし
女,あんたは私が卒業式の最中に、これ見よがしに嗚咽漏らしながら泣き始める胡散臭い女に見えるわけ？
友,ホント、最後までその口の悪さは直らなかったな
女,えっ何それ？笑う所デスカ？
友,はぁ。黙っていればお人形さんみたいで可愛いのに……
女,私もあんたのボーイッシュな感じ、割と好きよ
友,なっ！どうしてお前はいつも真面目な顔してそういうこｔ
女,実はね、どうしてもあんたに1つ確かめておきたいことがあるの
友,えっ
女,……
友,な、何だよｯ///
女,昨日の晩御飯なに食べた？
友,それ今答えなきゃダメか？。まぁ別にいいけど。えーと、たしか昨日の晩ごｈ
女,昨夜、私は焼き魚の鯖さば
友,勝手に語り始めちゃったよ
女,どうして私は馴れ馴れしくこの魚を鯖と呼んでいるのか、ってね
友,いや、だってその魚は鯖だったんだろ？
女,それは私たち人間の都合で勝手に鯖って呼んでいるだけでしょ？
友,へっ？
女,だからｯ！！もしかしたら昨日私が食べた鯖は鯖と呼ばれる事に対して心苦しんでいたかもしれないって話よｯ！！
友,ば、馬鹿ｯ！声がデカいってｯ！
女,あんたは鯖が鯖と呼ばれる気持ち考えたことあるわけｯ！？
友,あるわけないだろそんなことｯ！
女,最ｯ低！！あんたのこと見損なったわこのおたんこなすｯ！！
友,何これ。酷い言われよう
女,私は鯖が鯖と呼ばれる事に対して鯖は心苦しんでいるんじゃないかと心苦しんでいるというのに、さばさばした性格のあんたも少しは鯖が鯖と呼ばれｒ
友,だぁぁぁぁもうｯ！さばさばさばさばうるさいんだよｯ！
女,人はいつだってそうよｯ！自分勝手に、都合の良いように物事を決めるｯ！
友,おーい
女,他人の為なんてものはないｯ！所詮は全部自分の為ｯ！
友,頼むからそろそろ戻ってこーい
女,いったい人は無自覚にどれだけの心を傷つければ気が済むの！？
友,うんうん。今、身をもって実感しているよ
担任,お前らうるさいぞ
友,げっ
担任,もうすぐ俺たちのクラスの番だからな。俺に名前を呼ばれたら大きな声で返事しろよ？
友,あはは。わかってますよ先生
女,……
友,それみろ。新たな旅立ちの日だって言うのにお前のせいで怒られたじゃないか
女,……
友,お前がネガティブなのは今に始まったことじゃないけど、考えすぎは身体に良くないぞ
女,あんたなんかに鯖の気持ちなんて一生わからないわよｯ！
友,いや、鯖の気持ちがわかる女子中学生の方が凄いって。そもそも鯖に限らず、全ての事象には名前があるだろ
女,だからそれは人が勝手になｚ
友,でも、そうしないと人はその存在を〝認識″できなくない？
女,……
友,だから私にも名前があるし、お前にもちゃんと名前がある
女,そ、存在を認識するだけだったら別に番号で呼べばいいじゃないｯ！
友,えー嫌だよそんなの。囚人みたいじゃん
女,私たちはみんな、社会という名の檻に囚われた囚人みたいなものよｯ！
友,あいたたた
女,……ふんｯ
友,……。私はお前にその名前があって良かったと思っているよ
女,えっ
友,だってさ。出席番号で隣にならなければこうしてお前と仲良くなることもなかっただろうし
女,……
友,中学を卒業しても私の事忘れるなよ？
女,……。お、同じ高校へ入学するんだからどうせ嫌でも私の目の前に現れるんでしょ！///
友,てへっ。でもさ。私たちも女子高生になるんだから、お前はまずその性格直した方がいいんじゃない？
女,残念でした。これはもう一生直りませーん
友,そんな態度だからみんなにからかわれるんだよ
女,……そんなの鶏が先か、卵が先かの話よ
友,えっ？
女,うるｯさい！あんたも髪ぐらい伸ばした方がいいんじゃないのｯ！？
友,それはもちろん！もう部活はこりごりだよ……
担任,出席番号16番。□□□□
友,って、嘘！？つぎ私の番だｯ！
女,……
友,さっき先生に注意されたから大きな声で返事しないと
女,そうね
友,後でなに言われるかわからないし
女,そうね
友,おーい。ホントにわかってるのか？
女,そうね
担任,出席番号17番。××××
友,あ、はいｯ！！。それじゃ私の背中は任せたぞ
女,……。私を誰だと思っているの？
友,それはもちろん私の頼れる相棒さ。……
女,……。私もあんたのその名前、割と好きよ。……。……
担任,出席番号18番
女,……ｯ！
