スタッフ,す、すみません、こちらの手違いで……
やよい,ええ、それじゃあ今日は飲み物も何も出ないんですかー！？
伊織,ちょっと！この私に飲まず食わずで収録させる気！？
P,仕方ないな……ちょっと俺がそこのコンビニまで……
やよい,ギターソロかもーん！
ギターソロ,呼んだ？
P・伊織,！！？
やよい,すいませーん、ちょっと頼みごとしても良いですかー？
ギターソロ,いいぜ、そこのコンビニで弁当と飲み物を買ってくれば良いんだな
やよい,はい！おねがいしますー！
ギターソロ,おっと、そっちの人達も一応からあげ弁当とお茶で良いよな？
P,あ、はい
ギターソロ,じゃ、ちょっくら行ってくるぜ、収録に戻りな
やよい,うっうー！ありがとうございますー！
伊織,何よアレ。ちょっと、やよい！なんだったのよアレ！？
やよい,えー？ギターソロの人だよ？
P,確かにやよいのキラメキラリでギターソロは毎回出てくるが……
伊織,なんなの？あいつ呼べばすぐ出てくるの？
やよい,そうだよー、ギターソロ！かもーん！
ギターソロ,どうしたやよい！
伊織,うわっ。ちょ、ちょっとあんた！何なのよ！ストーカーじゃないの！！
ギターソロ,おいおい、何を言ってるんだ？ギタリストたるもの常にソロに答えられるよう……
やよい,そうだよ伊織ちゃん！この人すっごい良い人なんだからー！
伊織,良い人ったってあんたねえ……
P,まあ良いじゃないか、彼がやよいに危害を加えるつもりならとっくにしてるさ
ギターソロ,そういうことだな、じゃ、アバヨ！
やよい,ばいばーい
伊織,なんか納得いかないわ。プロデューサーはああ言ったけど、やっぱり納得いかないわ！。きっとやよいに近付いて良からぬ事を企んでるに決まってるんだから！
千早,それで高槻さんを尾行しようと……？
伊織,そうよ！何か悪い！？
やよい,うっうー！今日は白菜が安いですー！
伊織,……とはいえ普通に見ててもあいつは出てこないわよね
やよい,あうう……安いからって少し買いすぎちゃいましたー……
千早,嬉しいのに少し困り顔の高槻さん可愛い
伊織,ええ、まさしく天使だわ
やよい,あう～……やっぱり重いです～……
千早,私が代わりに持ってあげたら高槻さんは喜ぶかしら
伊織,ちょっと、抜け駆けしようとするんじゃないわよ！
やよい,こういう時は……ぎたーそろかもーん！
ギターソロ,呼んだか！？
伊織,出たわ！あいつよ！
やよい,えへへ、少し買いすぎちゃってー、持ってもらっても大丈夫ですかー？
ギターソロ,はは、そのぐらいなら楽勝だぜ、にしても全く、やよいはドジだなあ
やよい,えへへへー
千早,う…うらやましい……！
伊織,あいつ……やっぱり許せないわ！
P,あっ、しまった！今日は真美と響の収録が別の場所で同時に……
