第一話,切れるナイフ
店長,……今日も客来ねえな。ウチほど何でも売ってる店もないってのに
助手,何でもってのが逆によくないんじゃないスかね？漠然としすぎてて
店長,そういうもんなのか？。お。いらっしゃいませ～、何でも売るよ～、どんなものでもな！
助手,何でも売ってますッスよ！
黒髪女,……本当ね？。……本当に、何でも売ってるのね？。ウソついたら承知しないわよ？
店長,ああ、できるかぎり何でも売るよ
助手,なんだか、目つきがよどんだ女性ッスねえ……
黒髪女,なら、ナイフ……売ってちょうだい。よぉく……切れるヤツをね
店長,あいよ～！。ほれ、ナイフ
黒髪女,あら、よく磨かれてて、よく切れそうなナイフね……。ありがと……これであの人を……
店長,…………
助手,店長、あんなもん売って、大丈夫なんスか？。もし、あの人が事件とか起こしたら──
店長,知るかよ。俺は何でも売るのが仕事だ。売ったものが何を引き起こそうと知ったことか
助手,そりゃそうッスけど……
黒髪女,刺してやる……。私を捨てたあの人を、刺して、刺して、刺しまくって──。あら？ナイフに私の顔が映って──。！。なんて──。なんて醜い顔をしているの、私は！私はこんな顔をしていたというの！？。赤いものも映って──。この前、買ったリンゴ……。リンゴ！このリンゴのなんて美しいこと！美味しそうなこと！。もう人なんか刺してる場合じゃないわ！リンゴの皮をむかなくちゃ！。こんにちは！
店長,おお、アンタかい。ナイフの調子はどうだ？
黒髪女,最高よ！。あれ以来、料理にハマっちゃって、今日は調理器具を買いに来たの！
助手,いやぁ～、人間変われば変わるもんッスねえ。すっかり明るくなって……。あの人がくれたこの料理、ウマイッスよ
店長,あのナイフはよく切れる。特に人の醜い心、なんてのはな
助手,店長はあまりウマイこといえてないッスね
店長,ほっとけ！
第二話,スカウター
店長,いらっしゃいませ～、何でも売るよ～、どんなものでもな！
助手,といっても客は来な──
店長,来た
助手,来たッスね
青年,こんにちは。表に書いてあったけど、ここには何でも売ってるんだって？
店長,ああ、できるかぎり何でも売るよ
青年,ふうん……。ならさ……。他人の能力が、自分よりも優れてるか劣ってるかが分かる道具ってある？
店長,あいよ～！
青年,……あるのかよ！
店長,ほれ、人間優劣判定装置
青年,見た目は、ドラゴンボールのスカウターみたいだな
店長,これを目につけて操作すると、自分より優れてる奴は赤く。劣ってる奴は青く表示される
青年,どれどれ……。おお、店長さんは青く、そちらの女性は赤く表示されてる
店長,…………
助手,……ぷっ
青年,これ、ありがたく買わせてもらうよ！。これさえあれば──。自分より優れてる奴とは勝負せず。自分より劣ってる奴とだけ勝負するようにすれば──。俺は絶対に負けない最高の人生を送ることができる！。さて、試してみるか。お、アイツは赤い。要注意だな、絶対に敵に回さないようにしよう。アイツは青く表示されてるな。強気に出て問題ないだろ。うわぁぁぁぁぁんっ！
店長,なんだぁ！？
助手,どうしたッスか！？
青年,もう死ぬしかない……安楽死できる道具を売ってくれえっ！
店長,落ちつけ。とりあえず、なんで死にたいのかを説明してくれ
青年,お、俺……。自分より劣ってる奴とばかり勝負するようにしてたら──。いつからか、周囲のみんなが赤く見えるようになって……。もう俺……恥ずかしいやら情けないやらで、表を出歩くのも怖くて……！。これなら死んだ方がマシだぁ～っ！
店長,…………。よかったじゃねえか
助手,え！？
青年,なんでだよ！なんでそんなこというんだよっ！
店長,みんな赤く見えるってことは、アンタはどん底、ドベ中のドベってことだ。──ってことはもう、はい上がるしかねえってことだ
青年,！
店長,みんなに期待されてないから気楽な上に、やりがいもある。こんな美味しいポジション、なかなかねえぞ？。今まで下ばっか向いてた分、今度は上向いて頑張ってみろよ。もし、どうしてもダメだったら、そん時は楽に死ねる道具を売ってやるから
青年,…………
助手,店長……たまぁ～には、いいこというんスねえ……
青年,分かったよ。俺……もう少し生きてみるよ
店長,おう、その意気だ！
青年,それじゃせっかくなんで……。あれっ、店長さんは表示がまだ青いぞ
店長,…………
助手,……ぶふっ！
青年,うわぁぁぁぁぁんっ！！！
店長,なんだぁ！？
助手,どうしたッスか！？
青年,もう死ぬしかない……安楽死できる道具を売ってくれえっ！
店長,我ながらなかなかいいアドバイスをしたつもりだったが、ダメだったか……？
青年,あれから俺、自分より優れてる奴にとことん勝負を挑んでたら。みんな青く見えるようになって……生きがいがなくなってしまったぁぁぁ！
店長,知るか！
第三話,需要と供給
店長,いらっしゃいませ～、何でも売るよ～、どんなものでもな！
S女,本当に何でも売ってくれるの？
店長,ああ、できるかぎり何でも売るよ
助手,うわぁ、性格キツそうな女性ッスねえ……
S女,なら……最高にMな男を売ってくれない？。最近はアタシの責めに耐えられない、軟弱なオスばかりで困ってるのよ
店長,あいよ～！。ほれ、マゾな男だ
M男,ど、どうも
S女,あら、まさしくアタシの好みのタイプだわ！。じゃ、ありがたく痛めつけさせてもらうわね！オ～ッホッホ！
M男,お、お願いしまっしゅ！
店長,…………
助手,…………
店長,世の中ってのは、需要と供給がうまくできてるもんだな
助手,そうッスね……
M男,ここは何でも売ってるんですよね！？
店長,ああ、できるかぎり何でも売るよ
助手,うわぁ、いじめられるのが大好きって感じの男性ッスねえ……
M男,じゃ、じゃあ、最高のサディスト女王様を売ってくだしゃい！
店長,すまねえ……！あいにく今、Sな女は在庫がないんだ
M男,そ、そんなっ……！
店長,すぐ入荷できるかもしれないし、よかったら店の奥で待っててくれ
M男,分かりましたっ！
第四話,若さ
老人,ハァ～……。昔は筋骨隆々で、精神的にもたくましく、ギャルにモテモテじゃったのに。今や、髪は白くなり、体には骨が浮き、顔はシワだらけ……。老いとは、なんともイヤなものじゃのう……。老いを克服する方法はないんじゃろうか……
店長,いらっしゃいませ～、何でも売るよ～、どんなものでもな！
老人,その言葉、本当じゃな？
店長,ああ、できるかぎり何でも売るよ
助手,おじいさんは、なにが欲しいんスか？
老人,若さじゃ！。ワシに若さを売ってくれ！
店長,あいよ～！。ほれ、若さ
若者,おお……！。エネルギーに満ち満ちておる！これが……若さか！。肉体に、あの頃のような力強さとしなやかさがみなぎっておる！。精神も、あの頃のようにたくましくまっすぐに──。…………
店長,どうした？
若者,やめだ、やめだ、やめだ！
店長＆助手,ひっ！？
若者,若さとは、二度と手に入らないからこそ価値があるもの！。みんな年を取るのに、俺だけこんな手段に頼ってなんになる！？。俺は老いを受け入れる！。店長！悪いが、今すぐ元に戻してくれ！
店長,え、もう戻すの！？
老人,いやぁ～世話をかけたのう！ではさらばじゃ！。よぉ～し、老いたまま頑張るぞい！
店長,いったい何がしたかったんだ、あの爺さんは……。ただの冷やかしか？
助手,きっとそうッスよ。ずいぶん若々しいおじいさんだったッスし、イタズラ好きなんスよ、きっと
第五話,サービス期間につき
店長,いらっしゃいませ～、何でも売るよ～、どんなものでもな！
美女,ねえ、この店って何でも売ってくれるの？
店長,ああ、できるかぎり何でも売るよ
美女,じゃあ……アナタを売ってくれない？
店長,…………。あいよ～！
助手,！
店長,ただし
美女,？
店長,今はサービス期間中なんで、セットでコイツもついてくる。それでもよかったら、俺を売るよ
美女,…………
助手,…………
美女,ふふっ、やめとくわ。この可愛い助手さんには、かないそうもないものね。面白い看板を見つけて、中に入ったらなかなかいい男だったから。ちょっとからかってみただけ。じゃあね
助手,店長ぉ～！アタシ、信じてたッスよぉ～！。店長はアタシを置いてったりしないって～！
店長,バカだな、俺がお前を置いていくわけないだろ？
助手,うおぉぉん、店長は最高ッス！。そうだ！そろそろお昼ご飯作ってくるッス！
店長,おう。…………。ぶっちゃけさっきの女、あんまり好みじゃなかったしな。それにこれで、当分の間メシが豪華になるってもんだ
第六話,等身大の思い出
学生,あの……。この店は何でも売ってくれるそうですね？
店長,ああ、できる限り何でも売るよ
助手,売るッスよ！
学生,では……思い出を売ってくれませんか？。ボクは今、大学生なんですが……。ボクの空っぽな人生を……少しでも実りある豊かなものにしたいのです
店長,あいよ～！。一口に思い出といっても色々あるんだが……。金メダル取ったとか、ノーベル賞受賞したとか、ホスト王になったとか
学生,そんな大げさなものじゃなくていいです。みじめになるのもイヤですから
店長,なら、こんなのはどうだ？助手、スタンバイ
助手,はいッス！。──ざっと、こんなとこッス！
学生,すごくしっくりきました！。こういうのでいいんです！これでお願いします！
店長,どうだ？ちゃんとアンタの思い出になったか？
学生,ええ……なんだか生まれ変わったようだ！。ところで、お値段は──
店長,アンタは初めてじゃないし、サービスでタダにしとくよ
学生,？。ま、いいや。ありがとうございます！
店長,…………
助手,…………
店長,まぁ……さっきの思い出は、彼自身のものなんだがな。“こんな平凡な思い出はまっぴらだからなくしたい”。“大学に入ったのをきっかけに、一から生まれ変わりたい”とかいうから。社会生活に最低限必要な思い出以外、全部消し去ってやったばかりだってのに
