比企谷八幡,…………………
由比ヶ浜結衣,ヒッキー、さっきから3DSイジって何してんの？
雪ノ下雪乃,比企谷君、ゲーム画面に黙々と向かって画面をタッチしたりボタンをカタカタと押す音がとても耳障りで迷惑極まりないのだけれど
八幡,仕方がねえだろ。今良いところなんだしよ。それに、そんなこと言うなら由比ヶ浜だって携帯イジってカタカタいうし、雪ノ下もパソコンを打つ時の音耳障りだぞ
雪乃,私はパソンコに届いた相談メールの返信をしているのよ。立派な部での行為だわ
結衣,私だって友達とか……交友関係のためだし！
八幡,雪ノ下のはともかく、由比ヶ浜のは部関係ねえし
結衣,そんなの、ヒッキーだって関係ないじゃん！！
雪乃,由比ヶ浜さん、この男にリアルでの交友関係について話すだけで酷というものよ。こうしてゲーム画面の向こう側にいるお友達にしか心を開く事が出来ないのよ。大目に見てあげましょう………ね？
八幡,ありがとう雪ノ下さん………なら、お言葉に甘えてカタカタさせてもらうぜ
結衣,てか、さっきから何のゲームしてんの？
八幡,え、ポケモンだけど。今、イーブイを育ててんだよ。いやぁ〜、イーブイって可愛いよな
結衣,あ、イーブイだ！！超可愛いよね〜〜もふもふしてて子犬みたいでさ
雪乃,あら、このイーブイというポケモン、なかなか可愛らしいデザインをしているわね！まるで子猫のような愛くるしさだわ
雪乃・結衣,えっ！？
結衣,いやゆきのん、何言ってるの？イーブイはもふもふしてるし尻尾も毛でもふってるし、犬っぽいと思うんだけど
雪乃,あなたこそ何を言っているのかしら由比ヶ浜さん。この小さな体につぶらな瞳、どう考えも猫を彷彿とさせるのだけれども
結衣,ゆきのんおかしいよ！！
雪乃,いえ、あなたの方が間違えているのよ由比ヶ浜さん！！
八幡,おい、俺のイーブイで何勝手に不毛な議論を繰り広げてんだよ
結衣,不毛じゃないしッ！イーブイもふもふで毛たくさんあるじゃん。首周りとか尻尾とかも丸くてさ、これは犬だよ、絶対に！
雪乃,何を言うのかと思えば、体毛だけでは犬と決めるのに不十分なのではないかしらね。この愛くるしさを感じるフォルムと身体の大きさに対する顔の部分の比は、犬よりも猫に近いと思うわ。イーブイはどう考えても猫なのよ！
八幡,おい、お前らの言い争いのせいで俺のイーブイ怯えちまったじゃねえかよ！
結衣,あ、ごめんねイーブイ！後でサブレにも上げてる美味しいドッグフードあげるね
雪乃,ごめんなさいイーブイ。あなたを怯えさせるつもりはなかったのよ。お詫びに後で特製キャットフードをプレゼントするわ
雪乃・結衣,…………ふん！
八幡,いつまで続けるんだよ、こんな茶番劇
結衣,ねえ、ヒッキーはどっちだと思うの？
八幡,え？
雪乃,そうね。このまま犬かの猫かで勝手に議論にかけられてしまってはイーブイも可哀想だわ。ここはトレーナーであるあなたの声が鶴の一声となるのよ
八幡,つまり、犬か猫か、俺が選べって言うのかと？
雪乃,その通りよ。さあ、早く猫だと言いなさいキャト谷君！
結衣,ヒッキー、ヒッキーならイーブイは犬だってわかってくれるよね？
八幡,いや、そもそもイーブイは犬でも猫でもねえだろ
雪乃・結衣,え！？
結衣,ヒッキー、ここへ来て羽生らかすような発言しないでよね！
雪乃,そうよ、犬か猫かの二択じゃないの。さっさと猫だと言いなさい、この優柔不断谷君！
八幡,なんで犬か猫かで渋るだけで優柔不断になるんだよ。まあ、どっちでもねえけど
結衣,それって一体どういうこと！？
八幡,イーブイは…………ウサギだろ
雪乃・結衣,……………へっ？
結衣,イーブイって、ウサギだったの！？
八幡,いや、普通に見てそう思うけどな。小さくて全身毛でもふもふしてて、耳だって結構長いだろ。それに4足歩行で茶色だし、ウサギだと思うけどな
結衣,確かに……そう言われるとウサギっぽく見えなくもないかも
雪乃,だ、騙されちゃダメよ由比ヶ浜さん！確かにトレーナーの鶴の一声を仰ごうとしたのは私達だけれども、このままこの男の思惑通りに事が進むのは納得ならないわ！！
八幡,思惑通りにって、そもそもこのイーブイ俺のポケモンだからな
雪乃,そもそも、私達三人だけでこのイーブイが何かを決めてしまうのもナンセンスだったのかもしれないわね
結衣,んじゃさ、他のみんなにもイーブイが犬か猫かウサギか、聞いてみようよ！
八幡,なんか面倒くせえことになっちまったな
一色いろは,せんぱい〜〜！！ヤバいですヤバいです〜〜〜っ！
八幡,さっそく誰か来たかと思えばお前かよ
結衣,いろはちゃんやっはろーーー！丁度いいとこに来てくれたね
いろは,やっはろーです結衣先輩。え、丁度良いところにって何ですか？
雪乃,私達は今、この部の存続に関わるほどの重要な議論をしているところなの。その結論を出すには第三者の意見が必要だったのよ
