彡(ﾟ)(ﾟ)だから、ワイはロシア人って言われても故郷もぜんぜんおぼえとらん、気が付いたら,シベリア
彡(ﾟ)(ﾟ)パッパは,ちゅうごく
彡(-)(-)こんなこと言ったらパッパに打たれるやろなぁ…パッパは,ていこく
でも…ほんとうの,幸せ
国連,各国はロシア人移民を受け入れるんやで(ニッコリ)
日本,反対したけど多数決で決まってもうた…移民なんか来たら仕事を移民に取られてまうやろ…国連はアホなのか(呆れ)。せや！入国するには一人1500円払わなければならないこの条件を勝手に加えたろ！！！
彡(ﾟ)(ﾟ),パン、ハ、イリマセンカー…パン、ハ、イリマセンカー…
(´･ω･`),ん？。いや、あの子。しらないよ、見ない子だね。そんなこと言っちゃダメだよ、ぼくちょっと聞いてくる。やぁ
彡(ﾟ)(ﾟ)！？,コ、コンニチワ
(´･ω･`),君、何してるの？
彡；(ﾟ)(ﾟ),エットアノ、ソノ
彡(ﾟ)(ﾟ),パンイリマセンカ、ロシアジンガツクッタロシアパンデスヨ
(´･ω･`),…えっとぉ…
彡()(),エ、アノ、ソノ、ゴメンナサイ！
(；´･ω･`),え？
彡(；)(；),ゴメンナサイ！ゴメンナサイ！
(；´･ω･`),そうだね…
彡(ﾟ)(ﾟ),(はじめてぜんぶ売れた…)サ、サヨウナラ…
(´･ω･`),ねえ、きみ今からひま？
彡(ﾟ)(ﾟ),(な、なんか返さなきゃ)アノ、ボク、ニホンゴ、アンマリ、ワカラナイ、デス…
(´･ω･`),あー…体を動かす運動だよ、こうやってさ
彡(ﾟ)(ﾟ),…ウン
(´･ω･`),いっしょにやらない？
彡(ﾟ)(ﾟ),...エ？。イッショ…？
(´･ω･`),もちろんだよ！まずこれがボールって言ってね…
彡(^)(^),ア、アリガト(なにいってるかあんまりわからないけど、たぶんほめられた！)！！
(´･ω･`),あ、もう日が暮れるからぼくもう帰らなきゃ
彡(ﾟ)(ﾟ),…オワリ？
(´･ω･`),うん、もう日は暮れちゃうから
彡(ﾟ)(ﾟ),ウン…
(´･ω･`),…またいっしょにあそぼうね
彡(ﾟ)(ﾟ),！ウ、ウン！！
彡(^)(^),実はワイな、ロシア人なんやねん
彡(ﾟ)(ﾟ),はい先生！僕のにほん語のうで前、お見せしまぁす！！！。ん？ああ！まちがえてパンだけ持ってきてもうた！おかずないやんけぇ！。ファッ！？寒過ぎぃ！考えたらワイ着る服少な過ぎやんけぇ！
彡(^)(^),ワイの箸さばき、みんな見とけよ見とけよ～！？
彡(ﾟ)(ﾟ),…はい？
彡(^)(^),も～きゅうに何言うんや～じょうだんキツイで～(ヘラヘラ)。ワイはぜんぜん気にせんからええけど、こういうことみんなにはこんなこと言っちゃダメやで～それじゃあワイはこれで～
彡(-)(-),…あれ以上のことはなかったな…よしっ
彡(ﾟ)(ﾟ),野球ならいっぱいやったで
彡(^)(^),ええで！
