……名を冥,メイ
・このSSは,静・ジョースターの奇妙な日常
メイ,……らせん階段カブト虫……廃墟の街イチジクのタルト。カブト虫ドロローサへの道……カブト虫……特異点。ジョット天使(エンジェル)……紫陽花カブト虫……特異点。秘密の皇帝。……。忘れてないわ。私は、何も……天国に行くための事は、絶対、忘れていない
チェスタ,……
メイ,極罪を犯した36名以上の魂も……ウォーケン、彼のおかげで、全て集まった。もう近いわ。天国の時は近いの。……ああ、だけど……チェスタ……！
チェスタ,……
メイ,昔見た夢が、私を苦しめる……チェスタ、貴方が裏切る夢よ
チェスタ,……
メイ,スタンドを捨て去る勇気……それは、私の死を意味するんじゃあ、ないの？
チェスタ,違う。信頼しろ……メイ。どうして俺がお前を裏切れようか？2010年の夏のあの日、俺は君を愛すると決めた。俺は人の法よりも神の法を尊び、君のために生きると決めた
メイ,……うう……う……うううう……！
チェスタ,近いんだ……天国の時は近い。あとは、メイ。君が俺を信頼してくれれば、それで良い。惑わされないでくれ。……血が減って弱っているのなら、いくらでも俺の血を飲んでくれ。眠くてぼうっとしているのなら、君のために子守唄を歌おう。だから……メイ
メイ,……
チェスタ,俺を信頼してくれ。俺は……君の唯一無二の友だ
メイ,ううう……ああ……！。来る……！奴らが来るわ！私を……殺しに！
チェスタ,！……奴ら……だと？
メイ,向かってくる……空条承太郎！東方仗助！そして、静……静・ジョースターッ！彼女を感じるッ！近づいてくるわッ！ああ……うああ……
チェスタ,……メイ、落ち着くんだ。俺が、お前を――。……。……何？。今、確かに……メイの身体が……
メイ,……あああああ……うううう……
チェスタ,二つに……二人いる？
メイ1,ひいいい……いい……
メイ2,おおおおお……ああ……
チェスタ,こ……これはッ！？この能力はッ！！？
メイ3,ああああああ
メイ4,ううううううううううう
メイ5,ひいいいい……！！
チェスタ,まさか……いや、違うッ！これは……この能力は、屋敷の――……！！！
静,……
双馬,……
純,……
仗助,……
億泰,……
承太郎,……
仗助,……康一には連絡したが、こっちに来れないらしい。他の奴らはよォー……巻き込む訳には行かねー
億泰,……
承太郎,……これで全員か？
純,あー、いや……向こうで電話してるみたいで……
承太郎,……
シーラE,やかましいわよムーロロ！重要な事はアンタに伝えなきゃあならないんでしょうが！あんましふざけた事抜かしてたら、今度テメーの頭に乗っかってるヘンな帽子吹き飛ばしてやるんだからッ！。んな事言ってる場合かァ――ッ！！今ッ！あたし達は抜き差しならない所にいるッ！！
フーゴ,……シーラE、電話、僕が代わろうか？
シーラE,引っ込んでなさい、フーゴ！！
フーゴ,……
シーラE,あッ！ちょっとムーロロ！アンタ何やってんの？劇団見張り塔なんてやってる場合ッ！？。やかましゃぁぁぁ――話を聞けッ！テメェーのくだらない能力なんか今必要ないわッ！！
フーゴ,……
純,……長くなりそうね
承太郎,今のうちに話を進めよう。それで、静……
静,……
承太郎,……吸血鬼・メイの居場所がわかった……というのは、本当か？
億泰,……
静,……。……ええ。だから、あたし達は今、この場所にいる……
承太郎,……
仗助,……この場所は……
静,……この本が――。――教えてくれた。これは、ウォーケン……大間ケンヂが持っていた本。そして……あたしはこの本に見覚えがある。この本は、幽霊屋敷の本よ
億泰,……幽霊……んん？何つったよ？今？
仗助,幽霊屋敷……そうだぜ、以前静と康一とでこの場所まで来て、二人は幽霊屋敷の中に入った！
静,康一さんがいない今……幽霊屋敷に案内出来るのは、あたしだけ……
双馬,そして……承太郎さん、口を挟むようですが、言わせて欲しい。僕達の数少ない望みをだ
承太郎,……
双馬,僕達三人は、吸血鬼・メイの退治に……幽霊屋敷突入作戦に、参加させてもらう
