司会者,こちらの方です
カップめん,
司会,ちゃんと誰だが分からないように、見ている方には見えないガラスを引いてあるので安心してください
カップめん,はい
司会,ゲストでいらしたということはお悩みを抱えてらっしゃる
カップ,はい・・・
司会,しかも誰にも言えない
カップ,はい・・・
司会,しかし、今回に限り打ち明ける決意を持ってここに来られたわけですね
カップ,はい
司会,そのお悩み聞かせていただけますか？
カップ,時間を・・・
司会,時間を？
カップ,守ってもらえないんです
司会,ほう
カップ,私は、カップめんの仕事をさせてもらってるんです
司会,あ～、と言うことは流行っている固麺仕上がりに不満が？
カップ,ええ、私は本来3分間お湯を入れてもらって美味しく食してもらえる。それを目標に仕事を続けています。しかし、私たちの仕事を踏みいじるように3分立たないうちに蓋を開けて食べる、そんなことをされてしまうんです
司会,2分半がベストなのでは？と最近の記事でもよく見かけますね
カップ,ええ、カップめんの仕事もしていないみＯんやりＯご、食べ物でもないポケットＯィッシュにまでＴＶで勝手に言われる始末です
司会,今のとこ編集でピー音入れといてください
カップ,100歩譲ってまだ早く開けるのならいい。作ったにもかかわらず放っておかれ、5分以上立って開けられる。しかも言われることが、うわあ、伸びててまっずゲームしてて忘れてたわまあ、伸びてても汁吸っててうまいし。もう耐えきれない・・・
司会,これは、勇気ある告白でした
カップ,私かってベストを尽くしているんです
司会,そうですね！あなたはベストを尽くしている。これを見ているみなさん！彼女は今苦しんでいます。ぜひカップめんは3分！3分で食べるようにお願いします！。今回のゲストはカップめんさんでした、お疲れ様でした～
カップ,はい、思いが届いてほしいです
司会,以上、ＴＶウソナハデエマテタでした～。と、言うのが今回のお題ですね
司会２,あ～、これはめんどくさいですねえ。いまどきいます？きっちり三分待つやつ？
司会,いないですね、私も2分半ですもん
司会２,でしょ？。だいたい３分待ってたら食ってるうちにどんどん麺が伸びていくじゃないですか
司会,全くですね、しかもカップめんを作って忘れてしまうことなんて日常茶飯事でしょうに
司会２,ヒステリックになりすぎですね
司会,ですね
司会２,彼女に言えることは、カップめんという仕事に誇りを持ちすぎ。と言うことですな
司会,毎日、たくさんの人間が買っているので人気者だと勘違いしているのでしょう
司会２,ただ便利で安いだけだからと言う理由なのにな、全くこれだから困るよ、下らんこだわりを持って仕事をされるやつは
司会,食べる時間を決めるのは人間なのになぜ食べられる側が悩んで来てるんでしょうねえ？理解に苦しみます。え～、本日も時間が迫ってきたのでこの辺で
司会２,そうだな
司会,ニセ番組を作り、来たゲストに悩みを聞いてここで本音をぶちまけるという、ＴＶホンネデハナソウも終わりです。司会は私、りんごと
ポケットティッシュ,司会２を務めたポケットティッシュだ
りんご,それでは、また次回があればお会いしましょう。お疲れ様でした～
