男,学校来んなよ、ブス
女,きゃはは、髪の毛切ってイメチェンしちゃおうよ
まどか,...
さやか,...まどか
まどか,...さやか...ちゃん...
さやか,...こっち、見んじゃないわよ。私まで同類だと思われるでしょ？きゃはははは！！
和子,はいはい皆さん、ホームルーム始まりますよ。...お願いだから、私のいないところでしてくださいね
まどか,...
ほむら,...。...？。...！？
和子,さ、暁美さん、いらっしゃい
まどか,...痛...いよ...
ほむら,...
和子,...暁美さん...？
ほむら,...暁美ほむらです、よろしく
和子,...
ほむら,...ミッション系よ
まどか,...
ほむら,...あの...。...あの人は...
仁美,...あぁ、鹿目さんですの。彼女のことは気にしなくてよろしいですわ、居ないので
ほむら,...え？
さやか,転校生ー、理解が遅いなぁ！にしし！。居ないんだよ、い、な、い
仁美,鹿目まどかさんは、この教室にはいらっしゃいません
ほむら,...あぁ。体調が悪いんだけれど。連れていってもらえる？保健室
まどか,...え？
ほむら,あなたに言ってるのよ
まどか,...
ほむら,...？
まどか,...私は、いい...よ
ほむら,...は？
まどか,...そ、それより...皆と話してきてよ...
ほむら,...。...
まどか,...へ！？
ほむら,いいから付いてきなさいと言ってるのよ！
まどか,わ、ちょ！
ほむら,...どういう事？
まどか,...なに、が？
ほむら,...何じゃない！どうしてあなたは黙っているの！？
まどか,...
ほむら,あんな目に遭って黙っているなんておかしいわ！
まどか,...そんなの、変だよ。...私は、あなたの事知らないのに...
ほむら,...っ！。...こんなの、あんまりじゃない
まどか,...？...？？？
ほむら,...。...いえ、ごめんなさい
まどか,...
ほむら,...あんな露骨に...少し、驚いたものだから
まどか,...。...あ、そんな事より、体調大丈夫？。...早く保健室に行こう？
ほむら,...えぇ、そうね
まどか,...えへへ、ごめんね、驚かせちゃって
ほむら,...
まどか,...いつもだから、気にしないで
ほむら,...。...鹿目...まどか
まどか,...ん？
ほむら,...あなたは...自分の人生が...尊いと思う？。...家族や...。...家族を、大切にしてる？
まどか,...。...うん、大切だよ。...私は、私の身の回りの人、誰が居なくなっても、悲しいよ
ほむら,...。...
まどか,じゃ、私は行くね！
ほむら,...えぇ。...。...考え事も、させてくれないのね。...出ていきなさい...！。...出ていけって言ってるのよ...！。...インキュベーター...！！
QB,そんなに邪険にしないでおくれよ。僕の記録にも残っていない、魔法少女がいるなんてね。抜け道はあるだろうけど、僕と契約を交わしていない魔法少女なんて前代未聞だ。君は、何者だい？。どうして僕らの名前を知っているんだい？
ほむら,...そんな事はどうだっていい...！。...出ていきなさい...！
QB,そうもいかないよ、やっと希望が見えたんだから
ほむら,...！。あなた達のように...！奇跡を餌にして人の不幸をあざ笑う奴らに、希望の何がわかるのよ！！
QB,...
ほむら,...これが最後の忠告よ、出ていきなさい
QB,やれやれ、話もできないなんてね
ほむら,...はぁ...はぁ...。...ん...。...1時間くらい、寝てしまったかしら。...転校初日から、相対というのも印象悪いわよね。...戻ろう
さやか,ほらぁ！！
まどか,...
さやか,何とかいいなよ、まどかぁ！！！
ほむら,...な...
さやか,何？あんた声も出せないの？
まどか,...。...痛いよ...さやかちゃん
さやか,...そういう態度がムカつくんだよねー。...痛いならさぁ！痛いなりに喚いてみなよ！！
まどか,...っ！！！！！。あぁぁぁぁぁああああああ！！！！！
さやか,へっへーん、見てなよ、もっと面白いことしてあげるからさ
ほむら,...何て...事...を...
まどか,...
ほむら,...！
まどか,...
ほむら,...！！！！！。...
さやか,...ちっ
ほむら(...,まどか
ほむら(...この教室に,まどか
まどか,...
ほむら,...
さやか,仁美ー、やろー
仁美,えぇ
まどか,...。...。...はい
ほむら,いえ。...転校生の、暁美ほむら、です。ペアなら、居ます
まどか,...え？
ほむら,...さ、まどか。...まずは、男の人の会話からよ
まどか,...暁美さん...？
ほむら,...ほむらで構わないわ。さ、どうぞ
まどか,でも...えっと...その...
ほむら,...早く
まどか,...う、うん...！。～～～
ほむら,...～～～
さやか,...。...ねぇ、転校生
ほむら,何かしら？
さやか,どういうつもり？
ほむら,...質問の意味がわからないわ
さやか,...。どうしてまどかなんかに構ってんの？
ほむら,...
さやか,見ててわかんない？あいつはさ、いじめられてんの！。空気読みなさいよ！
ほむら,...。...。...空気、空気ね。...ふふ
さやか,...何笑ってんのよ！
ほむら,...おかしいのよ、ちゃんちゃらおかしいの。どうして私が貴方達のような低俗な人間の真似をしなきゃならないの？
さやか,...なっ...！
ほむら,馬鹿にしないでくれる？美樹さん
さやか,はあ？あんたいきなりうちのクラスにきて正義の味方になったつもり？
ほむら,いいえ、正義の、ではないわ。...。...そうよね、こんなあなたなら最早救おうとする価値もない
さやか,...はぁ？
ほむら,私が、あなたを厄介者扱いしながら、それでもその身を案じていたのは。あなたがまどかの親友で、そして。誰よりも真っ直ぐな心を持っていたからよ。そんなあなたならいざ知らず、今の最底辺で人間として醜いあなたなんて死んで当然。精精遂げられない思いとともに絶望しなさい。ひとつ言っておくけど、彼のバイオリンに、あなたは必要ないわ
さやか,なっ！
ほむら,もう良いかしら？ゴミと言葉を交わすと疲れるのよ
さやか,...この...！
ほむら,さ、行きましょう、まどか
まどか,へっ！？
ほむら,ふふ、帰りにＣＤショップでも寄りましょう。あなたのオススメ、聞きたいわ？
まどか,...。う、うん...！
さやか,うるさいっ！！！。...許さない許さない許さない...！。...あの転校生...！そして、まどか...！。...絶対に許さない...！！！
ほむら,...
まどか,...ね、ねぇ
ほむら,え？
まどか,...ど、どうしてあんな事を...
ほむら,...
まどか,あ、あんな事言ったら...！暁美さんまで...！
ほむら,ほむら
まどか,...！
ほむら,何度も言わせないでちょうだい。ほむらでいいと言っているの
まどか,...ほむら、ちゃん...
ほむら,何？
まどか,...どうして、私を庇うような...
ほむら,...私が、見ていられなかったからよ
まどか,...
ほむら,私は別に苛められてもいいのよ。...だけど、あなたは、ダメなのよ
まどか,...。...ふふ。...訳、わかんないよ
ほむら,...
まどか,...突然転向してきた人が、私を庇うなんて。...頭がどうにかなっちゃいそう
ほむら,...そう
まどか,...。...私はどうしたらいいの？
ほむら,...。...どうしたら？。...そんなもの、あなたが思うように毎日を生きればいいわ。あなたがあなたの欲求に従って、思うがまましたいことをすればいいわ
まどか,...
ほむら,...それが出来るように、私が見ててあげるから
まどか,...じゃあ
ほむら,...？
まどか,...私が、ほむらちゃんと...お友達になりたいって...言うのは...
ほむら,...！
まどか,...ダメ、だよね...迷惑、かかるし...
ほむら,...。...ふふ。...ダメなわけがないじゃない。...いいわ、まどか...友達になってあげる
まどか,...！
ほむら,...いえ、こんな言い方、ダメよね。...まどか
まどか,...は、はいっ！
ほむら,...あなたさえ良ければ、私と...。...友達になってください...
まどか,...。...
ほむら,...っ！？
まどか,...ひっぐ...！うぇ...！うぇええええええん...！！
ほむら,ま、まどか！？
まどか,わだでだとだだよー！
ほむら,お、落ち着いて...！
まどか,...ひっ...！ぐすっ...！
ほむら,...もう
まどか,...寂しかったよぉ...！
ほむら,...うん
まどか,...辛かったよぉ...！！
ほむら,...うん
まどか,...ひっく...！うぇっ...！
ほむら,...大丈夫、もう、大丈夫だから...。...あなたは私が守るから
まどか,...うん...！
ほむら,...全く、どこにでも現れるんだから
使い魔,...
ほむら,...気付いていないわね。...さて、とりあえず...。...
使い魔,ｷｰ!
ほむら,え！？。...。...佐倉...杏子...
杏子,...。...何もんだ？お前...
ほむら,...
杏子,何であたしの名前を知ってる？
ほむら,...さあ
杏子,...
ほむら,...ここはあなたの縄張りじゃないでしょう？。...どうしてここにいるの？
杏子,はは、QBに言われたからさ。ここはいい狩場だってな
ほむら,...
杏子,どうやら本当らしい、そこここに使い魔の反応がありやがる。こりゃ多過ぎだな
ほむら,...
杏子,多過ぎるんだったら分けてくれてもいいじゃんよ
ほむら,...私は構わないわ
杏子,...ふーん、その様子だとマミの奴はまだ生きてんのか。あんな甘ちゃんとっくに死んだと思ってたけどなぁ
ほむら,...
杏子,それにしてもおかしな奴だな、お前。現代武器って、ははは
ほむら,...あなたには関係ないでしょう
杏子,ま、そーだな。何黙ってんだよ
ほむら,..いえ、何でもないわ
杏子,そうか、よし、行くか
ほむら,え？
杏子,おいおい、でけー反応があるだろ？
ほむら,...！
杏子,何だよ、気が付いてなかったのか、黙っていけば良かったぜ
ほむら,...
杏子,もたついてるとグリーフシードはあたしのもんだぞ！
ほむら,...
魔女,ーーーーーー！！！
杏子,ふーん、大物じゃねーか
魔女,...ーーーーーー！！！
ほむら,...
杏子,不気味な音を出しやがる。...おらぁっ！！！
魔女,ｷｬｧｧｧｧｧｧｧｧｧｧ！！
杏子,耳障りなんだよ！！
ほむら,...
QB,やあ
ほむら,...。佐倉杏子をこの街に呼び込んで、あなた何のつもりなの？
QB,何のつもり、か。そうだね、君になら...。...しまった
ほむら,...？
QB,...まどかが、巻き込まれてる...！
ほむら,...なっ！
QB,全く...！ここで彼女に死んでもらうわけには行かないのに...！
ほむら,...
QB,...！
ほむら,...あなたが接触する必要は無いわ。私が行くから消えなさい
QB,...そっか、分かったよ
ほむら,...。...まどか、待ってて...！
使い魔,ｷｬｧｧｧｧｧｧｧｧｧｧ！
まどか,...ひっ...！。...な、何なの！こ、来ないでよぉ！
使い魔,...ｷｬｧｧｧｧｧｧｧｧｧｧ...！！！
まどか,...ひい...！！。...。...。...え？
ほむら,...もう...ついさっき別れたばかりじゃない...
まどか,...ほむら...ちゃん...？。そ、その格好は...！
ほむら,...後で話すわ
杏子,...しぶっ...といなっ！このっ！。...ちっ、刃が通りゃしねー。...お
ほむら,...加勢するわ
杏子,へー、銃弾くらいになると効くんだな
ほむら,...
杏子,あいつ、お前の友達か？
ほむら,...え？
杏子,ほら、あの小動物みたいな
ほむら,...えぇ、そうよ
杏子,...そっか！。...なか、なかっ...！骨があるじゃねーか！
ほむら,...え？
杏子,あいつ、怪我も顧みずにガキを助けてたぜ
ほむら,...
杏子,...魔法少女でもねーのにっ！くそっ！。...すげえな！オラっ！！
ほむら,...そうね。...そろそろ片付けましょう
杏子,だな！
ほむら,たぁぁぁぁぁ！！！！
杏子,らぁぁぁぁぁぁっ！！！！
魔女,...ァ...ァ...！
まどか,...あれ？景色が...
ほむら,...ふう
まどか,ほ、ほむらちゃん！
ほむら,...あら、まどか
まどか,...怪我はない！？
ほむら,無いわよ
まどか,...良かったぁ...
杏子,おい、ピンク頭
まどか,...え？わ、私？
杏子,お前しかいねぇだろ
まどか,...な、なぁに？
杏子,...さっき見てたぜ、お前、ガキを助けてろ？
まどか,...あの...その...
杏子,...。...へへ、やるじゃねーか、名前は？
まどか,...えっと...ま、まどか。...鹿目...まどか...
杏子,...よし、まどか、食うかい？
まどか,...あ、ありがとう...？。...。...。...。...って、そうじゃないよ！。あ、あの化物は、な、何なの！。...ほむらちゃん達は...何なの...！？
杏子,...んー
ほむら,...
杏子,...あたし説明苦手なんだよなー...
QB,それなら僕が説明するよ
ほむら,...！
杏子,お、QB
まどか,...ね、猫が...喋った...？
QB,ひどいなぁ、猫じゃないよ。彼女達は、僕と契約を交わした魔法少女さ
まどか,...魔法少女...？
QB,そうだよ、願いをひとつ叶える代わりに、魔法少女は魔女を倒す使命を追う
ほむら,...
まどか,...ね、願いって...何でも...？
QB,...。...そうだよ、何でもさ
まどか,そ、それって...！
QB,だけど残念だったね、君はその素質がない
ほむら,...。...は？
QB,...魔法少女の素質は背負った因果が関係してる、君ではとても魔法少女になることなんて出来ない
杏子,はぁ？おいおい話が違うじゃねーか。お前が見えたのなら素質があるって聞いたぞあたしは
QB,もちろんそうさ。...だけど時折、素質が全くないのに僕の姿が見える人間がいる。鹿目まどかは、そう言う人間だ
まどか,...そっか...。...
杏子,...お、おいおい気を落とすなっての！。...ほ、ほれ！これやるからよ！
まどか,...ありがとう...
QB,そう言えば杏子、よく来てくれたね
杏子,...ん？あぁ、まぁな。...ここなら...魔女を狩ってるだけで充分生きていける。...つーか、ちょっとバカバカしくなっちまったよ、はは
QB,何がだい？
杏子,いやそりゃもちろんな？生きていくためには犠牲が必要だ。あたしにとってそれはあたし以外の人間だった、今もそれは変わっちゃいねー。...んだけどよ...。...なーんか、こいつのあんな姿見たら、あたしの方が馬鹿っぽくてさ
まどか,え、えぇ？
杏子,...自分を顧みず、誰かを助けることが出来る奴、だよ
まどか,あう...！
杏子,...ガラじゃねーのは分かってるけどさ、時にはそれもいいかなってよ
QB,...そうか、それは...君にとってもいい事だと思うよ、佐倉杏子
杏子,...ぷっ...！らしくねーじゃんか、QB！
まどか,...さ、佐倉...さん...！
杏子,杏子でいいよ、何だ？
まどか,...その、あの...！
杏子,...
まどか,...わ、私と...お、お...
杏子,...。...おう...これからよろしくな、まどか！
まどか,...う、うん！！。...えへ、えへへへ...
ほむら,...ど、どうしたの？
まどか,...ううん...何でもない...！。...えへへ
ほむら,...
まどか,き
ほむら,き？
まどか,...今日で...お友達が二人も増えちゃった...！
ほむら,...
まどか,...えへへ、今日はとってもいい日だなぁ...
ほむら,...ふふ、そうね
まどか,...えへへ
ほむら,...でもまどか
まどか,え？
ほむら,あんまり無茶なことをしてはダメよ。...あなたは女の子なんだから...
まどか,...それを言ったらほむらちゃんもだよー
ほむら,わ、私はいいのよ
まどか,...えへへ
ほむら,...
ほむら(...無いのなら、私は,ここ
まどか,...っつ...
ほむら,...まどか？
まどか,...え？
ほむら,...どうしたの？お腹でも...痛いの？
まどか,う、うん...そうかも...
ほむら,...今日はいろんな事が起こりすぎたわ、早く帰って寝なさい
まどか,...うん
ほむら,...送るわ
まどか,い、いいよぉ！
ほむら,...そ、そう？
まどか,...うん、私は大丈夫
ほむら,...分かったわ。...また、明日
まどか,うん、また明日！
QB,やれやれ。危なかったね、何とか誤魔化すことが出来たようだ。いや、それにしても暁美ほむら。イレギュラーである彼女を軸に仮説を立ててみたけれど、やはり佐倉杏子も同じようだ。これなら大丈夫かもしれないね。...それにしても、酷い音だなぁ
まどか,痛いよぉ！ママァ！！
詢子,...あぁ！？出来損ないが一端の口聞いてんじゃねぇ！
まどか,...ぐえっ...！
詢子,この泥棒猫がよぉ！
まどか,...やめてよ...！ママ...！
詢子,あんたの母親じゃねぇって何度言ったら分かるんだ！！。おらっ！おらっ！
まどか,...うっ...うおぇえええ...！
詢子,...ったく、ゴミが。掃除しときなよ、少しでも汚れてたら殺すから
まどか,...はい...ママ
詢子,...
まどか,...ぐぅ...詢子...さん...
詢子,...はぁ...目立たない様に殴るのも疲れるわー
まどか,...。...我慢...我慢...。...明日になれば...ほむらちゃんが...。...うっ...！。...っ...！。ひっ！
知久,やぁ、まどか
まどか,...パパ...
知久,あったかいココア、飲むかい？
まどか,...
知久,...ごめんよ、詢子さんを止めることが出来なくて...
まどか,...そんな事、無いよ...
知久,...まどか
まどか,...！
知久,...大丈夫...僕だけは。...僕だけは...君の味方だから
まどか,...
知久,怯えないでいいよ、ね？
まどか,...
知久,...じゃあ、脱ごうか
まどか,...
知久,...じゃ、まどか。また明日
まどか,...。...。...。...素質があったら...。...良かったのに...。...別に...皆を恨んでるわけじゃない...。...ただ、前みたいに...。...普通に...なれたらいいのにな...。...助けてよ...誰か。...助けてよ...助けてよ...助けてよ...助けてよ...助けてよ...。...助けてよ...
ほむら,...寝坊だなんて。...いろいろ考え事をしていたせいね。...それにしても、杏子があんなことを言うなんて以外だったわね。...いえ。...元々、心の優しい人だものね
杏子,そーかい
ほむら,
杏子,うーわー、派手にコケたな
ほむら,あ、あなた...！
杏子,んだよ、日中暇なんだよ
ほむら,...。...あなた、本当に居座るつもり？
杏子,...ダメか？
ほむら,...いえ...
杏子,そーいや、まどかは？
ほむら,...
杏子,へへへ、ついでにまどかの顔も拝んで...
ほむら,止めなさい
杏子,な、何だよ...
ほむら,...止めて
杏子,そ、そんな言わなくてもいいじゃねーか！わ、私たちは友達なんだぞ！仲いいんだぞぅ！
ほむら,...お願い。...まどかのことを思うなら、止めて欲しい
杏子,...。...分かったよ。...はー、じゃあどうすっかな...
ほむら,...はい
杏子,んお？
ほむら,私の家の鍵よ
杏子,...盗めって事か？
ほむら,バカ言わないで、住んでいいって言ってるの
杏子,...へ？
ほむら,...貴方みたいな狂犬、見張っとかないと危ないでしょう
杏子,だとコラ！
ほむら,...冗談よ。...代わりと言ってはなんだけど...まどかを、守ってあげて
杏子,はは、あたりめーだろ
ほむら,...
杏子,...お前もな
ほむら,...えぇ
杏子,いや、ちげーよ
ほむら,...？
杏子,...あんたも守るぜ、ほむら
ほむら,...ふふ、そう。じゃあ私はこっちだからついて来ないでね
杏子,容赦ねーなおい！
ほむら,ふふふ
杏子,ったく。なんてな。約束は破るためにあるんだぜ、にしし
