現役失敗,ワンストラァァァイク！
予備校,おおっと、次があります！落ち着いていきましょう！
一浪失敗,トゥーストラァァァイク！！
予備校・大学,あちゃー、今のは痛いですねー。さぁー、後がありません！受験生、次の試験にどうでるか？
二浪失敗,スリーストラァァァイク！！！受験生アウト！！チェンジ！！
企業,おおっと、空振り三振！！これは痛いですねー。就職に響くんじゃないんですか？
予備校,さぁ、気持ちを一新して三浪目行くか、それとも就職するか！
企業,ここが見どころですねー。ぜひ大学を押さえてから来てほしいものです。
観客席,世間の目
予備校,おおっとぉ、次はまた受験生の打席だというのに、受験生が出てきませぇん！どうしたのでしょうか？
企業,これは、ボイコットですねえ
予備校,ま・さ・か・の試合人生。決着はついてしまったのでしょうか
企業,いや、まだです
予備校,おおっとぉ、ベンチで監督と受験生が話し合っているようですねぇ
受験生,もう無理、しんどい……何もできない
監督,カーチャン。もう学歴はいいわ！とにかく、就職をして試合を続けなさい！
予備校,必死の叫びです！この声は、受験生に届くのかあ！？
企業,しかし、大学に行く道を捨てましたか……これは厳しい試合になりそうです
受験生,働いたら負けかと思ってる
監督,じゃあどうするのよ！
受験生,替えの選手とかいないの？
監督,いないわ、ここはあなたのスタジアムなのよ！！
予備校,ここで、受験生選手の戦績を見てみましょう
企業,興味深いです
予備校,レポーターの、姉さん？
姉,はい、姉です！まずは小学生時代ですが、成績抜群で、運動もでき、非の打ち所がないようでした
企業,それで？
姉,中学に入ってからも、好成績を維持。しかしそれは、全て一夜漬けだったのです
予備校,ああ～
企業,それでも、一夜漬けは治らなかった？
姉,その通りなんです企業さん。成績悪化を自覚していながら、努力は全くしなかったんです。数学に関しては、二次関数のグラフが出た時点でお手上げ、バットを振らなくなってしまいました。本人曰く、あのカーブは早すぎる。そして理科系科目、なんと、生物のみを勉強していました！
企業,理科を一科目のみだって？ちょっと信じられないなあ
予備校,しかも生物というところから、計算からの逃げの姿勢が見て取れます
企業,練習時間は、その頃増えていましたか？
姉,いいえ、減少するばかりです！
予備校,なぜ彼は、危機感を持たなかったのでしょう？
