なんで怒られたのか分かんなかったけど、私はびっくりして,彼の方がびっくりしてたけど
運が良いのか悪いのか、なんと私は海を泳いで,波に流されて？
村人,聞いたか？数日前突然森に現れたバケモンだが……。ああ。森丘の生態系を荒らしまくってるあいつか。そのバケモン退治に、街から呼んだ２人のハンターが向かってったろ？。ああ、なんか夫婦でハンターやってるっていう、あの凄腕の。……そう。でも……喰われちまったらしい。まじかよ…。ああ。そんで、とうとう村長が出向いた。村長が！？何歳だよあの人……っていうかあの人はもう何年も前にハンターを引退したはずじゃ。ああ。だから俺たちもご老体を心配して止めたんだが…。てめぇら村長の意見を尊重できねーのかっ！？って怒鳴られてよ…。おう……まぁ……村長の無事を祈るしかねぇな…
村長,………
村人,うおっ！村長！村長ぉおおおおおおおっ！！！
村長,………
村人,おいっ！すげぇ怪我だ！左腕がねぇ！早く止血だ！！。村長！！村長ぉぉぉぉぉぉぉぉおおおおおお！！！。おいおい、森丘に恐暴竜と霞龍がもう長いこと住みついてんぜ。並のハンターじゃ手がつけられんそうだ。まぁでも、今朝…あの３人と村長が討伐に向かったからな。だな…しかし村長もすげーよなぁ…片腕で狩りに行くか？普通…。しかもめちゃくちゃ燃えてたしな…村長…。まぁいずれにせよ、恐暴竜と霞龍が好き勝手出来るのも今日までだな
最強ガンナー,しかし恐暴竜と霞龍を同時に相手なんて……めちゃくちゃな任務ね
伝説ハンマー,がははははは、ちびっちまいそうだぜ
達人ランス,しかしその２種とは……通常ならば有り得ない組み合わせですね
村長,おいてめーらそろそろおしゃべりやめやがれ。気ィ引き締めてかかれよ
３人,イエッサ
村長,くくく
最強ガンナー,！
伝説ハンマー,！
達人ランス,…
村長,……。よし、ガン、霞龍の頭に手甲榴弾を撃ち込め
最強ガンナー,了解。……。…。…
イビルジョー,グオオアアアアアアアアアアアアアッ！！！！！！
最強ガンナー,…！
伝説ハンマー,くっ……おいおいなんだありゃ…
達人ランス,赤黒いオーラが全身から迸ってる……あんなの初めて見ました
村長,……それがおめぇの真の姿かよ……恐暴竜よ。来るぞてめぇら！腹ァくくれよ！
イビルジョー,ガァァァァアアアアッ！！！
最強ガンナー,くっ
伝説ハンマー,ちっ
達人ランス,ふっ
イビルジョー,ゴァアアアアアアッ！！！
伝説ハンマー,なっ……尻尾の一振りで樹を３本もなぎ倒しやがった…！？
最強ガンナー,ごめんね…！私たちにも…！守るべきものがあるのよ！
イビルジョー,…ッガッ！…ガッ！
伝説ハンマー,ワリイな…これが俺たちの仕事なんだ
イビルジョー,ガァッ！
達人ランス,勇ましいあなたと戦えたことを誇りに思います
イビルジョー,グッ……ガハッ！
村長,……。苦しいか…？いま楽にしてやるからな……！ふんっ！
３人,なっ…！！
オオナズチ,グ……グオ…！！
村長,…！
最強ガンナー,！？…持ってきた秘薬がない…！？
伝説ハンマー,俺もだ…！！あの野郎！！
達人ランス,僕もです…いつのまに…！？
村長,……
最強ガンナー,でもみんな、今がチャンスよ！
伝説ハンマー,おう！一気に畳み掛けるぜ！
達人ランス,まずは瀕死の恐暴
村長,やめろッッッ！！！
３人,！？
村長,もうこれ以上攻撃はするなッ！
最強ガンナー,し、しかし
伝説ハンマー,今がチャンスですぜ！？
達人ランス,それに剥ぎ取りも
村長,てめぇらあの２頭の顔が見えねーのか！？
最強ガンナー,…顔…！？
伝説ハンマー,モ…モンスターが…！！
達人ランス,あんな表情をするのですか！？
村長,もう勝負はついてる！恐暴竜は見ての通りだ！霞龍も長くは持たねぇ！
３人,……ッ！！
村長,せめて……泣かせてやれ…………帰るぞ
え？…いや、いいんだ何でもない,なんだろう、聞き間違えたのかな…
完,終盤の元ネタは刑務所のリタ、タイトルは濃いゾラを参考にしました・∀・
ガバチョッ,泣
