研究員,そうか…それじゃあ次は…
承太郎,それにしても…。騒がしい所だぜ…
不良A,こいつ！
店員,お客様、店内でそのような揉め事は…
不良A,あぁ！？テメェは引っ込んでな！
不良B,なんだテメェ！ヒーロー気取りか！
不良A,！？
不良B,テメェ！今なにしやがった！？
不良A,ヒィィィィ！おい逃げるぞ！
不良B,待ってくださいよ兄貴！
承太郎,やれやれだぜ…
店員,その…ありがとうございました
？,ちょっと待ちなさい！
承太郎,ん？なんか用でもあるのかクソガキ。知らねぇな。そうかい、それは悪かったな。やれやれ…ぶっ飛んだ奴……
御坂,そんな減らず口が叩けるのも今のうちよ！
承太郎,ほう、これが学園都市の能力って奴か
御坂,えっ…！？。あんたレベルはいくつなのよ！
承太郎,………
御坂,そんな……私の………私の超電磁砲が……！。宙に浮いている！！？？。そんな……！？どうして………！？
承太郎,おいガキ、動転している所悪いが……
御坂,………？
承太郎,コイン返すぜ
一般人,キャー！ひったくりよ！
ひったくり,ブベラッ！！
一般人,ありがとうございます！
？,お待ちなさい！
承太郎,ン？。中々ガキのくせに賢いな、だけどなガキ。テレポート…瞬間移動か……
黒子,あらお察しの良いこと、それでは…。……！。そんな！？私の空間移動を避けるなんて！？。………！
承太郎,ン……？。あ………？。そうかい、それでだ…
禁書,私ね追われているの
承太郎,どういうことだ？。歩く協会？。ほう…
禁書,私が許可したものは大丈夫なの！
承太郎,上手くできているな…。スタープラチナ・ザ・ワールド！。時は動き出す。さぁな。ガキの裸なんぞに興味はねぇ。………。やれやれだぜ…
ステイル,…………悪い人か
承太郎,やれやれ間に合ったようだぜ
禁書,じょーたろう！
承太郎,黙ってろクソガキ
禁書,襲ってくるよ！
承太郎,スタープラチナ！
スタープラチナ,オラァ！
禁書,ガキじゃなくて禁書目録だよ！。………///
承太郎,やれやれだぜ…
ステイル,クソッ！何処へ行った！？
承太郎,ここだ。そうかい…。スタープラチナ！
スタープラチナ,オラァ！
ステイル,なっ！？
スタープラチナ,オラァ！
承太郎,この距離ならテメェをぶちのめせるぜ
禁書,ねーじょーたろう、さっきの人どうしたの？。その…ありがとうなんだよ
承太郎,あぁ。空条だ
禁書,ジョジョってところかな！
承太郎,フッ、その呼ばれ方も懐かしいな
禁書,お腹減った！
承太郎,……やれやれだぜ
禁書,プハー！ご馳走様！
承太郎,テメェ…朝からなんて量食いやがる…。ったく、強欲なシスター様だぜ…。テメェの飯を買ってくるんだよ
禁書,あーそうなんだー！いってらっしゃい！
承太郎,さてあら方揃ったな、帰るとするか
御坂,待ちなさい！
承太郎,テメェは確かビリビリ
御坂,リベンジよリベンジ！
承太郎,………早く用件を言え
御坂,え？。あ、あんた…///何処に手置いて///。あんたなんか……あんたなんか……
承太郎,ン？
御坂,黒焦げにしてやるんだから！
承太郎,やれやれ結局こうなるのか…。ン？同じ所？。どうして誰もいねぇんだ？。！新手の魔術師か
神崎,神崎火織と申します。以後お見知り置きを
神裂,私達にも時間がありません、あなたには一刻も早く禁書目録の場所を吐いてもらわないといけません
承太郎,だったら全力で来な
