なに,初めて
俺が見つけた最善手、,眠れないのであれば、眠らなければいい
そう、禁酒法が制定されたからといって世間が,はいそうですか
酔っ払いのふら付いた足取りの事を,千鳥足
俺は、彼女に,任せる
彼女が使う謎の魔法,千鳥足ルーラ
人々は、いつも俺の才能を褒めたたえる。俺自身の努力ではなく、俺の持つ,勇者
女神より,耐性
それができたのは、俺が,耐性
だが、俺も,勇者
彼女の言葉に、手を振ることで答え。,答えられていないかもしれないが。
それは、額に書かれた,emeth真理
だがしかし、いくら魔王軍が影に潜み隠れようとも。こちらには魔王軍にからしてみればチート以外の何物でもない,千鳥足テレポート
少し皺が寄り、黒く太い毛が大量に茂っているそれは。地獄のサルの,赤尻
尻の持ち主が、まるで女みたいな悲鳴をあげる。あくまで,女みたいな
その原因に一切の見当もつかないものの、母親に叱られる子供のようについ,はい
これまでも、遊び人は魔物たちから巧みに情報を引き出してきた,情報の有益性は別としてではあるが
遊び人のほうを見ると,初耳
それは、ついつい初めての,カクテル
数多の酔いどれをして、,うわばみ
おいおい、,初めて出会ったあの夜
俺の,殺さない
彼女の怒りが頂上へと達するその瞬間、まるで,私のことを忘れていませんか
だが、言葉や表情とは裏腹に彼のオーラが,喧嘩は外でやれ
マスターはくっくっと頬を緩め、,では頂戴いたします
宿屋の主人は、機嫌よさげに,やっと俺の酒の味がわかる客が来た
強い眩暈が起こり、足元がふらつく。胃が、,こんなものを流し込むな
主人は,ぬぅ
背後から,なんで尻に穴が開いてんだ
マスターが,おっと、これはしまった。氷を切らしてしまいました。少し出てきます
彼女は悲しそうに,ほら
隣では、彼女が,うえっへっへっへ
俺が、勇者として魔物たちと戦ってこれたのは女神から授かった,耐性
司教は顎に手をあて,ふむ
司教は、目をつむり手を顎にあて,うんうん
そう、要は,慣れ
五日目の深夜、俺は遂に限界を迎えていた。意識は朦朧とし、頭痛は常人なら殺しうるほどの鋭さを得、目の下のクマは顔全体を覆うほどに広がっていた。だが、それでもなお,気絶
あいつは、遊び人の顔に傷をつけた糞野郎だ。,手加減は抜きだ
炎魔将軍が片手をあげ、一階の大男たちに,おおぃ
その一つを手に取って、まじまじと眺めていると炎魔将軍が,食ってみろ
俺は、寸秒もおかずにうなづく。マスターも、目を輝かせて,是非
そんな俺を、炎魔将軍は,甘くなった
俺は、若干呆れつつも,まあ、それもそうか
たいした賞賛を与えたわけでもないというのに、炎魔将軍の顔からは陰りが消え明らかに胸をなでおろした様だ。,普通
実のところ、ビールの味は特にこれといって褒めるようなものではなかった。決してまずいというわけではない。ただ違法酒場でよく出されているビールより旨いかと聞かれると,同じぐらい
マスターは空のジョッキを机に置き、,もう一杯頂いていいですか？
炎魔将軍の言葉を反芻する。,それでもお前は、魔王様を手にかけるのか
マスターの言葉に、俺は勇者としての使命と彼女に再び相まみえたいという一人の男としての葛藤に苛まれた。だが、この鈍った思考の中では、とても結論を出すことは適わないだろう。使命か恋情かの板挟みに置かれる中で、俺はほとんど無意識に,それでも、魔王は倒さなくちゃいけないんだ……俺は彼女に会わなくてはならないんだ……
俺は、呆けている炎魔将軍に張り手を一発かまし,連れていけ
だから俺は、,望むところだ
状況を理解するまで、少しばかり時間がかかった。俺は、自分自身の力を見誤っていたのだ。その膂力は、とうに人の域を超えていた。まさか、身体から頭をちぎり取るほどに増していただなんて思いもよらなかった。なにが,魔族は危険だ
俺は、そのあまりの尊さに感動していた。彼女の指示通りに縛り上げられた彼女の体は、後ろ手に縛ることで身体の動きを制限すると同時に、胸をあえて強調するように縄が張り巡らされている。これは、実用性と芸術性,ある意味で実用性
炎魔将軍の言葉を思い出す。,人に化けると、思考や性質が人間に寄ってしまう
遊び人は、驚きの表情を浮かべ固まってしまった。何かを必死に考えているのだろうか、時折,でも
腰に結った頭が、声をあげる。,がんばれ
魔王を倒すのが勇者の役目。彼女の体に関する誤解。酒造業界で一丸となって禁酒法を無くしたいという遊び人の思惑。勇者の力を失い、再びアルコールに酔う身体を取り戻す。そのすべてが、今やどうでもよくなっていく。とりあえず、よくわからないが魔王を倒せばいいんだろう。酔っ払い特有の、短絡的結論にたどり着いたとき、俺は,飛べる
懐かしい不味さに胃が拒絶反応を起こす。,まずいまずいまずい！
魔王の懇願ともとれる指示に、炎魔将軍は涙を流しながら,御意
俺はコクりとうなずき、腰に吊り下げていた遊び人の頭を大司教に預けた。大司教は、,げっ
俺の軽口に、魔王はフッと笑って,どっちでもいいさ
マスターに、,ありがとう
遊び人♀,おい勇者、どこ触ってんだ///
