今年の春に大学生となり、いわゆる,キャンパスライフ
昨今流行りの,リア充
翌日はバイトも休みで特に予定もなかった――そんな俺は,ぶらりとどこかへ行ってみよう
そうすると,どこへ？
巨大な温泉ホテルの廃墟で、通称,たぬき温泉
潜入という行為それ自体は決して許されるものではないが……そのことについては,若気の至り
不思議と恐怖はなく、,なぜ
その場は,よくある怖い話
その子は,私を忘れないで
そして現在、,構内にあの少女が現れた
そこには,怪異を研究している双子の姉妹がいる
俺が廃墟で遭遇した少女と、それに関する昨今の怪奇現象について語り終えると、二人は同時に,そうですか
姉,それで……その怪奇現象をどうにかして欲しいということね
男,はい……。お二人の噂を聞いて、お二人なら……そう思いまして
姉,本当に、いい加減にして欲しいわ
男,――え？
姉,私たちは拝み屋でもなんでもないのに。誰だか知らないけど、勝手な噂を流して……。いい迷惑だわ
男,す、すみません……
姉,実害はないのでしょ？なら今のままでいいじゃない
男,いや、でも……。先ほど言ったように、ですね……
姉,集団パニックにでも発展してしまうのではないか――ということね？
男,は、はい
姉,そしてあなたが第一の発見者として、責任を感じている
男,はい……
姉,大丈夫よ
男,え？
姉,所詮人間というものは、興味のないことなんて三日もあれば忘れるわ。すぐに、その少女のことなど忘れるでしょう
男,そ、そんな……
妹,そーそー。大丈夫だよ！。それにさ、その人たちが本当に女の子を見たと思う？
男,それは、どういうことですか？
妹,あ、敬語はいーよ！同じ一年生でしょ？
男,う、うん……
妹,それで、どーなの？
男,本当に女の子を見たのか……ってこと？
妹,そーそー
男,俺は、確かにこの目で――
妹,それは信じるよ
男,……？
妹,君の友達とか、その友達、知り合いが本当に女の子を見たのかってこと
男,それは……。でも、見たって言ってた
妹,もし、それが嘘だったら？
男,嘘……
姉,そう。もしかしたら、その話を盛り上げるために嘘をついているかもしれないわ
男,そんな……
妹,本当に見たのかもしれない
姉,でも、見てない人もいるのかもしれない。そういう可能性もあるわ
男,そんな……。でも、今のところ実害はないし。いっそ嘘であった方が……。そうか……そうだよな。大丈夫、だよな。なんか、今日はすみませんでした……。そう言われたら安心した。ありがとう
姉,いえ、こちらこそあなたに愚痴をぶつけてごめんなさい
妹,そうだよー、姉はグチグチ説教臭いからねー
姉,うるさい。あなたが子供なのよ
妹,子供ねー、姉が老けてるんじゃない？
姉,……
男,あ、まぁまぁ！
妹,ごめんねー。私たちはいつもこんな感じだから気にしないでいーよ
男,いや、気にするだろ
姉,でも、正直な話……結構気になっているわ
男,気になっている？
妹,うん、興味をひかれる話だね。面白い
姉,面白い……その言い方は誤解を招くからやめてちょうだい
妹,いいじゃん。姉も気になってるんでしょ？
姉,……
妹,あ、ずぼしー！
男,双子って独特なペース持ってるよな
姉,ちょうどネタが切れていたところなの。その話、もっと詳しく聞かせて？
妹,開き直ったね
男,それは……。ええと……
妹,確かに、百パーセントパニックにはならないとは言い切れないもんね。良かったら、私たちにも協力させてよ
男,マジで……？
姉,協力というか、調査してもいいかしら？
男,本当にいいの……？。実害はない……とは言っても、不気味だからなぁ。このままだと、どうなってしまうのか……そんな風に感じてた部分もあったし。だから、ありがとう。よろしくお願いします。そして翌日から、怪異を解決するための調査が始まったのだった。とりあえず、俺もできる範囲で情報を集めて来たけど
姉,ありがとう
妹,それじゃー、集めた情報を整理してみようよ
姉,そうね。私たちも何人かに聞き込みして、ある程度は集めてきたから。情報を整理しましょう
男,そうだな。まずは――
・ただ、いずれにしても,呪われた
姉,とりあえず、こんな感じかしら
男,改めて確認してみると……スゲー急速に広まっているな
妹,噂っていうのはそーゆーもんだよね。この話を聞いた者は、まだ知らない者へ話さないと呪われる。一部ではそんなことになっているみたいだよ
姉,尾ひれがついて、悪質なデマに変わってきているわ
男,まさか俺の話がこんなに広がってしまうとは。俺のせいだよな……
姉,確かにあなたには何の責任もないとは言えないわね。けれど、これはもうどうしようもないわ
妹,よくあることだよ。時の運というか――とんだ不幸に遭っちゃったね
男,……
姉,問題は、その女の子を本当に見た人間がどれだけいるか
妹,だけど、見た人を特定できたとしても……それが解決へ繋がるわけでもない。そもそも、これは何を以て解決とするのか……ってことだよね
姉,ええ
男,そうだな。興味のないことなんて、三日もあれば忘れる。被害は出ていないわけだし、放っておけばいずれ収まる。放置しておくことが最適ってことかな
姉,……。これは、確かに怪異ね
男,……？
姉,あなたは怪異について、どんなイメージを持ってる？
男,怪異……。妖怪とか、幽霊とか、そういうオカルト的な現象。そんな感じかな
姉,ええ、確かにそのように定義されているわ。だけど……それだけではないのよ
妹,怪異は、私たち人間がいなければ存在しない現象
姉,つまり、怪異とは私たち自身でもあるのよ
男,それは……
姉,怪異という現象を語る人間がいて、それを聞いた人間がいて。そこで初めて、怪異は怪異という現象として認知されるのよ
妹,つまり君は、この一連の現象の語り部になってしまったということだね
男,そんな……！俺は確かにこの目で見たんだ！。嘘じゃない……
姉,ええ、それは信じるわ。あなたは確かにその目で少女を見た。彼女はいわゆる幽霊と呼ばれるような存在かもしれない。何かのきっかけがあって、あなたは少女と出会ってしまった。そこから、この怪異は始まったということよ
妹,ある意味、こうなるのも必然だったのかもしれないね
姉,とりあえず、その少女についてもっと調べてみないと。聞き込みを続けましょう
男,怪異か。とりあえず、疲れたしもう寝よう。……。大丈夫？
少女,……
男,どうしたの？
少女,私を……
男,……？
少女,私を忘れないで
男,――‼。また……あの夢だ。六時半――起きるか。女の子が現れた!?
友人のDJ,俗に言うB系のファッションをしていてDJっぽいからそう呼んでいる
DJ,おう、同じサークルの奴からラインが入って。例の女の子が現れて、パニックになってるらしいぜ！。ちょっと見に行ってみようぜ
課長,嘘だろ？
DJ,いや、マジだよマジ。体育館に出たらしい。三限が体育だった女の子が見たらしいんだけど、お前が言ってたみたいに急に消えちゃったみたいで。だから、それを見ちゃった女の子は軽くパニくっちゃって。保健室に運ばれたらしいぜ
