黒船来航から始まった,幕末
渦中である京都に,人撃ちガトリング斎
その弾丸を以って新時代,明治
時の流れと共に,最強
観柳,はろぉう。私、流浪人をしている実業家、武田観柳と申します。喉が渇いてしまったので、水を一杯いただけないでしょうか？
薫,えぇ、かまいませんけど……。車輪付きの大きな荷物を運んでるけど、中身は何かしら？
観柳,ありがとうございました。ところで浮かぬ顔をされていますが、どうされたのです？
薫,実は──
観柳,なるほど、道場の立ち退きを迫る比留間という兄弟から嫌がらせを受け。門下生も全員いなくなってしまったのですか
薫,奴らはもうすぐ実力行使に出るっていっていたわ
観柳,なら、大人しく道場を手放した方が利口なんじゃありませんか？
薫,いいえ……父から受け継いだ神谷活心流を守るため、私は最後まで戦うわ！
観柳,……よろしい。おいしい水を頂いた礼に、私も微力ながら協力いたしましょう
薫,ダメよ！こういっちゃ悪いけど、あなたとても戦えるようには見えないわ！
観柳,よくいわれますよ。ですが大丈夫、私に任せて下さい
薫,でも──！
喜兵衛,やれやれ、大人しく道場を売り渡せば痛い目を見ずに済んだものを
伍兵衛,へっへっへ……。“人を活かす剣”だとかほざく道場なんざ、俺様がぶっ潰してやる！
薫,なんですって！
観柳,彼のいうとおりですよ
薫,！？
観柳,剣に限らず、銃も大砲も全ての武器や兵器は人を殺すために造られたモノ。薫さん、あなたのいうことは甘っちょろい戯れ言に過ぎません
薫,流浪人……！
観柳,ですが、私はそんな甘っちょろい戯れ言の方が好きですけどねぇ
薫,！
伍兵衛,ふざけた野郎だ、まずてめえからぶっ殺してやる！。この俺の愛刀でなァ……
観柳,では私も武器をお披露目いたしましょう！
伍兵衛,なんだありゃあ……！？
喜兵衛,回転式機関砲ガトリングガン
薫,ってことは、あなたまさか──“人撃ちガトリング斎”！？
観柳,さぁて始めましょうか。なんとこれ、弾丸を一分間に二百発も発射するんですよォ！。ハーッハッハッハッハ！！！
伍兵衛,うぎゃあああっ！
喜兵衛,ぐわああああっ！
薫,な、何も殺さなくても……。いえ、二人とも足を撃ち抜かれただけで生きてる！
伍兵衛,いでぇぇぇっ！
喜兵衛,うぎゃあぁぁっ！
観柳,殺しはしません。私は“不殺ころさず。しかし私がガトリング斎とバレてしまっては、もうここにはいられません。さようなら、薫さん
薫,ま、待ちなさいよ！。私は人の過去なんかにこだわらないわ！。私は人撃ちではなく、流浪人のあなたにいて欲しいの！
観柳,そこまでいわれたら、仕方ありませんねェ。私は流浪人兼実業家ゆえ、いつ流れるか分かりませんが。しばらく厄介になるとしましょう
薫,待ちなさい！今この子、観柳の財布をスッたわよ！
弥彦,うるせぇ！さっさとはなせ、ブス！
薫,なんですってぇ！？
