プロローグ,業務開始
駅長,おはよう、諸君ッッッ！
女後輩,おはようございます！
駅員,ふぁぁ……。おはよ──
駅長,コラァッ！挨拶しながらアクビする奴があるかッ！。キサマを枕木にしてやろうかッッッ！
駅員,す、すんませんっ！しないで下さいっ！
駅長,では気を取り直して、我が駅のルールを確認する。客どもには、最高の交通をお届けせよッッッ！
女後輩,客どもには最高の交通をお届けするッス！
駅員,客どもには最高の交通をお届けしま～す！
駅長,悪しき客は血祭りに上げよッッッ！
女後輩,悪しき客は血祭りに上げるッス！
駅員,悪しき客は血祭りに上げまぁ～す！
駅長,以上ッッッ！
駅員,あのぉ～、いつもいつも思ってるんですけど。客を血祭りに上げるってやっぱマズイんじゃないですか？。一応、ほら法律とか刑法とかあるじゃないですか……
駅長,愚問ッ！。我が駅では、このワシがルールだ！。法律や憲法、条例、その他諸々など、クソ喰らえッッッ！
駅員,失礼しました……。ま、駅長に血祭りに上げられてるのっていつも俺ですしね
駅長,それはキサマがいつもいつもたるんどるからだッ！
駅員,あが、が……
女後輩,大丈夫ッスか、先輩！？
駅員,大丈夫じゃねえよ。朝からいてぇなぁ……。ったく、お前といい、駅長といい。なぁ～んで、この駅には変わり者しかいないんだか……
女後輩,いやぁ～、駅長にいつもいつもあんだけボコられてるのに。ちっとも反省しない先輩も、相当変わり者ッスよ
駅員,そうかぁ？ま、いいや。とっとと仕事に入るぞ
女後輩,あとすっごい丈夫だし……
ケース１,路線案内
老婆,お兄さん、お兄さん
駅員,なんだい、おばあちゃん
老婆,この駅から××駅まで行くには、どうやって行けばいいんだい？
駅員,××駅？たしかこの路線のどっかで別の路線に乗り換えるんだったよな。えぇ～と、どこで乗り換えるんだっけ？やっべ、忘れた……。ちょっと待っててね。すぐスマホで調べるから
老婆,すまないねぇ
駅員,んん？。路線案内のサイトってこれじゃねえの？なぜか地図が出てきやがった！。ううんっと……一度戻って、と……。なんでウィキペディアが出てくんだよ！違うって！戻る戻る！。あ～……今度はやたら重いページに引っかかりやがった！
老婆,……お兄さん。もしかして、ここを開くと路線案内のサイトが出てくるんじゃないかい？
駅員,えぇ～、んなわけ──。あ、ホントだ！すごい！やるぅ！
老婆,なるほど、××駅まではこう行くんだねぇ
駅員,やるなぁ、おばあちゃん！
老婆,そのサイトをブックマークしておけば、あとで困らずに済むよ
駅員,おお～、そうするそうする！ありがとな、おばあちゃん！
老婆,いやいや、いいんだよ
ケース２,改札トラブル
会社員,ん？
駅員,どうしました？
