国王,魔王に支配されて200年、人類は危機に直面している。様々な難関を弱冠16歳にして潜り抜けたそなたに勇者の号を与え―。魔王を倒し、この国を、この世界を救ってもらう。よろしく頼んだぞ、若き勇者よ
勇者,はっ。必ずやこの手で魔王めを仕留めてまいります
魔王,私は新世界の…
村人,おお、勇者様！洞窟の魔物を退治してくださったのですね。これで怯える日々とはオサラバだ！。何かお礼を…
勇者,いえ、礼には及びません。魔物の退治こそ勇者の勤め
村人,そんな！それでは私らの気がすみません
勇者,そうですか。そうですね、では…。宿屋までの案内をお願いします
宿屋,まさか勇者様がウチに泊ってくれるとはね！。こんな汚い所だけど、寛いでっとくれよ！
勇者,はは、お構いなく
宿屋,さ、飯ができたよ！
勇者,――美味い！
村人,だろう、うちの村の牛肉は美味いんだ！
宿屋,この肉のためだけに来るヤツも居るほどだしねぇ
村人,俺も毎日食いに来るが全く飽きねーな！。馬鹿か、お前は酒を飲みに来るだけだろ
宿屋,しかもタダでね
村人,ほら、今日は宴だ！勇者様も飲め飲め！
勇者,ああ、まだ酒は飲めないんで
村人,そんなこと言わずに、ほれ！
宿屋,こらこら、勇者様お疲れなんだから
精霊,勇者、お疲れ様～！
勇者,疲れてるのが分かるなら静かにしててくれ
精霊,もー、いじわる。剣の手入れしたらすぐ寝ちゃうの？
勇者,ああ、疲れたしな
精霊,ぶー
勇者,お前も疲れたろ。戦闘も多かったし
精霊,まだ元気だもん
勇者,はいはい、ロウソク消してくれ
宿屋,おや勇者様。もう起きたのかい？
勇者,はい。明るいうちに谷を越えたいので
宿屋,そりゃ大変だねえ。朝食はもうすぐできるから席に着いて待ってな。…前来た旅商人が話してたんだけどさ
勇者,？
宿屋,西にルクロウ村って所があるんだけど。その近くにただっ広い草原があってね、そこの景色…
勇者,へー
宿屋,知る人のみぞ知る名所ってね。勇者様、今は大変かもしれないけど、平和になったら是非見ておいでよ
勇者,そうですね。行ったらまた報告に来ますよ
宿屋,そうかい！じゃあたっぷり肉用意して待ってるよ
勇者,期待しています。では、御馳走様でした
宿屋,ああ、頑張るんだよ
精霊,宿のおばさんが言ってた所だけどさ
勇者,始まりの樹、だっけ
精霊,そうそう。そこ、行ってみない？
勇者,…ルクロウなら距離的に行けないこともないけど、今はそんな暇ないだろ
精霊,魔王を倒すことはもちろん大切だと思うよ。でも、最近勇者すごく疲れてるみたいだから…息抜きになれば良いかなって
勇者,……。…あっ。出たな魔物め！。ぐ…！。…はぁ
精霊,勇者！大丈夫？
勇者,ああ、大丈夫だ
精霊,大丈夫って…血がでてるじゃない！
勇者,ああ、ありがとう。…。……。…ちょっとだけだぞ、すぐ帰るからな
精霊,…ホント？
勇者,…
