トレーナー,はい、今日のボーカルレッスンはここまで！
春香、千早,ありがとうございました！
春香,……はぁ
千早,どうしたの春香？
春香,私、いつになったら歌上手くなるのかな…
千早,最初の頃よりは、大分上手くなったと思うわ
春香,そう…？
千早,最初に歌を聞いたときは、思わず耳を疑ったもの。まさに不協和音だったわ
春香,不協和音…
千早,それが今はちゃんと歌にはなっているわ。だから、落ち込まなくてもいいんじゃないかしら
春香,う、歌にはなってる…？
千早,ええ。なんとか聞いていられるくらいには
春香,う～ん、なんか言葉がいちいち引っ掛るなぁ
千早,ともかく、春香はこの調子で大丈夫だと思うわ。私は楽しそうに歌を歌う春香がすきなの。グジグジ落ち込んでたら、春香らしくないわ！
春香,千早ちゃん…。千早ちゃん、ありがとう！元気でたよ！
千早,ふふっ。元の春香に戻って良かった！
春香,だけど千早ちゃん、やっぱり私、もっと歌が上手くなりたい！。だから、千早ちゃん！私に歌をレッスンしてください！
千早,レッスン…？
春香,そう！私、千早ちゃんに歌教わりたいなって思ってたんだけど…なかなか言い出せなくて……
千早,……。……わかったわ
春香,本当！？
千早,ええ
春香,やった！ありがとう、千早ちゃん！
千早,私、春香が歌にこんなに熱意を持ってるなんて思わなかったわ……ごめんなさい、さっきは酷いことを言ってしまって
春香,いいよいいよそんなこと！
千早,……だけど、春香。レッスンするからには、手加減しないわよ
春香,わかっております！。これからよろしくね……いや、よろしくお願いします！！
千早,こちらこそ、よろしく！
春香,ふぅ～、やっと仕事終わった～！。……えぇっと～、千早ちゃんとの約束は何時だったっけ？。……確か6時半だったよね。今何時だろう…4時半か。まだ約束場所に行くのは早いし、事務所でゆっくりしてようかな。~♪
雪歩,あれ、春香ちゃん？
春香,あ、雪歩。来てたの？
雪歩,春香ちゃん、千早ちゃんと5時半から歌の練習するって言ってなかった？
春香,え！？6時半じゃなかったっけ？
雪歩,確か、春香ちゃんは5時半って言ってたと思うけど…
春香,ちょっと待って！メモはメモは……あった！。や、やらかしたーー！！
雪歩,春香ちゃん、ドンマイ…
春香,じゃあ、行ってきまーす！！じゃあね、雪歩！
雪歩,転ばないようにね…
千早,春香、どこ行ってるのかしら！
春香,あ、あのー、失礼しまーす…
千早,春香！！一体何時だと思ってるの！！
春香,ご、ごめんなさい…
千早,本当、今まで連絡もしないで！何してたのよ
春香,実は……ｶｸｶｸｼｶｼﾞｶ
千早,つまり、時間を勘違いしてたのね
春香,はい…
千早,全く、春香から言い出したんじゃない！
春香,そうです…
千早,はぁ……じゃあ、早速レッスン始めるわよ
春香,え？……は、はい！
千早,……
春香,えっ？なんで千早ちゃん正座？
千早,春香、ジャージと下着を下ろして、私の膝の上に来なさい
春香,……ええっ！？///
千早,ほら、早く
春香,な、何言ってるの？
千早,何言ってるのって、今から指導するのよ。春香のお尻にね
春香,うぅ…そ、それってもしかして…….お尻ペンペン？///
千早,まぁ、言い方を変えれば、そうなるわね
春香,い、嫌だよぅ！高校生にもなって、しかも年下にお尻たたかれるなんてぇ
千早,年下って、私たち同学年じゃない
春香,そういう問題じゃない！！。千早ちゃん、お尻ペンペンだけは勘弁して
千早,ダメよ
春香,お願い！次は絶対遅刻なんてしないから！
千早,そもそも、このレッスン場は特別に許可をいただいて借りたのよ。だから、使える時間は限られてるの。前にも、そう言ってたはずだけれど
春香,い、言ってた…
千早,なのに、40分も遅刻するなんて！そんな時間管理もできない人は、歌の指導よりも、他の指導の方が先よね
春香,し、指導って……他にも何かあるんじゃ…
千早,うじうじ言ってないで、さっさと堪忍しなさい
春香,は、はい…。や、やっぱり無理！せめて、ジャージの上からにして！
千早,春香、お尻叩きは直に叩くものよ
春香,うぅ…///
千早,さあ、膝の上に来なさい
春香,……
千早,早速いくわよ。覚悟はいいかしら？
春香,え？ちょ、まって。っっっ！！。いったーーーー！！。痛い、いたーい！！千早ちゃん、ちょっと待って！
千早,何を待つの？
春香,もういやぁ！
千早,ちょっと春香、手が邪魔よ！
春香,もう、春香さんのお尻は限界です……ゆるしてぇぇ…
千早,自分のお尻をガシガシ触れるくらい、余裕じゃないの。まだまだ大丈夫ね
春香,余裕じゃないーー！！。アンッ、アンッ、アンッ！！もう許して、おねがいしますぅぅぅ！！
千早,ちょっ、暴れないでくれるかしら？叩きにくいわ
春香,だってぇ
千早,まだ、終わらないわよ
春香,そんなぁ。アーン！もうやだあああああ、アーーーーーン！！
千早,………！！
春香,ちはやちゃん、もうおわり？
千早,な、何？さっきの透き通った声は！？まるで天使の歌声だわ！
春香,え？
千早,春香、さっきの、もう1回言ってみてくれるかしら？
春香,さっきのって？
千早,アーーーーーン(美声)！！って
春香,……い、嫌だよ、恥ずかしいもん…///
千早,そうそう、それよ！！ああっ、なんて素晴らしい声なの！！
春香,えぇっ、さっきの、声の、どこがずばらしい声なの…うぅっ….
千早,これは丁度いいわ。発声練習と、お尻叩きを一緒にしちゃいましょう！
春香,なにそれぇ！意味わかんなーーーーい！！。アン、アン、アーーン！！
千早,そうそう、その声よ、春香！
春香,もうおうち帰りたいよぉ……
千早,春香、行くわよ！
春香,アーーーーーン！！
千早,春香、手は前
春香,だってぇ…。アーーーーンッッ！！
千早,春香、この調子よ！
春香,うっ、えぐっ、これの一體どこが発聲練習なのよぉ……ただ鞭で私のお尻しばいてるだけじゃーん…
千早,行くわよ、もう1回！
春香,アーーーーーンッッ！！もういやぁぁぁ！！
千早,うふふ、いい声
