・このSSは,静・ジョースターの奇妙な日常
チェスタ,……ウォーケン
ウォーケン,ずいぶんと久しぶりに、君の姿を見た気がするよ。元気そうで何よりだ。クク……
チェスタ,……何処かへ向かう所だったのか？
ウォーケン,ああ。……塾に行くつもりだったよ
チェスタ,つもり？
ウォーケン,メイに忠誠を誓った時から、勉学だの平凡な日常だのに興味が無くなってしまってね……しかし、成績は落ちるどころかメキメキ上がっていってるよ
チェスタ,……
ウォーケン,人に追いつこうと思わなくなったからかな？メイの近くにいるって事は、誰よりも神に近い存在という事だからな。……凡人を遙か遠くに置き去りにしてしまったようだよ、僕は。永遠の絶頂……それが今の僕。クク……素晴らしく気分がいいッ
チェスタ,……そうか
ウォーケン,あとは、チェスタ。……目障りな君が、メイの隣から消えれば……僕はメイと二人きり、本当の絶頂の中にいられるんだけどね
チェスタ,……
ウォーケン,……アハハッ！冗談ッ！冗談だってチェスタ。メイもそんな事求めていないだろう？なあ？
チェスタ,……
ウォーケン,そう怖い顔するなよなァ～～もうッ！もっと軽くいこうぜ？なあ？笑え笑え、アハハハハッ！
チェスタ,……お前の話はつまらない
ウォーケン,これは失礼。どうにも苦手でね……普段は生真面目なもので
チェスタ,……
ウォーケン,それで？
チェスタ,……何？
ウォーケン,……おいおい、一から十まで僕が言わないとならないのか？それで？だよ。それで？……何故急に君は、僕の目の前に現れたのか？……いや、違うな。そうじゃない。それはもう解っているんだよ。それで？……メイの新しい隠れ場所は見つかったのか？……うん。この方がスマートだな
チェスタ,……
ウォーケン,それを教えるために来たんだろ？さっさと教えろよ、ホラ。お前は毎日メイの側にいるが、僕はもう何日も会っていないんだ。わかるか？禁断症状だよ、禁断ンーッ！自分の爪がのびるのを止められないように、この症状は治まらないんだ。ニコチン中毒者はタバコをバカみたいにスパスパ吸わないと落ち着かないだろう？僕もそうさ。もう治まらない。早くメイに会いたいんだ。メイのつま先にキスをさせろよ。なあ？早く、早く！教えてくれ
チェスタ,……これを
ウォーケン,？
チェスタ,……持っている事だ。それが鍵となる
ウォーケン,何だこれは？……本？
チェスタ,今、隠れ家として使っている屋敷は、少々奇妙でな。……普通の人間には、見つけることすら出来ない
ウォーケン,？……
チェスタ,ウォーケン、貴様は……幽霊の存在を信じるか？
ウォーケン,メイは信じているのか？
チェスタ,ああ
ウォーケン,なら信じる
チェスタ,……
ウォーケン,その程度のもんさ。僕にとって幽霊なんざ
チェスタ,……今日からは強く信じる事だな。その本を無くすんじゃあないぞ。屋敷の物品を所持している事……それを条件にしているんでな
ウォーケン,ふうん……。少し遠いな
チェスタ,……覚えたのなら、すぐに燃やせ。そのしおりは屋敷の物品では無いから安全だ
ウォーケン,……屋敷の物品であるこの本は、危険だとでも言うつもりかい？
チェスタ,ああ。五体満足でいたいなら、丁重に扱うことだ
ウォーケン,……ふん。さっそく顔を出してみるか。チェスタ、一緒に行くかい？
チェスタ,……俺はメイの食料を調達しなければならないのでな
ウォーケン,今日びの召使いは学生よりも忙しいんだな。……痕跡を残すんじゃあないぞ？僕が今までひっそりコツコツやってきた事が、無駄になるからな……
チェスタ,言われなくとも
ウォーケン,あと、出来る限り悪そーな奴は食わないでくれるか？極罪を犯した者を見つけるのが、なかなかに難しくなってきたんだ。早く魂を集めないとな。メイのために……
チェスタ,……
ウォーケン,気に入らないのか？
チェスタ,……
ウォーケン,気に入らないのだろう？顔を見ればわかるさ
チェスタ,……何の話だろうか
ウォーケン,とぼけるなよ、僕の事さ。……平凡な日常と、殺戮にまみれた非日常の間で生きる僕の事が……気に入らないんだろう？お前はさ
チェスタ,……
ウォーケン,ククッ……僕としては、こんな犬のクソにも劣る平凡な生活なんざ、いつだって切り捨ててもいいんだけどね。……しかし、争い事の無い静かな生活というのも、魅力的なのは事実さ。……結局僕は、どちらも大切なんだろうね。……メイがいるから、非日常へのあこがれが強いってだけさ
チェスタ,……
ウォーケン,これからメイに会って、思う存分つま先にキスをしたら……明日からまた、平凡な日常が始まるんだ
チェスタ,貴様の住むべき場所はそちらだと、俺はそう思うがな……
ウォーケン,そう言うなよ。僕はこの刺激的な世界が好きなんだ。しかし、けどまあ、本心は……。……僕は静かに暮らしたい。メイと一緒に……天国で
チェスタ,……
双馬,……。……。……。……。……。……ん？。おいおい、止まってるんじゃあないぜ。お前が止まってしまったら、僕は何を着て過ごせばいいんだよ。動け、このポンコツが。全く……故障か？原因は何だ？。ペーパー・バック・ライター。フーン……昭和の終わりに作られたのか。中古で格安だったのもそういう訳なんだな……ドラム式のこのご時世に、二層式というのも頷ける。前回壊れた理由は……衣類の詰め込み過ぎだって？おいおい。そこまで入れちゃいないだろう。ワイシャツもパンツも昨日の分しか放り込んでないはずだぜ？マジにナメてやがるなコイツ……。……何？……洗濯槽のネジが折れてる、だって？……前の持ち主が衣類をバカみたいに突っ込んだから？……フーン。……帰ったら電気屋に電話してみるか。クソ、新しいのを買った方が早いかもな……。無駄な仕事が増えてしまった。……まあ、数日は洗濯しなくとも大丈夫だしな。……時間か。そろそろ……。……行ってきます、母さん。……出来るだけ早く帰ってくるよ。……学校は、つまらないからね。……じゃあ。……
クラスメイト,おい双馬ァ～～ッ、見たかよ昨日のッ！
双馬,おはよう。……何の話だい？
クラスメイト,バーカ！ドラマだよッドラマァ～～ッ！！9時からやってる超ォー人気のッ！！
双馬,……ドラマ……ああ、見たよ
