さらには,世界征服には国民の意志の統一が不可欠
男,いくら働いても、ろくに食えやしない……。かといって文句をいえば、すぐ兵が飛んできて厳しく処罰される……。もうすぐ俺も徴兵の時期だが、こんな帝国のために働くなんてゴメンだ！。もう親は両方氏んじまったし、恋人も友人もいない。守るものなんて、なにもない。俺は自分の進みたい道を進む！。俺は……反乱軍に志願する！
リーダー,ほう、我々の仲間に入りたいと？
男,はいっ！
リーダー,ふぅむ
男,もちろんです。俺もテストがあることは知ってましたから
副リーダー,よし、かかってきたまえ
男,はい！
副リーダー,速いし……ウマい！。俺の……負けだな
リーダー,……みごとだ。我々は君を歓迎しよう
男,ありがとうございます！
リーダー,このアジトには３００名余りの勇敢な兵士がいる。みんな、帝国の圧政に我慢ならず立ち上がった者たちだ。──対する帝国の全兵力は百万ともいわれている。帝国城があるこの首都だけでも十万は駐屯している……戦力差は明白だ。この道を行く覚悟が……君にはあるか？
男,……あります！
リーダー,気に入った！。これで君は、正式に我々のメンバーだ
男,はい
リーダー,君には戦闘班に入ってもらう。当然、もっとも危険が多い部隊だ
男,かまいません。こっちからお願いしたかったくらいですよ。帝国兵の横暴にはいつも参ってましたからね
班長,今日からよろしく頼む！
槍使い,どもっ！
女剣士,よろしくね
弓兵,あの副リーダーを負かすなんて、スゴイね。期待してるよ！
甲冑,……新入りか
男,女性までいるのか……
班長,新入りには初日からで悪いが、さっそくＡ班は今から任務だ！
槍使い,よっしゃー！
女剣士,腕が鳴るね
弓兵,待ってました！
甲冑,足を引っ張るなよ……新入り
男,も、もちろん！。いきなりか……。だが、俺だって活躍できる自信はある！
班長,帝国兵が１０名か……。よし、このメンバーで十分倒せる人数だ。弓兵が矢を射かけたら、一気に突っ込むぞ！
男,食糧はどうするんですか？。なるほど、分かりました！
女剣士,じゃ、お願いね
弓兵,よぉーし……任せといて！
帝国兵Ａ,──ぐあっ！
帝国兵Ｂ,なっ、襲撃か！？
班長,出るぞっ！
槍使い,おっしゃー！
女剣士,はっ！
甲冑,……ゆくか
男,うっ……うおおおおっ！。うああああっ！。うおおおおっ！
班長,おおっ、見事だ！
男,や、やったぞ……。俺の剣は……帝国に通じる！
班長,よぉし、みんなも続くんだ！ぬおおっ！
槍使い,こりゃ負けてらんないねぇ、ほれっ！
女剣士,やるじゃない、彼
甲冑,……ふん
班長,よくやった！新入りにしては、上出来すぎるくらいだ！
男,ありがとうございます……！
槍使い,頼もしいヒトが入ってくれて嬉しいねぇ
女剣士,かっこよかったよ
弓兵,やれやれ、おかげで援護役のボクの出番がほとんどなかったな
甲冑,たしかに腕はなかなかだったが……まだどうなるかは分からん
男,今日の活動は？
班長,今日は戦闘ではなく、炊き出しだ
男,炊き出し？
班長,調理は補給班の連中がやるから、君はスープの配給を頼む
男,分かりました！。こっちには温かいスープがありま～す！並んで下さ～い！
村民Ａ,ありがとうございます……
村民Ｂ,ありがたくいただきます……
村民Ｃ,美味そうだ……どうもありがとう……
男,おかわりもありますからね～！たっぷり食べてくださ～い！。…………。この帝国の人々は……みんなどこか諦めたような表情をしている。帝国の強大な力に圧倒され、生きる気力を失ってしまっているんだ。だからこそ、俺や反乱軍のみんなで希望を与えなければならないんだ！。このままじゃ、その一家は処刑されるのがオチだ。こんなの黙ってられない！今すぐ行きましょう！
班長,ダメだ。……う～ん、しかし
女剣士,いいんじゃない？行こうよ、私たちだけでも
班長,女剣士
女剣士,それはマズイんじゃない？
班長,…………
槍使い,やったろうよ！
弓兵,ボクも賛成だね。放っておいて、帝国を調子づかせるのもシャクだし
甲冑,出撃しろ、といわれれば出る……
班長,ふぅ……。ま、それでこそＡ班だ！
男,ありがとうございます！。ふざけやがって……。うわあぁぁぁっ！
帝国兵Ｃ,なんだ、キサマはっ！？。ぐえぇあっ！
班長,……俺たちも行くぞ！
女剣士,帝国を許せないのは私らも同じだよ！
槍使い,ふぅ、こんなに怒りを覚えたのは久しぶりだよ
甲冑,……ふん
弓兵,家を焼いた分、存分に矢をくれてやるよ！
男,ちくしょう……ちくしょおおおっ！。帝国め……！
