コンビニ店員(以下店員),いらっしゃいま……せ？
覆面強盗(以下覆面),……
店員,……
覆面,……
店員,あのー……
覆面強盗,……！
覆面,あのー……
店員,あ、いらっしゃいませ
覆面,私、覆面強盗なんですけど……
店員,あー！やっぱり！。それっぽいとは思ってたんですよ！
覆面,夜分遅くにすいません
店員,いえいえ
覆面,実は私、職業柄名前はあかせないんてすけど……
店員,あ！皆さんそうおっしゃられるんですよー！でしたら覆面様
覆面,じゃあそれで
店員,で、今日はどのようなご用件で？
覆面,あっ、はい。実は、この袋にできるだけ金品を詰めていただけないかと
店員,あー……なるほど。実は私、このパターンは初めてで……どのように対応すればいいかはからないんですよ……
覆面,実は私も強盗なんてするの初めてで……情けない話なんですけど今も緊張してるんですよ
店員,私もです
覆面,で……今回はこのようなものをご用意させていただきました。いざとなったら発砲させていただくつもりなんですが
店員,あ、申し訳ございません……当店では重火器の扱いはご遠慮いただいておりまして
覆面,えー……。そこをなんとか……
店員,あ！すいません、あちらのレジに行ってきても……
覆面,ええ、構いませんよ
店員,では少し失礼します
覆面,……。……。……
店員,すみませんおまたせしました。では拳銃についてですが、今回は特別ということで……
覆面,あ、ありがとうございます！
店員,いえいえ。ではいくらほどお包みすれば？
覆面,あ、ほんとお気持ちで充分です！
店員,おきもち……
覆面,(´・ω・｀)
店員,こ、こっちですよね！
覆面,(*ﾟ∀ﾟ*)
店員,でっ、ですよね！あ、こちら温めますか？
覆面,あ、結構です。あと、この事は……
店員,はい！誰にも言いません！
覆面,何から何まですいま…
警官,ちーっす巡回でーす
覆面,
店員,
警官,……
覆面,
警官,署までご同行願えますか？
覆面,あ……はい
警官,じゃあ行くぞ
覆面,わかりました……あ、店員さん
店員,はっ、はい！
覆面,今日はありがとうございました
店員,いえっ！またのご来店をお待ちしてます！
覆面,はい！
警官,二度と来るな！
覆面,見てくれたのは嬉しいけどちょっと恥ずかしいね・・・
ドア,・・・
警官、客、覆面、店員、ドア、ホチキス,みなさんありがとうございました！
