オリジナルＳＳ,人間ＶＳゴキ
男,いよいよか.....
父,ゴキブリに苦しまされ２年...いよいよこの闘いに終止符を打つ時が来た！
母,.........
姉,........それで、作戦は有るの？
父,ああ、この日のために作戦をずっと考えてきた。かれこれ１年がたつ...
妹,そんなに...
兄,そこからは俺が説明する。知っての通り、我が家には大量のゴキブリが繁殖している。その数、三千を超えるだろう
男,三千だと！？
姉,そんな中で私たちは....考えるだけでも鳥肌が立つわね....
母,........
兄,...それならまだいい。俺や母さんにとって百や千のただのゴキブリ駆除など台所の埃掃除より簡単だ
父,だが、ゴキブリも黙ってはいなかった
妹,独自の....進化
父,そうだ
兄,俺らに駆除されてゆくうち、ゴキブリは知性を付けた
男,......
兄,人間と同等...あるいはそれ以上のな
父,そんな奴らがこの国で大量繁殖したらどうなるか
姉,....ッ！！まさか！！
男,人類の....破滅
妹,...そんな...たかがゴキブリに！？
兄,あの驚異的な繁殖量...恐らく１０年..いや７年で日本は滅びる
男,ッ！？
母,...........
兄,....話を戻すぞ。我が家で繁殖、進化を遂げたゴキブリの一番の脅威点はその強靭な生命力
父,しかも一体一体の繁殖力、戦闘力。そして...異常なまでに統率のとれた集団行動
男,............
兄,また....調査した結果、分泌される毒液は、死に至るとはいかないものの、２日は昏睡状態になる
妹,ごくっ...
母,.......チッ
男,そんな相手に....どうやって立ち向かえばいいんだよ！！？
母,騒ぐなッ！
男,！！
姉,ッ！！
母,相手は所詮ゴキブリ...いくら強靭な生命力を持っているとはいえ、潰せば終わりだ
兄,ああ。母さんの言うとおりだ、しかし数が多すぎる
姉,じゃあ！スプレーとか、殺虫剤
父,無駄だ。奴らは人間界のあらゆる武具薬品
妹,潰すしかないってことね...
ゴキブリ,…じょうじ
父,さて...話は終いだ。それではお前らの配置を決定する。我が家のゴキブリはこの家を、いわば国家として住処としている。故に、すべての部屋のゴキブリを殲滅したのち、奴らのたまり場を一気に攻め落とす。まず男、お前はお前と姉の部屋
男,ああ
父,姉、お前は物置
姉,わかったわ
父,兄...お前はトイレだ
兄,......ああ
父,妹、お前は自分の部屋
妹,よぅーし！がんばるぞ！！
父,そして...お前は台所だ
母,.....承知
父,兄、母...お前たちをそこにやることを申し訳なく思う...
兄,...気にするな
母,....与えられた任務は完璧にこなすのみ。任せろ
父,.....済まない
男,.....？
父,これは、単なるゴキブリの駆除などではない。戦争だ
姉,戦...争..
父,それだけは肝に銘じておけ。全員、用意はできたか？。では、作戦開始ミッションスタート
男,おおっ！！
姉,はいっ！
兄,...よし
妹,わかりましたッ！
母,.....御意
ゴキブリ１,これは......まさか
ゴキブリ２,やばいぞ！今すぐ王様に報告だ！！
ゴキブリ１,王様ー！！！
ゴキブリキング,以下王
ゴキブリ２,この家に住む住民どもが、我々にに戦争を仕掛けました！！
王,なにぃ！？
ゴキブリクイーン,以下妃
ゴキブリプリンセス,以下王女
ゴキブリプリンス,以下王子
ゴキブリ参謀,以下参謀
王,...参謀、我が国の兵士は幾らだ？
参謀,ざっと見積もって...３４００ほど
王,そのうち各部屋に配属されている兵士は？
参謀,各部屋２００ほど...ですね
王女,いっそ、全勢力をゴミ共にぶつけてみては？
参謀,いえ、お言葉ですが、まだ時期尚早かと...
王子,だがこちらにはこの繁殖力があるだろう？
参謀,いえ、繁殖力が高いといっても、こちらの１日の繁殖力には限りがあります
王,その通りだ。奴らは必ず１日で攻め落としにかかってくるだろう。そこで全勢力を出すと、ここががら空きになる、私や妻、子供たちが殺されたら終わりだからな...奴らは私や妻、子供たちを狙うだろう
妃,...流石王様ですね..感服します
