サザン,へへ、やったぜ
オーキド,続いてボーマンダ君
マンダ,まぁまぁだな
オーキド,みなさんも彼らを見習いましょうね
カイリュー,ねぇガブ君は何点だったの？
ガブ,うーん……平均くらいかな……俺は運動で挽回するよ
グロス,おいバンギ！お前何点だよｗｗｗｗｗｗ
バンギ,ケッくだらねぇ……ホラよひらっ
グロス,え……お、おう。やるじゃん俺と同じ点数だと……
キュウウコン,……まずいでござる……知的キャラなのに平均点でござる……
ヒヒダルマ,キュウコン君勉強おしてほしいんだな！
キュウコン,いいお！大文字は～うんたらかんたら
バンギラス,……おい
キュウコン,ひっ……な、なんだい？
バンギラス,それっておかしくねぇ？大文字は～うんたらかんたら
ヒヒダルマ,すごいんだな！わかりやすいんだな！バンギラス君ありがとうなんだな！
バンギラス,ふん！これくらい出来て当然だ
キュウコン,………。あ……女子達がなんかしゃべってる
ミロカロス,ねぇねぇ炎タイプ君なら誰が好み？
ロズレイド,うーんそうねぇ……やっぱり運動できてかしこい……
キュウコン,！！！！！
ロズレイド,ゴウカザル君かな……ウインディくんも結構イケてるよねー
ミロカロス,ロズってそういうのタイプなんだー。私は運動が得意なヒヒダルマ君が素敵だとおもうなー
キュウコン,………。……たしかに僕は運動も……勉強もできないけど……。目立ちたいなぁ…
バクーダ,……キュウコンくん……一緒にお昼ごはんを食べよう
キュウコン,え……。……こんな地味な奴と一緒に居たら周りからどう思われるか……。ご、ごめん……ちょっと用事があって
バクーダ,むぅ……そうなのか
ドサイドン,バクーダ！飯いくぞー！
バクーダ,うん、まって。……じゃあまたの機会に
キュウコン,うん……誰がお前と飯なんかくうかよ
オーキド,……というわけで、先日行われたトリルカップの優勝者はバクーダ君の班にきまった
クラスのみんな,すげーじゃん！おまえやる時はやるんだな！
バクーダ,むぅ……ドサイドン君やヤドラン君のお陰だ
キュウコン,……クソがぁ。くそ……くそくそくそくそ……
カイリキー,……でさ
フーディン,まぁ……
キュウコン,ん、あいつら何話してんだ？
カイリキー,昔からの付き合いだけどあいつプライドだけは一著前で何もできないよな
フーディン,人を見下している節があるのは確かだな
キュウコン,………ねぇ
カイリキー,うお！？
フーディン,……やぁ
キュウコン,何の話？僕も混ぜてもらえない？
カイリキー,え、それは……なぁ？
フーディン,……悪いけど俺たちもう行くから
カイリキー,そ、そうそう。これからゲンガーやゴローンと落ち合う約束してるんだ
フーディン,じゃあな
キュウコン,………
オーキド…,というわけでクラス対抗チーム戦の班決めを行う
ガブ,バンギラスー！組もうぜー!
バンギ,チッ……しゃあねーなぁ
ドリュウズ,あ、おいらも仲間に入れてほしいでやんす
トノ,グドラ殿
グドラ,ククク……何もいうな。相棒のお前の言う事など全てわかっておる。
ドサイドン,ヤドラン！バクーダ！今回も頼むぞ！
ヤドラン,わかったお！
バクーダ,うむ
オーキド,これで班はきまったかの
ボーマンダ,先生、キュウコン君があまってます！
オーキド,うん？……そうか。クラスは31人だから……。オホン！静かに！キュウコンは他のクラスでも余りがでるであろうからそのもの達と組め
キュウコン,…………はい
ヨノワール,ウツギクラスのヨノワールだ。よろしくなボウズ
ノクタス,アララギクラスのノクタスでござるｗｗｗｗｗｗｗｗオウフッｗｗｗｗｗｗ
キュウコン,オーキドクラスのキュウコンです
ノクタス,それにしても酷いでござるなｗｗｗｗｗｗｗｗクラス対抗戦なのに余ったからといってこの扱いｗｗｗｗｗｗありえないｗｗｗｗｗｗｗ
ヨノワール,まぁ何でもいいさ。所詮学校行事なんざどうでもいい
