自分たちをこんな状況に追いやった人間たち、世界、そしてその呪われた運命への――,あ！見てくださいよ！今落ちてきたのってチンパンジーじゃないですか？！
つい最近三歳になったばかりだよ、と俺は答える。柏は悲しそうに,そうですか……もう少し、私が見つけるのが早かったら……すみません
俺は落ち込む柏を微笑ましく思いながら、,いいよ、気にすんなよ。それよりもなんかおごってやるぞ、何かいるか？
その言葉を聞いた柏は勢いよく俺の方を向いて、,いいんですか？！
少しばかりネットに被れた人間ならば,ゴリラは死という概念を理解することができる
満足そうにゴリラ・ゴリラを頬張る柏は呟いた。,ああ、もったいないなあ。こんなにゴリラがいるのに
本降りになったらうるさいんだろうな、と考えながら立ち上がり、,とりあえず一服してくるよ
俺は当初、それに気がつかなかった。気づいたのはそう、背を向けて喫煙所を出ようとする際に、,ブュッ！
すると、彼女は思いついたように大声で,先輩！！扉封鎖しなくてどうするんですか！！！
それは……と言いかけて、柏は言葉を切る。,先輩は、あの日のこと、どこまで知っていますか？
柏は一呼吸の間の後、,その津波の後のことです
耳を刺すような沈黙が鳴る。心臓の音と、壁にかかった時計の音が大きく聞こえる。柏はついに言いあぐねていた言葉を発した――,押し寄せてきたのは、ゴリラだったんです
はい、と掠れた声ではあったがもう声に涙が混じってはいなかった。俺は抱き着いたままの柏を引きはがし、,じゃあ、話してくれよ。吐き出したいんだろ？
柏は少し照れくさそうに,まあ……改めて言うと恥ずかしいんですけどね
俺は小さい子にするように柏の背中を叩き、撫でてやる。,だからわたしは、ゴリラのことが知りたくてっ、ひぐっ、この会社にっ、入ったんです、ううう～
いいよ、と言いながら俺は立ち上がる。,そろそろ朝だと思うし、一回電気を点けてみるか
すると柏は大きな声で叫んだ。,駄目ですっ！！！
その瞬間、遠くから何かが走ってくる音が聞こえる。,お前、大声出すなよ！
柏は俺の裾を掴み、ぐいと体を下に引っ張る。,うおっ！？
吐き捨てるように、呟く。,ずっと付き合っていくしかないんだ
