全員が地球に帰還。なりゆきでベジータはカプセルコーポレーション,＝ブルマんち
最高権威たるメールズ賞,ノーベル賞イメージして
出,ベジータ。ひさしぶりだね。近所に住んでるのにさ
ベ,ふん。オレは地球人となれあうつもりはない
出,ねぇベジータ。ぼく仕事終わったんだ。よかったらこれから飲みにいかない？
ベ,なに？ノミ？それはなんだ？
出,いや、ただ食事して、お酒飲むだけだよ。よければ
ベ,なぜオレが貴様なんかと。そんなことがあるか！！ふん。いいだろう。つきあってやる
出,僕はビール。ベジータは？
ベ,なんでもかまわん。知るか
出,じゃあ、ビール２つ。ふぅ。おいしいね
ベ,なんだこれは。苦いぞ
出,そんなチビチビ飲むからだよ。ぐいっといかなきゃ
ベ,ちっ…。ぐぃっ。さぁ教えろ。どうやってフリーザをやった！？
出,まぁまぁ、夜は長いんだ。どんどん行こう。生中２つ追加お願いします。さすがサイヤ人。２０杯飲んでもまだイケル。やるねぇ。よしきた。うん。そうだよ。知の勇者っていうのはちょっとおおげさだけどね
女性Ａ・Ｂ,うそー。すごーい！握手してください！わたしファンなんですぅ
出,あはは。別に芸能人じゃないんだから
ベ,…
女性Ａ・Ｂ,あ、すいませぇん。お邪魔しちゃって。こちらの方はお友達ですか？
出,うん。かれはトっプアスリートなんだよ。ほらこの筋肉
ベ,！？
女性,うわー。ほんとだー。すごーい！かっこいいー！ｻﾜｻﾜ
ベ,おいっ、キサマら。やめっ。おいどこを触っている！…あっ
出,照れるなよ。ベジータ
ベ,このオレが照れているだと…！。おいデキスギ。今日も行きたいならつきあってやっておいいぞ。ノミとかいうやつにな
出,今日は用事が
ベ,ふんっ。そうか
出,この考えを、デデキントの切断っていうんだよ
飯,なるほど！すっごくわかりやすです
出,しかしすごいよ。悟飯くんはその年でもうこんなにハイレベルな数学を
飯,えへへ…出木杉さんにはまけますよ
チチ,裏口入学させてくれるだか！？
出・飯,……
クリ,しっかし、悟空はいいよなー。嫁さんも、子供もいてさぁ
悟,うめぇメシが食えるしな！
出,あはは。そうだねぇ。でも、たしかにぼくらももう落ち着く年頃だよね
悟,スキ？スキってなんだ？
チチ,ホントだか？出木杉さにほれられるなんてたいしたもんだべ。なんでふられちまったんだ？
出,ライバルが強力でね。純粋で、やさしい男の子だったよ
ヤム,なぁ、出木杉。ホントにそんなのがくるのか？
出,こないならそのほうがいいけど‥。あのレーダーは完璧なんだ
飯,はっ、この気‥似てる
ヤ,な、なんだよ。そんなやべぇヤツなのか‥
クリ,これは‥フリーザの‥気だ
悟,フリーザをやったのはオラだ！
出,悟空。大丈夫だよ
一同,！？
コ,ほう‥。貴様か。戦闘力はわずか８５。そうか変身タイプというわけか
出,それで、アナタの目的はなんだ。仇討かい？。なるほど、悪い話じゃないね
コ,物わかりのいい男だ
出,なるほど。では条件がある
コ,生意気な。ここで殺されたいのか？。‥よかろう。条件というものをいってみろ
天,出木杉。おまえ、なにを
クリ,どうしちまったんだよお前‥
悟・ベ,‥
コ,簡単なことだ
出,今やってくれ。そのスカウターでできるんだろ？指示が
コ,せっかちなやつだ中略。なんだと。貴様なにを言っている
出,アンタはここで死ぬんだよ
コ,さぁ、かかってこい！！
出,餅は餅屋さ。僕にはとても頼もしい仲間がいる。あれ？その未来ではぼくはどうなってるの？
トラ,それから。さすがですね。おふたりとも、僕の思ってた以上の方でした。未来を頼みます
出,あのタイムマシン‥
悟,追うぞ！！
出,そっちはまかせるよ。ぼくは少し気になることがある
セ,ふはは自爆してやる！
飯,させるか！
セ,おっとそれは
出,移動したらセルだけおいて、界王と猿をつれてすぐに戻るんだ！！気を察知する手間はみんながなるべく省いてくれる！
悟,わかった！！
※ここも原作と違うところ。歴史はちょっとしたことでかわる,ドラ談
一同,‥
セ,もうこの星に用はない。おまえら全てとともに破壊してやる
ベジ,もう‥おわりだ
クリ,結婚したかった
悟,すまねぇ。みんな、こんなはずじゃ
一同,しぬ気か！？よせ。どうするつもりだ！！
出,みんなの力もかりたい。全員、最大出力のエネルギー波をセルへ
クリ,それにお前、今セルとおれらの間にいるじゃないか。けし飛んじまうぜ
出,ぼくはけして絶望しない。銀河の果てを知るまでは
悟,いいから出木杉の言う通りにするんだ！！コイツはいつでも答えてくれた！！
