チチ,悟空さ！もう我慢ならねえだ！いい加減にまともに働いてくれろ！
悟空,オラ修行で忙し・・・。・・・
ピッコロ,で、俺のところに来たと
悟空,悪いなピッコロ。チョットでいいからさ、カネ貸してくれねえか
悟飯,お、お父さん・・・
ピッコロ,人間どものカネなど、俺が持っているはずがないだろう。まともに働いたらどうだ
悟空,アハハ、オラはそういうの向いてねえ
ピッコロ,・・・
悟空,よし、ドラゴンボールでなんとかすっか！！
ピッコロ,ま、待て！！そんなことで大切なドラゴンボールを使うなっ。オレにいい考えがある
デンデ,あっ！！悟空さん、悟飯さん。今日はどうしたんですか？
悟空,へへへ・・・オラ、カネがチョット・・・
デンデ,え？
ピッコロ,かくかくしかじか・・・というわけだ。・・・神の持ち物に、五億年ボタンというものがあったはずだ
デンデ,え？あるんですか？
ピッコロ,あるはずだ
ポポ,ある。あるけどダメ。アレ危険なもの。神様、封印した。
デンデ,封印？
悟空,なあピッコロ、オラはボタンじゃなくてカネが欲しいんだけど
悟飯,ピッコロさん、五億年ボタンってなんなんですか？
ピッコロ,よし、説明してやろう。五億年ボタンというのはだな
悟空,オラそれやる！！やるぞ！！
ピッコロ,ま、待て！！最後まで話を聞けっ！！。実際に経過する時間は一秒もかからん。精神と時の部屋のようなものだ。飛ばされるのは精神だけだ。餓死などの心配もない
悟飯,ピッコロさん。その何も無いところには、ボクたちみんなで行けるんですか？
ピッコロ,いや、ボタンを押した本人だけ。一人だけだ。ああ、普通の人間なら耐えられんだろうな
デンデ,でも？
ポポ,五億年ボタン、あまりに残酷。神様、後悔した。それで封印した。
悟空,でぇじょぶでぇじょぶ。オラなら五億年くらい平気だって！！
悟飯,あの、お父さん・・・五億年がどれぐらいか知ってるの？
悟空,オラ難しいことは知らねえけど、五億年くらいならすぐだろ？たぶん、五年とチョットくらいじゃねえか？
悟飯,ぜ、全然違う・・・
ポポ,ダ、ダメ・・・神様との約束・・・。ポポ、どんなことになっても責任持てない・・・
悟飯,で、でも・・・
悟空,しょうがねえなあ
ベジータ,なっ！？
悟空,へへへ・・・悪いな、ベジータ
ベジータ,貴ッ様ぁぁぁ！！
ピッコロ,！
ベジータ,フン。精神と時の部屋か、あんなもの・・・
悟空,いや、もっとすげーところだ。行ってみたくねえか？
ベジータ,・・・お前は行ったのか？
悟空,えっ？
ベジータ,そのすごいところとやらに、お前は行ったのかと訊いている
悟空,オ、オラ？オラは・・・オラはその・・・ええと・・・。ベジータのやつ、行っちまった。やっぱりオラが押すしかねえな・・・ポポ！！持ってきてくれ！！
ポポ,・・・五億年ボタン、持ってきた。でも、押すのよくない
悟飯,お父さん・・・
悟空,おっ、これか～・・・意外に小せえんだな
ポポ,ここのボタン押す。すると、ここの引き出しからお金でてくる。
悟空,よ～し、じゃ、いっちょやってみっか！！。お父さん！！
ピッコロ,お、おい、孫、本当に押すつもりなのか？。それはそうだが・・・
悟空,ポチッと。あれ、なんともねえぞ
五億年ボタン,ジャキーン！！
悟空,！
デンデ,ほ、ほんとに・・・でてきた・・・
ピッコロ,ウ、ウム・・・
悟飯,お、お父さん！！大丈夫？
悟空,おいピッコロ！！五億年はどうなったんだ？
ピッコロ,体感的には一瞬と言っただろう
悟空,なんでぇ。オラ、五億年で修行しようと思ってたのに・・・
デンデ,悟空さん、お金です。えっ！？い、いえ、僕にはお金は必要ないですから・・・
悟飯,えっ、ちょ・・・
悟空,うひひ、押すぞ～！！。うっひょ～、すげぇ！！
悟飯,あわわわ・・・
ピッコロ,ば、馬鹿たれが・・・！！
悟空,悟飯、おめぇも押してみっか？おもしれえぞこれ
悟飯,え・・・
ピッコロ,やめろっ！！押すんじゃない！！
悟飯,！？は、はい・・・
悟空,あと三十、いや五十回くらい押しとくか・・・。ポポ！！この札束入れる袋かなんかねえか？
ピッコロ,いかん！悟飯、孫のやつを止めるんだ
悟飯,ど、どうしてですか？
ピッコロ,考えてもみろ、あいつは既に十回以上もボタンを押しているんだぞ！！
悟空,えと、五億年が十回だから、ええと・・・ご、五十億年！！
ピッコロ,孫ー！！いますぐ押すのをやめろーーーーっ！！
悟飯,おとうさーん！！
