そのまま,自習プリント
女,ねぇ、教科書見せてくれない？。いやー助かったよ。ありがとね
男,気にしないでくれ。しかし運が良かったな。マスダは生徒が忘れ物をすると露骨に嫌な顔をするんだ
女,もしかして経験者なの？
男,ついこの間の授業で教科書忘れて、休み時間の内に申し出たら溜息ついて舌打ちされたよ
女,あれ、なんで教科書２冊も持ってるの？
男,まさか。誰かの置き忘れだろう。というか、普通に考えてＯ君の置き忘れだね
女,あ、そっか。Ｏ君ってそこの席で授業受けてたもんね。あれ、そういえばなんで今日休みなの？
男,理由までは知らないさ。だれかＡ組の人間なら知ってるんじゃないか？
そういって周りと見渡すと、話が聞こえたらしいＡ組の女子が振り返って、,Ｏ君はインフルだよ。昨日から
女,え、インフル出てるんだ。季節外れじゃない？
男,うちのクラスで流行ってないことは確かだな。でも一年中絶対感染しない時なんてないだろう
女,それもそっか。けど、教科書置き忘れていくなんてＯ君もうっかり屋さんだよね。誰かに持って行かれてなくてラッキーだったね。そうだ。せっかくだし私Ｏ君の教科書借りようかな。見せてもらっておいてなんなんだけど、二人で一冊じゃ窮屈でしょう？席戻そっか
―――何故、Ｏ君は教科書,だけ
この教室で引き出しを使うことがあるとすれば、,机の上で邪魔になったものを取り敢えず入れておくため
男,悪い、ちょっとその教科書貸してほしいんだけど
女,うそ！丁度私もこれ見て欲しかったんだ
男,？その教科書がどうかしたの？
女,見て見て！この教科書落書きだらけなの。しかもすっごい上手いんだけど！Ｏ君って美術部だったっけ
男,確かにかなり上手いと思う。落書きのレベルを超えてる
女,ね？ね？すごいでしょ
俺は左から３列目の３番目,つまりは真ん中ブロックの最後尾
中村,どうしたんだよお前。次の授業があるだろう？
男,それはお前にも言えることだよ。それに俺はこの後生物の授業になっている。生物室はこの真下なんだ。ところで中村。俺は、今日学校を休んだＯ君がいつも座っているこの机から、彼のものだと思われるこの教科書を見つけたんだが。なんでこの教科書がここにあるのか疑問に思えて仕方ないんだ
中村,どの辺が疑問なんだ？別に変なことじゃないだろう。なんせここはいつも日本史で使ってるんだから、誰かが机の中に教科書を忘れていくこともあるさ
男,マスダはいつも教科書に準拠した授業をする。生徒を指して音読させることも頻繁だ。この授業で常に用いられる教科書が、ねえ君、机においていられないほど邪魔になることがあるかな？
中村,確かにお前の言うことも一理あるけど、だからといって必ずしも机の中に教科書を仕舞わないなんて言い切れないんじゃないか？
男,ああ、絶対に有り得ないとはいえないな。お前の言う通りだ。でもな。この教科書に限っては、絶対にここにあるはずがないものだったんだ。実は俺とＯ君とは気軽に言葉を交わす仲なんだ。芸術科目で知り合って仲良くなったんだが、この授業でも隣同士だろう？だから日本史の授業の後は、よく二人で行動してたんだ。でも最後に日本史の授業があった一昨日、俺は教科書を忘れてしまってね。それでその日は隣の席だったＯ君に見せてもらって授業を乗り切ったんだよ。そこまでは良かったんだけど、その授業が終わって教室を出て行く時、俺が間違ってＯ君の教科書を持ち去ってしまったんだ。尤もその日は帰り際に気がついて、放課後Ｏ君にロッカーの前で返せたんだけど……。つまり何が言いたいかといえば、俺は目の前で教科書をロッカーに仕舞っているＯ君を目撃しているんだよ。そしてその翌日である昨日からＯ君はインフルエンザで学校に来ていない。これはもしかしたら他の生徒に教科書を貸したかもしれないという可能性を否定できる事実だ
中村,！
男,だからこの教室に、まるで前の授業の時の置き忘れかのような形で自然に教科書が残されているのは不自然なのさ。でも、今日間違いなくこの教科書はこの机の中にあった。このことが何を意味しているのか……。それは、この教科書を何者かがＯ君のロッカーから持ち去ったということだ
中村,確かにその可能性はある。けど日本史の選択者は俺達全員で１８人だぞ。Ｏを抜いたとしても１７人だ。この中からどうやって犯人がわかるっていうんだ？
男,いや１７人じゃない。実際、教科書を盗んだ奴がいるとすれば３人に絞られる
中村,なんでそう言える？
男,教科書を欲しがるのは、教科書を持たない奴だけだからさ。忘れ物は当然マイナス評価にもなるし、マスダは特に厳しくもあった。隣の席の奴に見せてもらうのも申し訳ないもんだ。だから教科書を盗んだのさ。しかも、この教科書に残されたある重要な手掛かりから、犯人像を想像することができる。どんな手掛かりが残っていたかわかるか？
中村,俺はその教科書を見ていないからな、わかるわけないだろう
男,この教科書、名前が書かれてないんだよ。日本史で初めて教科書が配られたのもまだ記憶に新しいだろう？俺達は最初、マジックで名前を書かされたはずだ。わざわざ反抗して名前を書かなかった奴がいるとは考えられない。マジック自体も、マスダが順番に配ったものだった。ということはだ。この教科書にあったはずの名前は、何者かが意図的に消し去ったということになる。まぁ油性で消えないから消したというよりは砂消しなんかで削ったんだろうがな。ではなぜか。それはＯ君の名前を消した上で新しい別の名前を書くために他ならない。つまり犯人は教科書を借りるのではなく、奪おうとしたことになる
中村,じゃあなんで教科書が机の中にあるんだよ！おかしいじゃないか！奪おうとしたのならわざわざ返してやる訳がない！。ッ！！
男,奪えなかったのさ。この本は広げただけで、あらゆるページが持ち主のことを雄弁に物語ってしまう。教科書を奪おうとまで考える犯人なら、おそらくそいつ自身の教科書は使えない状態にあると推察できる。多分なくしてしまったんだろう。そして今回の犯行に及んだわけだが、奪った教科書を自分のものにしてもそれはすぐにＯ君のものだとバレてしまう。それで仕方なく教科書をロッカーに戻そうとしたが、犯人が落書きに気づいた時は、すでに授業が始まる寸前だった。最前列である犯人の席は、授業が始まってしまえばマスダから丸見えになる。そんなところで堂々とあの本を広げられるわけがない。第一教科書への落書きなんて、一番後ろのＯ君だからこそできた芸当なんだ。さて犯人はなんとかして教科書を隠さなければならなくなった。しかし考える時間は与えられず、もうすぐ教室には昼休みを終えた日本史受講者が来てしまう。それで犯人はとりあえずバッグの中に教科書を隠そうとしたが、不運にも彼のバッグは外から中身が見えてしまうタイプのものだった。ちょうど中村。お前が持っているファイルケースみたいに、な
中村,！！！
男,引き出しの中に隠しても後ろの人間に見つかってしまう恐れがある。教室の中でほかに隠せそうな場所もない。むしろ全く関係ないところから出てきた方が事件性が強まってしまう。そんな中で犯人は、持ち主であるＯ君の席に戻すことを思いついた。それなら、万が一発見されても彼が忘れたんだろうということで誰の印象にも残らない。他の場所から発見されるよりはるかに安全だと思ったんだろう。ところで、俺はさっきの時間、トイレにいくふりをして玄関まで行ってきたんだが、Ｏ君の下駄箱から鍵は見つからなかった。けれどＯ君は一昨日、俺が誤って持ち去った教科書を返した時、確かに上履きの下に鍵を置いて帰ったんだ。失くなったその鍵。中村、お前持っているよな？
中村,……どこにあると思う？
俺,そうだな。休み時間のロッカーの中は人の目に触れやすいから、馬鹿正直に見える所にはあるまい。ロッカーにあるなら、更に学生鞄の中なら安全そうだ。もしくは、そうだな、臨機応変に対応するために俺なら財布の小銭入れの中にでも入れて持ち歩くが、どうだろう？
中村,参ったな。まるで見ていたみたいじゃないか
男,約束しよう。俺は決して君のことを誰かに話したりなぞしないよ。ただね、俺の判断が当たっているかどうか、それが確かめたかったのだ
