こういった集落は世界各地に存在し、,モンスター村
スライム,ふう、今日もいい木の実がいっぱい取れた！
オーク,おお、スライム！精が出るな！
スライム,母さんはあんまり動けないし、妹はまだ幼いし。俺が頑張らないといけないからな！
会長,──でありまして、ハンターが現れたらすみやかに行動しましょう！。威嚇をかねて、固まって行動すること！これが鉄則です！
ゴーレム,なるほどナア……
サキュバス,ためになるわね
ゴブリン,ふむふむ……
スライム,──ん？人間がこの村に来るなんて珍しいな。だれだアイツ？
オーク,モンスター保護協会の会長だってよ。モンスターハンターってのは凶悪なモンスターを退治するのが仕事なんだが。最近、無害なモンスターを狙う悪質なハンターが多いから。ああやって俺たちモンスターにハンター対処法を教えに来てるのさ
スライム,へえ、わざわざこんなところまで来て、ありがたい話だな。ただいまぁ～！いっぱい木の実が取れたよ！
妹スライム,おかえりなさぁ～い、お兄ちゃん！
母スライム,すまないねえ、いつも苦労をかけて……
スライム,食料を集めてくるくらい、お安い御用さ！。父さんはこの村を開拓する時に、事故で死んじまったけど……。この村のみんなのおかげで、山の環境もだいぶ整備されて。ずいぶん過ごしやすくなったしさ！
母スライム,お前は本当に優しいスライムだねえ……
妹スライム,食べよう、食べよう！
スライム,ん？。この声は……モンスター保護協会の会長さんだ
母スライム,なんだか、ずいぶん焦っているみたいだねえ
妹スライム,なにかあったのかな？
スライム,とにかく外に出てみよう！
会長,皆さん、落ちついて下さい！。すぐ来るわけではありません！冷静になって、私の指示通りに動いて下さい！
スライム,なにがあったんだ？
オーク,ついさっき、あの人のところに情報が入ってきたらしい。なんでもモンスターハンターの一団が、この村に向かってるんだってよ！
スライム,なんだって！？
オーク,大丈夫さ。村を捨ててあの人のいうとおり避難さえすれば、な。もっともこの村は腹いせに壊されちまうかもしれないらしいが……。命には代えられないだろ
スライム,そう……だな。ちくしょう、ハンターどもめ！
会長,では村を出て、あちらにあるくぼ地に向かって下さい！あそこなら安全です！。一ヶ所に固まって、くれぐれもはぐれる人を出さないように！。私はハンターたちを説得するため、ここに残ります！
サキュバス,行きましょ！
ゴーレム,そうダナ
ゴブリン,村全員で固まって避難しよう！
オーク,俺たちも行こうぜ！ほら、お袋さんと妹ちゃんを連れてこいよ
スライム,ああ！。でも悔しいなぁ……！逃げるしかできないなんて……！
オーク,俺たちは戦いなんかほとんどしたことないモンスターばかりだし。ハンターどもは、強力な武器で武装してやがる。しょうがねえよ
妹スライム,なんだかみんなでピクニックみたい！
スライム,コラコラ、はしゃぐなよ
母スライム,でも心配だねえ……。あの会長さん一人で大丈夫かねえ？
スライム,…………。俺、ちょっと村に戻ってみるよ
オーク,オイオイ、なに考えてんだ！？
スライム,だってさ……いくら人間とはいえやっぱり放っておけないよ！。もちろん俺、戦うことはできないけど、この山には詳しい。会長さんが危なくなったら、逃げる手伝いくらいはできるかもしれないし。母さん、妹、悪いけどオークと先に行っててくれ
妹スライム,すぐ戻ってきてね、お兄ちゃん……！
母スライム,お前は本当に優しいねえ……
オーク,気をつけろよ！
スライム,分かってる！。会長さんと……ハンターらしき人間が話してる
会長,──全てあなたの指示通りです。今頃モンスターたちは、くぼ地めがけてまとまって避難していることでしょう
狩人,クックック、大勢のハンターが待ち伏せてるとも知らずにな……。この村にいたのは、ほとんどがゴミモンスターばかりだったが──。ゴーレムの鉱石やサキュバスの翼は金になる。闇ルートで捌けば、数十万ゴールドにはなるだろうぜ。これが、スマートな狩りってやつさ
会長,……しかし、世間は夢にも思わないでしょうな。モンスター保護協会のトップである私が、あなたと繋がっているなどと──
