・このSSは,静・ジョースタの奇妙な日常
康一,福岡市郊外……バスでここまで行けるのかなぁ～？ちょっぴり地理がわからないぞ……。……福岡市……3の1……苗字は……あッ、この家かな？。……うーん……今、誰か住んでいるのかなぁ～？……いらっしゃったらいいんだけどお～～……
男,はいはいィ～ッ？何でしょう？新聞ならお断りですよ？宗教勧誘もイラネーッ
康一,あッ、すみません……ぼく、スピードワゴン財団日本支部の広瀬康一といいます。……えっと、ここの骨董品屋の事で、伺いたいことがあるんですけどぉ……
男,あー？……スピードワゴン財団？前にも同じようなの来なかった？世界でも有数の総合研究機関が、死んだじいさんのちっぽけな骨董品屋に何の用です？
康一,少し、販売していた商品について聞きたいことがありまして……
男,あッ、思い出した……。またそれかァ～ッ？どーせオンボロの弓と矢についてなんじゃあないの？
康一,そっ、そうです！……えっと、前にも同じようなお話を……？
男,したよ。したした……たしかあれもスピードワゴン財団の人じゃあなかったかな？僕はなにも知らないってのに、結構しつこく商品の事について聞かれたなァ。やれ誰に売ったかなど、やれ販売履歴は何処だなど……
康一,それは……その、スミマセン……
男,まあ～～あの時は仕事終わりで、結構疲れてたから適当にあしらっちゃったからなー……僕のほうにも非があるか
康一,……えッ？
男,……ウン、まあ入りなよ。お茶でも出しますから……じいさんの店について僕が知ってることは何もないけど、それでもわかってることだけなら教えてあげますよ。今日仕事休みだしィ～～
康一,お、おじゃましま～す……
男,まあ適当に座って下さい。お茶淹れてきます。……お茶菓子はたべっ子どうぶつでいいです？
康一,あ、あの、オカマイナク……
男,そう遠慮しないでいいですよ。それでは少し失礼……
康一,……。……
男,お待たせしました。……ああ、写真が気になりますか？
康一,あッ！いえ、勝手に失礼しましたっ！
男,別にかまいませんよ。写真は死んだじいさんの趣味でね……ほら、この幸せそうなじいさん。……僕にも写真について色々教えてくれたんですよ。ここに飾ってあるのは大半僕が撮ったものでしてね
康一,……それは……アルバムですか？
男,ええ。ここにたしか載ってたはずなんですよ。失礼……。えーっと、たしか15年ほど前だから……1999年か2000年くらいか……。ぼくがここに来て間もない頃だからなあ……バタバタしていてあまり覚えていないんだけど……
康一,……ここに来てっていうのは、前は別の所に？
男,ええ、まあ……昔は本州の、S市に住んでいたんですけどね。親戚のこの家に引き取られたんですよ。まあ色々ありましてね
康一,S市？へえ～ッ奇遇だなあ～！ぼくそこに住んでいるんですよ！
男,本当ですか？それは凄い偶然……あそこはいい町ですよねェ。子供の頃はいじめられたりもしたけど、良い友人にも恵まれたし……彼、今も元気にしてるかなあ。もう十年以上も会ってないけど……あッ、あったこれだ
康一,……！
男,これ……1999年の春先に撮った写真です。この、壁のところ……これでしょう？
康一,こッ！これ！これです！やっぱりこの店にあったんだ……！
男,だけどわかっているのはこれだけですよ……本当すみませんけどね
康一,えっ……
男,この弓と矢を何故探しているかは知りませんけどねーッ、この商品はある日ふらっとじいさんが店に入れてきて、そしてすぐに売ったらしい。次の年の写真には、この弓と矢が写っていませんからね
康一,……やっぱり販売履歴なんかは……
男,こんなちっぽけな、個人でやってる骨董品屋にそんなものある訳無いでしょお？僕も本当詳しいことは知らないし、誰に売ったかのかもわからない。だけど、まぁ、こうやって店にあったっていう証拠の写真はあるんだからさーッ、これで勘弁してくれませんかねえ？悪いけど。・・・・・・こちらの写真は差しあげますから……
康一,あ……ありがとうございます……
男,……まぁ、お茶でもどうぞ
康一,……
男,お茶もじいさんの趣味でね～～こんなシブいのしかなかったんですけど、買いに行くのもメンドーでしてね。お口に合わなかったら失礼
康一,……
男,まあその、遠慮せずに。どうぞ……たべっ子どうぶつでも。ゾウは僕が食べたいから残しておいてくれると助かるなァ
康一,……
男,……あー、まあ、何です？……広瀬さん、S市に住んでるんでしたっけ？どのあたりに――
康一,あ、あのォ……
男,――はい？
康一,こ、この……この写真に写っている、これは……？
男,？……どれですか？暗くなってて見えないなァ
康一,ぼくは……実物は見たことがない。だけど、財団の上司や承太郎さんから、これの怖さは聞いている……まさか、でも、いや……もしかして、これは……！
男,……？
康一,かつて、承太郎さんが倒した、DIOという男を生み出したもの……まさか、なんで、こんな所に……？
男,……ああ～、これですか？これはねェ、昔っからこの店にあったそうなんだけど、弓と矢とほぼ同時期に売れたんだよなア。高値で売れたってじいさんが騒いでいたから覚えているよ。ウン、すごくね
康一,こッ、これは今どこに！？
男,それについてはわからないけど……うーん、もしかしたら、あれかな？
康一,何です！？
男,もしかしたら……弓と矢を買った人と、同じ人が買ったのかもなあ
康一,……！
男,なんせこんなヘンピな品物が、ほぼ同時期に両方とも売れるんだもの。そんな感じがスゴクするなァ
康一,も、もし、そうなのだとしたら……つじつまが合う。けど、それって……仗助くんが預かっているものって事になる。だったら……弓と矢も同じ状況って事……？
男,？……おい君、すごい顔色だよ？大丈夫かい？
康一,……まさか……彼が２つとも買ったっていうの……！？
大柳,おいっノロノロ歩いてんじゃあねーぜッ！チャイムが鳴った！体育の授業はもう始まってるぞーッ！駆け足！集合！並んで座れ！体育座りだぞッ！
静,はああ～っ……いい天気ねえ～……
虻村,最近よぉ～～めっきり暑くなってきたよなあぁ～ッ。こりゃあもう夏かあーっ？
広瀬川,本当、目を閉じたらセミの鳴き声でも聞こえるんじゃあないの？ってくらい暑いよね。こんな日に外で体育っていうのはちょっぴりツライなあ……
大柳,おいっそこ！いつまでダラダラしゃべってんだ？さっさと座れーッ！
広瀬川,ご、ごめんなさいっ！
静,スイませェん……すぐ座ります
大柳,よし……今日の体育の授業なんだけど……5月に入り、あったかあァァ～くなってきた所で、イキナリで悪いけど体力テストを行いまーすっ。はいはい静かにッ！今日の種目はハンドボール投げを行うっ。体育委員は記録係になって、男女別れてやる事ッ！ズルはするんじゃあないぞ？それじゃあさっそく始めーっ
委員長,……はーっ……体力テストかあ……
虻村,おいおい委員長ォ～見てみろよーッあの女子！脚がグンバツでよォォ～思わずドキッ！っとしてしまうよなあァ～ッ！あっ！こりゃたまらん！
委員長,君はノー天気でいいよなあ……ウラヤマシイ……
広瀬川,なんだか元気ないね、委員長……どうしたの？
委員長,どうしたもこうしたもないよ……僕は頭を使うテストだったら得意だけど、こうした身体を使うテストは苦手なんだ。……さっきの僕の投げ方見ただろう？動物園のアシカのほうがもっと上手くボールを投げれるぜ？
広瀬川,それは……えっと、人には向き不向きっていうのがあるし、気にしないでいいんじゃあないかなあ……？
委員長,ハアーッ……これからの体育、体力テストが続くと思うと憂鬱だ。……虻村君が羨ましいよホント。君、ハンドボール投げどころかほとんどのテストは満点だろう？
虻村,まあなあ～ッ！おれ身体動かすの結構好きだからよーッ！……けどよ、おれだって悩み事の一つや二つあるんだぜ？
広瀬川,えっ？
委員長,それは……少し、意外だね。一体どんな？
虻村,あのよォォ～～……おれって、いわゆる不良ってヤツじゃあねーか？
広瀬川,……うん？
委員長,……ん？
虻村,そんなヤローがよぉぉーこんな体育の授業ごときで、本気出して点取りに行く！っていうのも、なんだかマジメちゃんぶってるみてェ～でよォーッ、変に気持ち悪く思うんだよなァーッ！だからといって点取らないのもイヤだしよォ～～……一体どうすればいいのかッ！？って考えちゃうんだよなぁ～コレがッ！
広瀬川,へ……へえ、そうなんだ……
虻村,なあ康司ィ～ッ、おれ一体どうすりゃあいいんだろうなーッ？本気出すのか？出さないのか？永遠の謎だぜェ～こりゃあ～～ッ！
広瀬川,うーん……そのお……エット、まず……
委員長,君って……不良なのかい？
虻村,……あん？
広瀬川,……
委員長,……
虻村,……
静,本気出して点取りに行くっていうのがイヤなら……本気出さないで点取ればいいのよッ
委員長,！……
広瀬川,……静さん……
虻村,……女子は向こうだろーがよーッ、静～……
静,……フンッ
女生徒,次ー、静・ジョースターさん……静さん？
委員長,……呼んでるよ
静,…………。どッッッ――
女生徒,し……静さん……記録、ひゃ……100メートル以上？……はあッ？
委員長,……超能力かな……羨ましいなあ……
虻村,それにしても飛びすぎだろーがよッ！マヌケかあいつは？
広瀬川,なんだか、ズルだとしても素直に凄いなあ……ズルだけどお～～
静,やっチッタァァァァーッ……ちょっぴり飛ばしすぎちゃったかしらね～～ッ。けどこれであたしの体力テストは余裕の満点……大柳先生もビックリだわねー、ルンルンッ……
大柳,……
静,……げッ近ァ！
大柳,……静・ジョースター……
静,……HOLYSHIT……
大柳,ぼく……言ったよな？ズルはするなって……え？言わなかったか？聞いてなかったのか？どっちだ……？
静,お……大柳先生、さっきまで男子の方見てたじゃあないですかァァ～～……そんなにあたしの事気になりました？それって恋ってヤツゥ？キャー！
大柳,…………
静,……お、オホン……
大柳,静・ジョースター……君は……君なァ……
静,……ハイ……
大柳,君に言いたいことはたったひとつだ……たったひとつのシンプルな事……
静,……やりなおし？それとも……減点……？
大柳,いいや……
静,え～っと、それじゃあ……あの、ひょっとして……？
大柳,出さなきゃあ負けよォ～ッ！！ジャア～～～ンケンッッ！！！
静,うわあああっっっ！！やめてッ！やめて！それだけはッ！
大柳,うるせェェーッッ！！！ズルしたお前が悪いんだろーッッ！！
静,ホントーにッそれだけはやめてェェェ――ッ！！
大柳,まったく……前回の事で少しはこりたかと思ったのに、全然そんなことは無いみたいだねー……
静,こりる？何の話ですかァ？女子高生に手出したらイタい目見るって話ィ～？
大柳,バ～～カ！スタンドを悪用するな！って話だよっ。君はその能力の事を軽く見過ぎているぞ
静,軽くなんか見ていないってのーッ。メチャ重要なんだからさッ！あたしのワイルド・ハニーは！
大柳,君さー……スパイダーマンって知ってる？
静,？……何ですか？スパイダーマン？……？
大柳,だからさァ～スパイダーマンだよ。アメコミの……スーパーマンでもいいけどさ。知ってるかい？見たことある？
静,……DVD借りて見たことあるわ。ヒロインがなんかムカつく奴で、半分寝ちゃったけど
大柳,……見たことあるならわかると思うけどさ、ホントーに見たのか？って事はおいといて……
静,……
大柳,彼らは自分の、常人を超えた能力の怖さを知っているからなんだよ。……わかるか？君のスタンド能力は、常人を簡単に再起不能に出来るシロモノなんだ。その怖さを君はすごく軽く見ているんだ……理解出来るかい？
静,……せ、先生もあたしにいきなりスタンド攻撃しかけたでしょう？同じよおなじィーッ
大柳,それについてはな……君は無罪で本当は、スタンド能力を犯罪に使うような奴らと戦っていた……って事を知らずに、いきなり攻撃をしかけたのは悪かった。反省しているよ。……だけどこっちもマジなんだ。命をかけてこの仕事やってる
静,……大げさな事言うわねーッ
大柳,ちっとも大げさじゃあないさッ！ぼくが生徒指導した生徒の中には、スタンド能力によって街の不良を1ダースも病院送りにしたような奴だっている。そんな奴に、シタデに出てヘーコラしたらどうなると思う？13人目になるのはぼくだぜ？
静,……
大柳,ぼくの能力はスタンド使いを無力化させる事に優れているからさ……多少強引な手を使ってでも攻撃せざるを得なかったんだ。まあ～少しやりすぎてしまったと反省する所はあるけどね。お陰で減給3ヶ月……トホホ……
静,そいつは自業自得でしょーッ？
大柳,ま！少し話がズレてしまったが……君、本当に自分のスタンド能力について、深く考えたほうがいいぞ？たぶん君のお兄さんも、口をスッパクして言ってると思うけどーッ
静,……先生もあたしの兄さんの事知ってるの？
大柳,ん？ああ、まあね。というか、知り合った原因は君なんだけどさ
静,……あたしィ～～ィ？
大柳,君は赤ん坊だったから覚えてないだろうけど……透明になって行方不明になった君を、仗助さんやジョースターさん達といっしょに探したことがあるんだぜ？赤ん坊の君をだっこしてやった事もあるんだよ、実はね～エ
静,それは…………なんか、気持ち悪いわね
大柳,失礼なヤツだなあ君は……まあいいや
静,あ、もう結構な時間ですねーっ。そろそろ教室戻っていいですかァ～？
大柳,……いいけどさぁ～……ぼくも仕事あるし、たしかに今時間が気になって時計を見たのは事実だよ。……けど君、本当に反省してる？……いいか？もっかい言うけどさ、スタンドを本当に、変な事に使うんじゃあないぜ？
静,はいはいィ～わかってまーすっとォ……
大柳,……こんな古典的なこと言いたくないけどねーッ……はいは一回だッジョースターッ！
静,ああもう、はいはい。わかりましたよッ
大柳,お前ッ、この……わかってねーだろッ全然ンーッ！
静,えッ？あっ、今のは無意識でしたッ！こりゃどうも4・2・0～
大柳,本気で教師ナメてるなァ～～君はッ……
早人,大柳先生、少しいいですか？……ありゃ？静さん、また何かしたの？
静,またっていう言い方やめてくれない？まるであたしが問題児みたいじゃあないの
大柳,実際そうだろうが、全く！……それで？どうかしましたか、川尻先生？
早人,ええ……実は、彼女の事なんだけど……
大柳,……ああ、彼女ねェ……早人、君のクラスは問題児が多すぎるよ
静,あたしを見るんじゃあないわよッ。……先生達、誰のことを言ってるの？
大柳,不登校の生徒だよ……君のクラスにいるだろう？
