彼の名前は,高橋
小学校は毎日元気に学校へ登校する。しかし学校では仲間はずれ一人ぼっち。勉強したくないがために親には,学校でテストなんかないよ
中学校に進学。中学校に入学したては,勉強するぞ！
キモオタには,こいつきめぇ・・・
高橋,んーすることないね～。なんぞこのゲームｗｗｗｗ。パソコンでゲームとか楽しいのかこれ。なにこれまじ楽しくないんだけどｗｗｗｗ。攻撃あたらないし、課金しないと強い武器手にはいらないｗｗｗ。俺金ねーしｗｗｗ。でも暇つぶしにやるしかないねぇ～。なにボイスチャットって。聞いてみるか。なんだこいつら。。。第一ググレってなんだろう。ヤフー知恵袋にでも聞いてみるか・・・。
返事,ググレｋｓ
高橋,ｗｗｗｗｗｗｗｗ
返事２,グーグルで検索しろをググレという言葉です。
高橋,ほ～ｗｗｗなるほどね～ｗｗｗじゃあヤフるかｗｗｗｗ
キーワード,ボイスチャット
高橋,まずなにからすればいいんだ？ん？。なんかめんどくさそうがからどーでもいいや。そもそもスカイプってなによｗｗｗ。とりあえず疲れたからゲームだな。ん？個人チャット？。おｋ。とりあえずおｋ。高橋です。よろしくおねがいします～～♪
富岳,よろしゅう～
高橋,まだ俺たちだけですか？
富岳,さようでございます～。そういえばスカイプある？
高橋,あーありますけど・・・使い方わかりませんｗｗ
富岳,じゃあ説明しますのでスカイプＩＤおしえてくださいな～
高橋,おｋ
富岳,ではいまから発信しますので～＾＾
高橋,発信？え？スカイプってまずなに？
富岳,電話ですよ～
高橋,えっ
富岳,じゃあいまから発信しますね～
高橋,うおっ！！なんぞこれ！！画面になんかでてきたしｗｗｗｗポチッと・・・。
富岳,もしもし～富岳です～
高橋,はじめましてっ！
富岳,もしもし～～～？
高橋,はい！
富岳,きこえますか？
高橋,聞こえてますよ！
富岳,んー聞こえてないのかな？。俺の声聞こえますか？
高橋,聞こえてますよ
富岳,なら返事しろしｗｗ
高橋,してますよｗｗｗ
富岳,もしかして高橋さんのマイク壊れてるのかな？
高橋,マイク必要なの？これ
富岳,いやｗ電話なんだから当たり前でしょｗｗｗ
高橋,そっか・・・
富岳,マイクがないのならイヤホンなどで代用できますよ
高橋,やってみます。もしもし・・・。
富岳,きこえたああああ！！
高橋,はじめまして！高橋です！
富岳,こちらこそはじめまして～！
二人,ｗｗｗｗｗｗｗｗｗｗ
富岳,まずはクランの人を増やさないといけないね！
高橋,ですね！一緒にがんばりましょう！
富岳,そういえばファイル共有してる？
高橋,ファイル共有？
富岳,ネットで音楽とか本とか動画をダウンロードしたりするやつだよ
高橋,ほーｗ難しいの？
富岳,んや、結構簡単にイケる
高橋,おｋｗ教えてくれｗｗ
富岳,んじゃいまからスカイプでこのソフト送るからインスコしてみ
高橋,あいお～
富岳,んでこの変なアイコン
高橋,なんか画面が二つになって真っ暗なんだけど・・・
富岳,んじゃあ左上に検索欄があるからそれにキーワードうってみ
高橋,ガンダムっと・・・。なんかすげえいっぱいでてきたんだけどｗｗｗ
富岳,んじゃあ検索結果からでてきたやつをしたらダウンロードが始まるよ。
高橋,逆襲のシャアｗｗｗｗ。すげえええ！！逆シャアがみれる！ｗｗｗｗ。ありがとね！！！教えてくれてありがとね！！
富岳,あいお～
富岳と意気投合し、ネットゲームクラン人数も順調に増えていき,チート
高橋,チート？
富岳,ファイルを改造したり裏ツールを使ったりするやつだよ
高橋,やってみたいｗｗｗｗ
富岳,んじゃプログラミングからはじめないとね＾＾俺はできないけど。
高橋,んじゃちょっと本屋いってくるわー
富岳,あいお～
高橋,プログラミングの本って結構あるんだな。うわ・・・高ｯ・・・・。１２０００円の本とか・・・。俺の全財産１４００円しかないのに・・・。ただいま・・・
富岳,おっ！買ってきたか！？
高橋,いや、高くて買えなかった。。。
富岳,お前いま金いくらあるの？
高橋,いや・・・その・・・１４００・・・。
富岳,ブッｗｗｗｗｗｗ。バイトでもしてみたら？
高橋,いや・・・でも・・・。
富岳,ぶっちゃけバイトしたらその本も買えるし、課金もできるぞｗそのときは課金厨乙っていってやるからｗｗｗ
高橋,でも・・・・。
富岳,いいからやってみろって！コンビニのバイトでもしてみろ！しかもお前は昼夜逆転してるんだから夜間のコンビニバイトでもそこそこ稼げるはずだぜ
高橋,夜間か・・・イケそうだな。おｋやってみるわ！夜間なら客あまりこないし大丈夫かも！
面接官,んで君なんで高校辞めたの？
高橋,自分の思っていた学校と違ったからです！ｷﾘｯ
面接官,ホーホーホー
高橋,もし働かせていただけるのであれば夜間だとうれしいです。
面接官,いやいま夜間の人材がいなくて丁度よかった。君採用ね。明日制服とか貸し出したり、大まかなバイトの作業を説明するからよろしくね
高橋,よよよよロしくお願いしｑｗせｄｒｆｔｇｙふじこｌｐ；＠：
面接官,ｗｗｗｗｗｗｗｗおｋ
高橋,ただいま帰宅しました。
富岳,どうだった？
高橋,人間偏差値が上がった気がした
富岳,いや、どうだった？
高橋,結構あっさり採用してもらったよｗ
富岳,俺もバイトしなきゃな～
高橋,え？
富岳,いや俺ニートだし
高橋,えっ
富岳,えっ
高橋,いや。え？
富岳,ニートだよ？
高橋,俺フリーターｗｗｗｗｗ
富岳,じゃあ稼いだらウェブマネーでもおくれよ＾＾
高橋,気が向いたらなｗってかお前ニートだったのに俺を働かせようとしたのかｗｗｗ
富岳,富岳フラーーーッシュ！
高橋,おｋ。今日はちょっと疲れたし、明日はバイト先にちょっと出向かなきゃいけないからもう寝るね。
富岳,行ってかましてこい！
高橋,何をだよ・・・。んじゃまたね～
富岳,あいお～
高橋,なんかスゲー緊張すんだけど・・・。寝れねー・・・。ｚｚｚｚｚｚｚｚｚｚｚ。よし、いってかましてくるか！。ｗｗｗｗｗｗｗｗなにをだよｗｗｗｗ。ｗｗｗｗｗｗｗ。・・・。
店長,面接官
高橋,よよよ。。。よろしくおねがいしまうｓ！
店長,緊張しなくていいからな＾＾
高橋,はぃ。すみません
店長,まずは夜間にすることは冷蔵庫の中に飲み物をバックスペースから補充。ちゃんと向きとか揃えてね。はいやってみよ～。店内の掃除。窓の掃除。元気よくいらっしゃいませ～♪。ありがとうございましたまたおこしくださいませ～♪。タバコとかの補充。客が買っていった後の商品の前出し作業。じゃあレジの練習すんぞ
高橋,ハイ結構することあるんだな
店長,よし、合格だ！明日から日曜日以外深夜１１：３０分からきてな！
高橋,よろしくおねがいします。
店長,あ、今日の分も給料発生してるからね～＾＾
高橋,え？本当ですか？
店長,５時間だから４０００円程度かな＾＾
高橋,そんなにもらっていいんですか？
店長,決まりは決まりだからね～いらないの？
高橋,いや、いります！すみませんでした！
店長,そんなに罪悪感があるなら明日から今日の分もがんばってな！
高橋,はい！
店長,じゃあ今日はもうあがっていいからね
高橋,ではお先に失礼します。
店長,おつかれさん＾＾
高橋,ただいま帰還しました。
富岳,おっどうだった！？
高橋,もう４０００円稼いだぞ！
富岳,えええええ！すげええ！俺がクソゲーしてた間に４０００円も稼いだのか！いいないいな！
高橋,でも日払いじゃないからさ月末払いみたいなんよね
富岳,何円いくかなｗｗｗ
高橋,わかんないｗでも今日で４０００円だから結構期待できるかもね！
富岳,お前の人生初給料楽しみにしてるわｗｗ
高橋,おｋ＾＾とりま眠いから寝るわ
富岳,俺はこれからクラン員とゲームだわｗｗｗおやすみ♪
高橋,いや、これ書いてる意味さっぱりわかんないんだけど。ググってみるかｗｗｗｗｗググルｗｗｗググｗｗｗなつかしいｗブヒッｗｗ
富岳,とりま休憩いれてゲームしようぜ
高橋,バイナリ・・・バイナリエディタ・・・
富岳,ガンガレよ！ｗ
高橋,１６進法。。。？。１２３４５６７８９ＡＢＣＤＥＦ。なんなのこれ。とりあえずこのバイナリなんちゃらでファイルを改造してみるかｗｗｗ。ゲーム起動しないｗｗｗｗ
富岳,アホスｗｗｗｗｗバカスｗｗｗｗ
高橋,ファイル改造法もググればでるかなｗ
富岳,協力するぜ
高橋,ほーｗｗなんかわかったぞｗとりまこうだな。やっぱ起動しないな。ゲームガードに引っかかる。
富岳,ゲームガード回避なんてのもあるらしいぞ
高橋,おｋやってみるわ。いけたんじゃねｗｗｗお！いけたんじゃね！？
富岳,まじかｗｗｗｗおｋｗちょｗｗｗやってみてくれｗｗｗ
高橋,無反動ｗｗｗｗすげええｗｗｗ無反動ｗｗｗｗでもこれバレるぞｗｗｗサブキャラでやるべきだなこれｗ
富岳,ちょｗｗｗやりかた教えろｗｗｗｗ
高橋,おｋｗｗｗｗ
富岳,すげええええええ！きたああああああああｗｗｗ
高橋,スナイパーの反動がないｗｗｗｗ
富岳,集弾率１００パーセントｗｗｗｗ
二人,ｗｗｗｗｗｗｗｗ
高橋,ってかさーチート飽きてきたんじゃね？
富岳,そだねー・・・チートしてからクソゲーって思えてきたね。
高橋,だよねぇ・・・。もうアカバン食らってるIDもあるしな～ｗｗまたつくりゃいいんだけどさｗｗ
富岳,俺らさ、ネットにINするときのために携帯の電話番号交換しない？
高橋,おｋ。敵よえぇぇえｗｗ
富岳,だなｗｗｗもうなんなのこいつらｗｗｗｗ
パソコン,ガリガリガリガリガリガリガリガリガリガリガリガリガリガリガリガリガリガリガリガリガリガリ
高橋,なんかパソコンすごいガリガリ言ってんだけど
富岳,ん？俺もだぞ？ウィンドウズのうｐデートじゃね？ホラ、自動更新にしてるからさ
高橋,あーなるほどね
パソコン,ガリッ・・・・ガリガリガリガリ・・・・ガリガリガガガガガガガガガガガガガガ・・・
富岳,なんかさ、普段よりうｐデート長い気がする
高橋,パソコンすごいうなってんな。意味わかんない。これ壊れるんじゃね？ｗｗ
富岳,じゃあ俺のＰＣも壊れるのか
高橋,二人同時に壊れるわけないや～んｗｗｗｗ。ッ！？ゲーム落ちた！？富岳ごめん！
富岳,・・・・いや。俺も落ちた。
高橋,ゲームの緊急メンテとかじゃないの？
富岳,あーなるほどねｗ
高橋,なんかスカイプの音声がロボットみたいになってんだけど
富岳,なに？いまぜんぜん聞き取れなかった。ロボットみたいだわ
高橋,え？なんだって？聞き取れないわ
富岳,お前日本語しゃべ・・・
高橋,ん？スカイプも落ちた?なんなんだよまったく・・・スカイプのバルーンすら落ちてるし
富岳,は？スカイプおちた？
高橋,また起動すれば直るかな・・・ポチっと・・・。スカイプは立ち上がるが・・・接続されない・・・。富岳に電話してみるか・・・。あ！もしもし？富岳？
富岳,おい・・・ネットにつながんねえぞ。。。俺ほかのネット友達にも確認したんだよ。。。みんなつながんないみたいなんだ。
高橋,は？へ？え？それは・・・ネットが麻痺してるってこと？
富岳,そうだな。おいテレビつけてみろ。
高橋,おｋ。。。ちょっとまっててな
テレビ,速報が入りました。ただいまインターネットに繋がらない現状が続いてます。復旧の目途は立っていませんが、ネットサポートチームが全力で復旧作業に当たっています。また速報です。このインターネットの麻痺状態は全世界に及んでるとの情報です。詳しい情報が入り次第またお伝えいたします。
富岳,・・・な？
高橋,うん・・・。じゃあしばらくチート。。。じゃなくてネットできないね。。。
富岳,まぁ～そゆことになるわな。これを良い機会に働いてみるかな。
高橋,そうしたほうがいいかもね。俺ももっと働くよ・・・。
富岳,じゃあ俺らがまた活動できるのはネット繋がるときだな
高橋,じゃあそれまで元気でな
富岳,おう。んじゃまた
