記者,コジローCEO！ライモンシティ再開発の目的は何でしょうか
コジロー,君はカミツレの後釜のジムリーダーになりたいって騒いでだけだろはぐぅ！！バタン
ムサシ,だーまーれー！
ニャース,まままままあ、我々は今回の事業を成功させるべく各方面と調整を…プツン
セレナ,あーあ、ロケット団もすっかり合法企業になっちゃって…昔はあんなだったのに
サトシ,ただいま。今日はあまり拾えなかったよ…ごめん
セレナ,おかえりなさい。あら！それでもハートのウロコがあるじゃない！
サトシ,…ああ、いつもありがとうなセレナ
セレナ,明日一緒に町に売りに行きましょう！
サトシ,そうだな。…ピカチュウは？
セレナ,まだベランダで寝てるわ…ほら
ピカチュウ,…zzz
サトシ,今日は体調良さそうだな。うーんこのあたりには何も落ちてないなあ
男,よお！あんたマサラタウンのサトシだろ？
サトシ,！
男,俺はカロス地方からきたエドガー！あんたと勝負がしたい！
サトシ,よしてくれ、俺はもう。…！
エドガー,行け！カイリュー！さあサトシ、お前もあの伝説のピカチュウを出せ！
サトシ,ファイアロー！！
エドガー,こらえてれいとうビームだ！
サトシ,よけろ！ファイアロー
エドガー,フレアドライブのあとにか？
サトシ,はっ！！しまった！
エドガー,しんそく
サトシ,…
エドガー,なぜピカチュウを出さなかった
サトシ,あいつも歳でさ、昔ほど動けなくなっちまった。今では家で静かに過ごしてるよ
エドガー,日を改めて再戦が必要だな
サトシ,もう来るな。お前に敗れた俺が今の俺だ
エドガー,本気で言ってるのか
セレナ,もう私達のことはそっとしておいて！！
エドガー,あんたは…！あの伝説のカロスクイーンのセレナ…
セレナ,サトシ…大丈夫？ファイアローも。サトシ！そんなこと言わないで！お願い！
エドガー,また来るよ
サトシ,なあ、セレナ。俺と一緒に暮らして幸せか？
セレナ,うん即答
サトシ,今のこんな俺のところに君が押しかけてきたときはびっくりしたなって思ってさ
セレナ,そう？うふふ
サトシ,数日後でぇっかい荷物抱えて俺の家の前に立ってるんだもんな
セレナ,もう10年前の話じゃない。でも探したわよぉあのときは
サトシ,俺がすでにこんなんでがっかりしなかったかな、と思ってさ
セレナ,ちょっと哀しかったけど、でも少し安心したよ
サトシ,安心？
セレナ,冒険の旅ももちろん良いけど、ここで二人で静かに暮らせるんだなって。サトシ、バーンアウトってわかる？
サトシ,なんだその技
セレナ,いや技じゃなくて燃えつき症候群って言う意味なんだけど。要するに私は、夢を叶えてしまってカラッポになっちゃったの
サトシ,俺も燃え尽き症候群って奴なんだろうな
セレナ,…
サトシ,同じカラッポでも夢を諦めてカラッポになった俺とは違う…んんんっ何で急にキスするんだ！
セレナ,それ以上言ったらまた口塞ぐわよ
