通行人,……
男,あぶねっ！。なんだあいつ、歩きスマホしやがって……ちゃんと前見ろよ……！死ねよ……！
友,お前いつもカリカリしてんなー
男,世の中クソみたいな奴が多すぎるんだよ。歩きスマホする奴もそうだし、夜自転車のライトつけない奴、イヤホン音漏れしてる奴……。法律が許すなら全員ブッ殺してるところだ
友,気持ちは分かるぜ。だけどイライラすると血圧上がるしストレス溜まるし、いいことないぞ？
男,だったらどうしろってんだよ！
友,他人を許せるようになるコツ、教えてやろうか？
男,許せるようになるコツ？んなもんあるわけねーだろ！
友,いってるそばからカリカリすんなよ
男,じゃあ早く教えろよ
友,分かったよ。そのコツはな……
男,いちいち溜めんな！
友,“こいつはこれをしなきゃ爆発する”って思うことだ
男,……意味分からん
友,たとえばさっきの歩きスマホのケースだと。“あの通行人は歩きスマホをしなきゃ爆発する”って思うんだ。そうすりゃ、“爆発を起こさないためなら歩きスマホしてもしょうがない”と思えるだろ？
男,……ちょっと期待した俺がバカだったよ
友,まあまあ
男,まぁいいや、アホ話に付き合ってやる。もし、歩きスマホをやめたら、あいつはどうなるんだよ？
友,多分……。こうなる
男,いやいやいや、ならないだろ。だとしたら、あいつは24時間歩きスマホしてんのかよ。無理だろ
友,そこは“人が大勢いるところでは歩きスマホしないと爆発する”みたいな条件がついてるってことで
男,しかも、なんで爆発前にタイマー音みたいのが鳴るんだよ。爆弾でも埋め込まれてんのか
友,あくまでイメージだから。とにかく、歩きスマホしなきゃ自分が爆発するってんなら、よほどクソ真面目な奴でも。歩きスマホするのは間違いないだろ？
男,そりゃ……自分の命が最優先だわな
友,他にも、自転車のライトつけない奴が、もしつけちゃうと……
男,ハハハ、ライトつけたせいで、自分がもっと派手な光になっちゃったじゃん
友,自転車のライトつけない奴にはこういう事情があったんだよ。イヤホンの音漏れだと……。こいつが電車に乗ってたりしたら大惨事だ
男,音漏れさせてくれてありがとうって感じだな
友,こんな感じで、世の中の人間は“自分はこれをしなきゃ爆発する”って行為を。無意識的に知ってて、爆発しないためにそういう行為をしてるわけだ。ってな具合に、ムカつく行為をされたら、“こいつはこれをしなきゃ爆発する”と思うんだ。そうすりゃ大抵のことは許せるようになるぜ
男,……くっだらねー。そんなんで他人を許せるようになるなら苦労しねえよ
友,まあ、お遊びみたいなもんだからな。だけどもし、一理あるかもと思ったら、実践してみてくれ
男,やらねーよ！。……さっきはああいったものの、実はちょっとあいつの話に引かれた部分もある。なるほど、世の中のムカつく奴らは、他人をムカつかせる行為をしないと爆発しちまうってわけか。いくら俺だって“歩きスマホしないと爆発する”って奴に“歩きスマホやめろ”とはいえないしな。このコツ……実際やってみるのもアリかもしれない。みんな、ああしないと爆発するからやってるんだ！。爆発するんならしょうがねえよ。誰だって命は大事だし、下手すりゃ周囲も巻き込まれるんだから！。ああ……なんだかすごく心がスッキリした！。これからはこの考え方で他人を許せる気がする！。俺、もうカリカリしない！。え？
