バラモス(高１),焼きそばパンな。ダッシュで買ってこいよ、腹へってんだからwww
トロル(高１),は、はい！！
バラモス,あ、あとドロリッチもな。お金はお前が出しとけよｗｗ
トロル,わかりましたぁ！
ライオンヘッド(高1),ひゃははは、バラモス君、また舎弟が一人増えたんだね
バラモス,はっ！！何言ってんだよお前ら。ただ周りの奴らが大したことない奴らばっかってだけだぜ…こんな高校な、あと1ヶ月もすれば、上級生の奴らぶっとばして、学校の番長にまでのし上がれるぜ
じごくのきし,ああ、今の2、3年なんか、大したことない奴らばっかりだって専らの噂だしな…バラモス君ならきっとできるよ
ライオンヘッド,ひゃははは！！そうだ、違えねえ！！
バラモス,ああ…２年生のトップであれだからな。もっと強い奴はいねえのかよ…。ほんとつまんねえ学校だぜ
うごくせきぞう,しかたないよ、バラモス君が強すぎるんだ
ライオンヘッド,ひゃはは！でもこれで残るは３年生のトップだけだな！！
じごくのきし,ああ、バラモス君が学校の番長になる日は目の前だぜ……ん？
？,おい…バラモスってのはお前か
じごくのきし,なんだあ！お前ら！？バラモス君になんか用か！？
うごくせきぞう,見たことないモンスター…こいつら俺たちの学校の生徒じゃないな
バラモス,…俺に何か用か？。いや…いいよ。俺一人でやるから
うごくせきぞう,えっ…そ、そんな！いくらバラモス君でも１対３じゃあ…
じごくのきし,そうだよ！４人でやっちまおうぜ！！
バラモス,へへ…いいんだよ、こんな雑魚ども。俺一人で十分だ…
ほのおの戦士,けけけ…聞いたかよバルザック。俺たち相手に１人でいいってさ
とうだいタイガー,ああ…ただの身の程知らずだな
バラモス,いつでもいいぜ。３人同時に来いよ
ほのおの戦士,うげえええええ！！！
とうだいタイガー,ほのおの戦士！！ちくしょう、貴様よくも…
バラモス,バシルーラ！！
とうだいタイガー,うわあああああ！！
バルザック,！？ほのおの戦士！！とうだいタイガー！！。く、くそおおーーーー！！くたばりやがれ、バラモス！！。うわああああああ！！……ち、ちくしょう、覚えてやがれ！！！
ライオンヘッド,(……す、すげえ…他校の３年生が３人がかりだったのに…)
じごくのきし,(ああ、こ、これほどの実力者とは…バラモス君なら、番長なんて目じゃねえ)
うごくせきぞう,(ホントに魔王になれるかも…)
バラモス,へへへ…どいつもこいつも口ばっかでたいしたことねえな…
じごくのきし,ああ！！デスパレス高の奴らホントざまあないよな！！
バラモス,よせよお前等。あんなもん、たいしたことねえよｗｗｗ
うごくせきぞう,それにしても、俺たちの高校ってずいぶんなめられてるんだな…
じごくのきし,ああ、腰抜けのアレフガルド高校とか言われてたしな…
３人,な、なんだってーーーーーー！？今からぁ！？
ライオンヘッド,や…やっぱりやめようよ…バラモス君、いきなりはまずいよ
じごくのきし,そ…そうだよ、もうすぐ昼休みも終わるし…
うごくせきぞう,(うわあ…３年生がジロジロみてるよ…)
トロルキング(３年),(なんだぁ？あいつら…一年生か？なんで、３年の校舎にいるんだ？)
バルログ(３年),(あいつ…！？バラモスだぜ！！一年でヤンチャしてるっていう…)
だいまじん,３年
マントゴーア,３年
じごくのきし,そういえばさ…バラモス君
バラモス,あんだよ？うっせーな
じごくのきし,３年生のトップって誰だか知ってるの？？
バラモス,………し、知らねぇけどよ…そんなもんその辺の奴に聞けば…。いって……てめえ…誰の肩にぶつかってやがるんだ！！
？,…あ、ああ…すまない…。ああ、すまなかったな…それじゃ
バラモス,おい
？,え？
うごくせきぞう,(す、すごい！！ふっとばした！！あの巨体を！！！)
ライオンヘッド,(け、けど、バラモス君…あの先輩、ちゃんとあやまったのに…なんで)
じごくのきし,バ…バラモス君やばいよ…ここで騒ぎを起こしちゃ…
ライオンヘッド,やべ！！先生達だ！！！
うごくせきぞう,バ、バラモス君…！
バラモス,ちっ、分かったよ！一旦退けばいいんだろ！退けば！！
先生,こらぁ！！待たんかい、バラモス！！！
？,あいたたた…急になぐってきやがって…
トロルキング,ゾーマ君、大丈夫かい？
ゾーマ(３年),ああ、何なんだあいつは？
マントゴーア,まあ、あのパンチ力を見る限り、実力はあるみたいだね
バルログ,ゾーマ君とどっちが強いかな？
マントゴーア,ああ、ほっとけほっとけ。あんな奴
ゾーマ,(そうか…あいつ、バラモスっていうのか…)
ライオンヘッド,まあまあ…バラモス君、落ち着いて…
うごくせきぞう,3年生の襲撃はまた頃合を見て行こうよ
ライオンヘッド,3年のトップも事前に調べとかないといけないしな
バラモス,ちっ、しょうがねえな……ん？
バルザック,くくく…また会ったな、バラモス
ほのおの戦士,けけけ…こないだはよくもやってくれたじゃねえか…
バルザック,出番だよ、エスターク君！！
エスターク(高3),グゴゴゴゴ…
エスターク,グゴーー、グゴーーー
うごくせきぞう,おい…あいつ、寝てねえか？
バルザック,エ、エスターク君！！！お、起きて！！
とうだいタイガー,う、うわ、エスターク君！！
バルザック,そ、そんなエスターク君が…！！
バラモス,はっ、口ほどにもない………ん？
エスターク,グゴゴゴゴゴ…
ライオンヘッド,お、おい…あの番長…
じごくのきし,ああ……ほとんどダメージを受けていない…
バラモス,な…なん…だと…？
エスターク,グゴゴゴゴ…
ゾーマ,…ん？あいつらは…
バラモス,ぐあああああ！！！
エスターク,グゴゴゴ…
バルザック,ほんと、次期魔王が聞いてあきれるぜ…
バラモス,ち、ちくしょおおおお！！！
エスターク,グゴゴゴゴ…
バラモス,ぐああああああ！！！
ライオンヘッド,そ、そんな…バ、バラモス君が手も足も出ないなんて…
うごくせきぞう,あ、ああ…つ、強すぎるんだ…。あのエスタークとかいうやつが…
じごくのきし,お、おい…やばいぞバラモス君…このままじゃ…！！！
ゾーマ,おい、何やってるんだ、お前等
ライオンヘッド,お、お前は、今日バラモス君に吹っ飛ばされた３年生…
ゾーマ,ふん、ボロボロの癖に威勢だけは一人前だな
うごくせきぞう,お、おい！お前バラモス君になんて口を…！！
エスターク,グゴゴゴゴ…
ゾーマ,下がっていろ、お前たち。ぬうう！！！
うごくせきぞう,い、今のうちに逃げよう！バラモス君！！
じごくのきし,で…でもこのままじゃ……ん…？
ライオンヘッド,お…おい…あいつ…まだ…やられてないぞ…
エスターク,ウゴオオオオオ！！
じごくのきし,す、すげえ…こんな人がうちの高校に…
バラモス,(ば…ばかな…)
エスターク,グゴゴゴゴゴ…
ゾーマ,………
エスターク,……………。…………
とうだいタイガー,お、覚えてやがれ！！！
ゾーマ,去ったか…
ライオンヘッド,た、助かった…
じごくのきし,ああ…ありがとう
ライオンヘッド,ありがとう先輩……ほら、バラモス君も……
バラモス,…………
ライオンヘッド,な、なんか…あれだな…
じごくのきし,ああ…ちょっと、かっこいいかもな…あの人…
うごくせきぞう,あんな人がうちの学校にいたなんて、以外だよな
バラモス,…………。(くそっ、くそっ……ちくしょおおおおおおおお！！！！)
ライオンヘッド,…今日もバラモス君休みだってよ
じごくのきし,これで一週間目だぜ……体はもういいんだろ？。大丈夫かな……変な気起こさないといいけど…
ゾーマ,ふう…今日も図書館で勉強していたら、帰りが遅くなったな…
バラモス,…よう、待ってたぜ
ゾーマ,…ん？お前は…人の家の前で何しとるんだ
バラモス,ちょっと、面かせや
ゾーマ,…ふらふらだったくせによく言うわ。仕切ってる、というか、周りが勝手にそう言ってるだけだ。なんで俺がそんなこと…
バラモス,はあ、はあ、や、やったか…！！？。な………そんな…まさか…。(や…やばい…！！あいつの繰り出す呪文なんかくらったら…)。く…、くそ！これでもくらえ！！メダパニ！！！。くそぉぉぉ！！バシルーラ！！バシルーラァ！！。うぎゃあああああああああ！！！！！！！！！！！！
バルログ,ゾーマ君…最近元気ないね、どうしたの？
マントゴーア,ああ、そういえば顔色も悪いみたいだけど…
ゾーマ,う、うん…なんでもないんだ…
大魔神,ああ、また３年の校舎に来て暴れまわるものだとおもってたけど…
ゾーマ,………。…………！！！
バラモス,………
