そんな中、その5人が一目置いていたといわれる・・・幻の,6人目
勝俣,やっぱキセキの世代かっけぇなぁ・・・。俺もゾーン入ってみてぇな。・・・・・。ちょｗｗｗｗｗ着信履歴が420件！？ｗｗｗ。全部アッコさんかよおおおｗｗｗｗｗｗｗ。アッコさん？？チャァァァッシャァッス！！。はい・・・はい！お疲れ様です！！。ホントすいませんｗｗｗ寝てて出れなかったんすよ！！。え？今から飲みに？。せっかく黒子のバスケ読んでるしなあ・・・
アッコ,勝俣ァ、はよ開けろや
勝俣,電話の意味ねぇｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
アッコ,お前、なに電話無視しとんねん
勝俣,すんませんっす！！！ホントにすんませんっす！！
アッコ,あん？なんやこの漫画
勝俣,ああ！これはバスケ漫画っすよ！！
アッコ,ほくろのバスケ・・・？ほくろがバスケするんか？
勝俣,ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
アッコ,おいｗ
勝俣,ちょ・・痛いですってｗｗ。ほくろじゃないです！黒子っていう主人公がバスケする話っすよ！
アッコ,ほう、中々面白そうやんけ
勝俣,ただのバスケ漫画じゃないとこが面白いんすよお！
アッコ,どういう意味や？
勝俣,超人的な能力を持った６人のバスケ選手達が戦い合うんすよ！
アッコ,なんやねん・・中学生が喜びそうな漫画やんけ
勝俣,あああーーーｗｗｗこの漫画舐めてますねアッコさんｗｗｗｗ
アッコ,あん？
勝俣,その６人が同時に現れた世代のことを何て言うか知ってますか？
アッコ,知るか、アホ
勝俣,キセキの世代っすよ・・・！
アッコ,！！
シンスケ,え・・・キセキの世代と試合がしたい・・？
アッコ,そうや、はよ番組立てて用意しろや
シンスケ,いやｗそんなんいきなり言われても困りますってｗ
勝俣,キセキの世代忙しいっすからねｗｗｗ！！！！
アッコ,アッコチームvsキセキの世代・・・視聴率取れると思わんか？ｗ
シンスケ,・・・・っ！！
勝俣,アッコチームってｗｗｗｗｗｗｗｗｗｗ
シンスケ,せやけど姉さん、人数集められるんですか？。バスケって確か・・・
勝俣,最低５人っす
シンスケ,そや、５人も人数集められるんですか？
アッコ,あたしと勝俣
勝俣,ちょｗｗｗｗｗｗｗｗｗｗｗ俺もメンバー入りしてるんすか？ｗｗｗｗｗ
アッコ,それと出川にシンスケ、藤岡で５人や
勝俣,藤岡隊長っすか！？ｗｗｗｗｗあの人もバスケするのかよおおおｗｗｗ！！！
シンスケ,ま、まあ・・・それなら一応、企画は立ててみますわ
アッコ,おう、頼むで
シンスケ,くくっ・・まあええわ、金さえ手に入ればこっちのモンや
緑間,なに？俺達と試合だと？
黄瀬,なんでも相手は芸能人チームみたいっすよ～
青峰,くだらねぇ・・・芸能人なんて素人同然じゃねぇか
紫原,ふぁーあ、眠い
黒子,赤司くんは、その試合を許可したんでしょうか
赤司,ああ、今回だけはな
青峰,本気なのか・・赤司
緑間,素人同然の相手と俺達をぶつけるなんて・・舐められすぎなのだよ・・・！
赤司,誰が相手であろうと我々が勝つ、それだけだ
黒子,・・・・・
アッコ,シュッヒュッシュッシュッ！！！
勝俣,アッコさんの息遣い荒れぇｗｗｗｗｗｗ！！！！！。ああ・・・惜しいっすね！！いきなり３Pは入らないっすよ！
アッコ,こんなちゃちなボールやと打ちにくいわ
シンスケ,姉さん、遅なりました
出川,あ、どうもお久し振りです＾＾
藤岡,んんふぁぁ
勝俣,なんだこの面子ｗｗｗｗｗｗｗｗどう見ても残飯の集まりっすよｗｗｗｗ！！！
アッコ,おう、お前等遅いねん
出川,いやぁ～いきなり呼び出されたと思ったら・・・
藤岡,バスケ・・・か
シンスケ,細かい事はええですから、金の事だけ考えましょうや！
アッコ,やかましいねん・・・！！
出川,ヒィィ！！
シンスケ,きゅ、急にどうしはったんですか・・・？
アッコ,あたしはキセキの世代に勝つ気でおんねん。負けは絶対に許さんで、お前等もなんか超人的な能力あるんやろうな？
勝俣,ないっすよｗｗｗｗｗｗｗｗｗｗ！！！！！！！！
シンスケ,すんません、金集める力しかないですわ
出川,俺もバスケなんて久し振りっすから・・・
藤岡,んんはぁっあ
アッコ,ｗｗｗｗｗｗｗ
勝俣,ちょｗｗｗｗｗｗアッコさんどこ行くんすか！？ｗｗｗｗｗ
アッコ,やめややめ、こんな生ゴミの集まりでなにが出来んねん
勝俣,ひどいっすよｗｗｗｗ！！！俺達だって力合わせればただのゴミに成り上がれるんすからｗｗｗ！！
アッコ,それあんまり変わらんやろｗ
勝俣,とりあえず、ポジション決めましょうよ！
