男,ぼっちになってしまった……
周囲,ｶﾞﾔｶﾞﾔｶﾞﾔｗｗｗｗ
五浪,…………。…………。…………。講義が始まるまでのこの時間が辛い
周囲,ｶﾞﾔｶﾞﾔｶﾞﾔｗｗｗｗ
五浪,入学してからまだ二週間しか経っていないのに、もうグループができている。………………。この疎外感。……堪らない。何がいけなかったのだろう……。話しかけなかったもんなぁ……、誰にも……
大学受験に失敗した人を,浪人
五浪,………………。しかし、あれだな……。よく、周りを観察してみると、まだグループに属してないような人もちょっとは居るみたいだ。………………。話しかけたら、友達になれるだろうか。………………。………………。………………
講義,英語Ⅰ
教授,……であるからして、この文は倒置が起きているわけで
五浪,…………。しかし、講義中は楽だ。周りもうるさくないし、ぼっちでも疎外感を感じなくて済む。私語厳禁が素晴らしい。いや本当に。もう大学構内ごと私語厳禁にすればいいのに
教授,……つまり、ONLYなどが先頭に着た場合は
五浪,いっその事、友達禁止というのはどうだろうか。あ、でも友達とただの知り合いの区別はどうやってつければいいんだ？
教授,……では、三人一組になってディスカッションをしてみてください
五浪,生徒は顔面マスク着用を義務付けして、アイデンティティーを無くせば誰が誰だかわから。………………。な、なんだって……？。つーかさぁ、生徒の自主性に任せるっていうのもどうよ。聞こえはいいかもしれないけど、それって要は丸投げってことだろ？。名前順とか、座ってる順とか適当に決めればいいのに、なんで誰でも自由なんて言っちゃうの？。俺が三人いれば、それで三人組できるのになぁ
教授,みなさん組めましたでしょうか？
五浪,うるせーばか！組めてねぇよ！
周りを見てみると、,はーい
教授,それでは、組めた人はシットゥダウン流暢
五浪,ど、どうすればいいんだ……
教授,お、ちょうど余ったのは３人ですね。席移動は終わったでしょうか？。みなさん。今はまだこの制度に納得がいかないと思います
全員,あたり前ぇだ！！
教授,不満を感じて当然です。自分の出席が他人に影響する。それどころか、授業の評価はもちろんテストの点まで他人と共同にされてしまう。みなさんは、この講義を受けて今非常に後悔しているかもしれません
クラス,………………
教授,ですが、私は自信を持って言えます。１年後。この教室で。同じ事を私が言ったときに。みなさんは、今とは違う気持ちを抱いているはずです。その気持ちが何なのかは、今言及しません。しかし、その時抱いている気持ちが、過去の先輩たちと同じ気持ちだったとしたら。それ以上嬉しいことは、私にはないです。今日は、組になって初めての顔合わせということで、自己紹介から始めてもらいたいと思います
男１,えぇーーとｗｗｗ男でーすｗｗ一応初めましてｗｗｗ
女１,えぇーーｗｗ知ってるしーーｗｗいまさらｗｗ
男２,じゃあ僕も初めましてーｗｗ
俺,………………………………
眼鏡,……………………………
ダボダボ,………………………
眼鏡,……あの。…………とりあえず自己紹介…………しませんか？
ダボダボ,……そ、そうですね……しましょう…………か？
俺,……い、いいですね。…………じゃあ誰からします……？
眼鏡,そ、それじゃあ言いだしっぺの俺から……、えと○○って言います。よろしくお願いします
ダボダボ,えと、じゃあ私も……。△△って言います。お願いします。え……？老けてますか？
眼鏡,そうでもないと……思いますけど
ダボダボ,あの、失礼なんですけど、もしかして浪人……とかしてたりします……？
俺,地雷回避家
ダボダボ,ご、ごめんなさい！失礼でしたか！？
俺,い、いえ……別に気にしてないんで
ダボダボ,よ、よかった。………………あの、……ちなみに何浪ですか……？。ち、違うんです！あ、あたしもなんです！
俺,……え？
ダボダボ,わ、私も浪人してここに入ったんです……。
俺,…………えと、…………ちなみに……何浪……？
ダボダボ,……さ、…………三浪…………ですけど……
眼鏡,お、俺も！浪人です！…………よ、四浪ですけど……
ダボダボ,うそっ！？すごい！私より上が居た！。………………
眼鏡,……………………
ダボダボ,………………
眼鏡,……………………
ダボダボ,……………………
眼鏡,…………………………
ダボダボ,…………す、…………
眼鏡,…………す、………………
ダボダボ＆眼鏡,すっげぇーーー！！
ダボダボ,やったーー！！すごい！３，４，５だ！
眼鏡,まじかよｗｗすごいな！俺、絶対一人だけ浮くと思ってたのに！
ダボダボ,すごいすごい！長老レベルだよ！五浪って！。いやぁ、でもよかったなぁ。わたし絶対浮くと思ってたから……
眼鏡,俺もそう思ってた……、ました？……あれ？タメ口大丈夫？……っすか？
ダボダボ,あ、そっか。わたしが最年少ってことになるんだ……。ふふっ……なんかすんごい不思議
眼鏡,俺もだよ。入学して周り見ても、やっぱり圧倒的に年下だからさ、気後れしちゃって
ダボダボ,あ、わたしも！もう話しかけていいのかわからなくて、気づいたらあぶれちゃってた！。でもよかったぁ……さっきまで何でこの講義取っちゃったんだろう、って思ってたのに一気に気が楽になったよ
眼鏡,俺も俺も。ていうかさっきから同意しかしてねぇな。俺たち
教授,さて、みなさん。手元のプリントを見てください。これからみなさんには、同じ組になった人にニックネームをつけてもらいます。同時に、三人のうちから一人代表者を選んでください。代表者には、雑務が待っている代わりに、特典もいくつかあります。それでは、今から三〇分間時間を与えますので、取りかかってください
ダボダボ,………………
眼鏡,………………
ダボダボ,私も高校時代思い出してたぁ……、懐かしいなぁ……
眼鏡,俺も俺も。どうする……とは？。いや、やっぱり他人が決めるのが一番でしょ！
