ハム太郎,
タイショー,くそ……転生して早々ハム太郎がモンスターにやられたじぇ！
スライム,ぷるぷる…………！
こうし,つ、次の攻撃が来ます！！
スライム,ぷるーっ！！
こうし,む、むぐっ！？。
タイショー,こうしまでやられちまった……！
リボン,このままじゃ全滅でちゅわ！
メガネ,皆さん！転生した時、神様から言われたことを思い出して下さい！
マフラー,そういえば……チートスキルをくれるとか言ってたわね
ちびまる,うきゅ！
まいど,チートスキルを使えばスライムを倒せるかもしれへん！
タイショー,よし、スキルを使うじぇ！
のっぽ,スキル発動！って叫べばチートスキルが使えるみたいだ
タイショー,スキル発動！。！？。すげぇ！これがあればなんでも覚えてられるじぇ！
スライム,ピキーッ！！
タイショー,もがっ！？。
まいど,ちっ、タイショーはんのスキルは戦闘向きやなかったみたいやな。そんならワイがやるで！。スキル発動！！。な、なんや！？無限に漫才とコントのネタが思い浮かぶ……！。この能力があればお笑い界で無双できるやないか！！。やったでーーーーーー！！！
スライム,ピキーッ！！
まいど,もがっ！？。
トラハムくん,全く、タイショーもまいどもダメだな！
トラハムちゃん,私たちに任せて！
トラハムくん,スキル発動！
トラハムちゃん,スキル発動！
トラハムくん,やば！！めっちゃいいじゃんこの能力！
本田翼,最高！！！
スライム,ピキャーッ！！
トラハムくん,
トラハムちゃん,
パンダ,スキル発動！
かぶる,スキル発動！
ねてる,スキル発動！
スライム,ピキィィ！！
パンダ,
かぶる,
ねてる,
メガネ,だ、誰か戦闘用のチートスキルは持ってないんですか！？
のっぽ,このままじゃ全滅だ！
ちびまる,うきゅー！
リボン,！！どうやら私のスキルは戦闘用みたいでちゅわ
マフラー,でかしたわ！リボンちゃん！
リボン,スキル発動！！。あらゆる武器の性能を最大限まで引き出すことが出来るッ！！。でも武器を持っていないッ！
スライム,ピキーッ！！
リボン,
ちびまる,うきゅー！
マフラー,どうしたの、ちびまるちゃん？
メガネ,ちびまるちゃんはスキル発動！って言えないみたいですね。赤ちゃんだから
ちびまる,うきゅー！
のっぽ,赤ちゃんだから仕方ないね
マフラー,ま、どうせ大した能力じゃないでしょ。赤ちゃんだし
ちびまる,うきゅー
メガネ,次は私の番です！スキル発動！！。やった！凄い能力だ！。私が窒息死してる未来が見えます！！
スライム,ピキィー！！
メガネ,むぐぁっ！？。
のっぽ,すごい……言っていた通りの未来になった……！！
マフラー,こうなったら私がやるしかないようね！。スキル発動！！。最高！！！！！！！！！！！
スライム,ピキャーッ！！
マフラー,
のっぽ,くっ、もうダメなのか……！？
ちびまる,うきゅー…………
スライム,ぷるぷる…………！
のっぽ,く、来るな！！
スライム,…………。ぷるぷるぅ…………
のっぽ,…………！？。ひ、引き返していった……？。そうか！これが僕のチートスキル！！。スキルは既に発動していたんだ！！
ちびまる,うきゅきゅっ♪
のっぽ,やったーーーーーーーー！！！！。やったーーーーーーーーー！！！。生き残ったーーーーーーーーーーー！！！！。やったーーーーーーーーーーー！！！！！！！！！
