みさえ(71),なあに、まだまだ大丈夫だよしんのすけ
しんのすけ,そう言って無理してたらいつか倒れちゃうよ母さん
ひろし(77),そうだぞみさえ、あまり無理はするなよ
しんのすけ,父さんもだよ、あまり無理しないでよ、倒れてからじゃ遅いんだから
ひろし,分かってるよしんのすけ、心配するな
みさえ,そうよしんのすけ、いつまでも元気なのが野原家なんだから
ひろし,みさえの言うとおりだ、まだまだ足腰も丈夫だしな
しんのすけ,なら良いんだけどね、じゃあ仕事行ってきますいか割り
みさえ・ひろし,行ってらっしゃいのししの突進
社員A,主任、こちらの書類確認お願いします
しんのすけ,分かった
社員B,主任、そろそろ取引先へ行く時間です
しんのすけ,もうそんな時間か、少し待って
社員B,分かりました
しんのすけ,(ふう、今日も忙しいな・・・)。・・・ではこれからよろしくお願いします
取引先,うん、よろしく頼むね
しんのすけ,はい、ありがとうございました、それでは・・・
社員B,お疲れさまです、無事取引成立して良かったですね
しんのすけ,そうだな
社員B,少し休憩していきますか？
しんのすけ,・・・そうだな、少し疲れたから休憩しよう
社員B,ではそこのファミレスによりましょう
しんのすけ,ガストか。美味かったな
社員B,はい、食事ありがとうございます
しんのすけ,気にするな
社員B,・・・ではそろそろ戻りましょうか
しんのすけ,そうするか。・・・じゃあお先に失礼します
社員一同,お疲れさまでした
しんのすけ,うん、お疲れさま。(・・・母さん達にお土産でも買って帰ろうかな)
店員,ｲﾗｯｼｬｯｾｰ
しんのすけ,(たまには父さんと一緒に酒でも飲むかな・・・)。すいません、これを
店員,ﾊｲ､ｻｹﾄﾔｷﾄﾘﾉﾆﾃﾝｯｽﾈ。ｱﾘｱｯｼﾀｰ
しんのすけ,(父さんと酒を飲むのはいつぶりかな・・・)。(今日も冷え込んでるな・・・)。・・・早く帰ろう・・
？,あれ？もしかしてしんのすけか？
しんのすけ,誰だ？
風間,僕だよ、風間トオル
しんのすけ,風間君か、久しぶりだね。こんな所でどうしたんだ？
風間,取引先に挨拶に行く途中なんだ、これでも一応社長だからね！
しんのすけ,やっぱり風間君は凄いね
風間,そんな事無いよ、それより挨拶に行った後帰るつもりだったんだけど、挨拶が済んだ後一緒に飲みに行かないか？すぐに済むからさ
しんのすけ,・・・いや、今日は遠慮しとくよ
風間,そうか？残念だ。じゃあ今度五人で集まって飲みに行こうよ、色々つもる話もあると思うしさ
しんのすけ,うん、そうだね、今度皆で飲みに行こうか
風間,約束だぞ？
しんのすけ,うん、約束だ、楽しみにしとく
風間,よし、じゃあそろそろ行くよ、またな
しんのすけ,うん、さよなら。(五人で飲みに・・・か、五人集まるのは何年ぶりかな・・・)。ただいまンドリル
みさえ・ひろし,おかえりンス
みさえ,少し遅かったわね、何かあったの？
しんのすけ,うん、風間君と会ってね、少しだけ話してたんだ
ひろし,風間君か、お前ら仲良かったもんな
しんのすけ,うん・・・そうだ、父さん酒と焼き鳥買って来たんだ、熱燗にして一緒に飲もう
ひろし,お、良いねぇ！
みさえ,じゃあちょっと用意してくるわね
しんのすけ,ありがとう、母さん
ひろし,乾杯！
しんのすけ,乾杯
ひろし,～～～ｯ、か～うめぇ！！
しんのすけ,～～～、ｯﾌｳ体が暖まるね・・・
ひろし,・・・こうしてお前と一緒に酒を飲むのも久しぶりだな・・・
しんのすけ,・・・そうだね・・
ひろし,・・あと何回こうしてお前と酒が飲めるか・・・
しんのすけ,父さん・・・。・・・焼き鳥忘れてた、食べよう
ひろし,・・・そうだな、食うか。・・・あぁ、そうだ明日ひまわりが実家に帰ってくるみたいだぞ
しんのすけ,ひまわりが？
ひろし,あぁ、父さん達の顔が見たくなったらしい
しんのすけ,・・・夫婦喧嘩じゃないのか、安心した
ひろし,ハハハ、あのおしどり夫婦が喧嘩なんかしないって
しんのすけ,じゃあそろそろ寝ようか
ひろし,もう寝るのか？明日は日曜何だからもう少し大丈夫だろ
しんのすけ,ハハｯ、ひまわりが帰ってくるのに、もしも寝坊何かしたら大変だからね。今日はもう寝る事にするよ
ひろし,そうか、おやすみ
しんのすけ,おやすみ。(明日はひまわりが帰ってくるのか)。(久しぶりにひまわりに会えるな)。(風間君にも会ったしな)。(五人で飲みに行く・・・か､懐かしいな・・)。・・・今日も色々あったな、そろそろ寝よう・・・。・・おはよう
みさえ,おはようしんのすけ
しんのすけ,・・・あれ？父さんは？
みさえ,まだ寝てるわ、昨日飲み過ぎたみたい
しんのすけ,そうなんだ。・・・ひまわりは何時くらいにくるの？
みさえ,昼位じゃないかしら？
しんのすけ,昼、か。・・・まだ時間あるから、散歩にでも行ってくるよ
みさえ,あら、そう？行ってらっしゃい遅くならないようにね
しんのすけ,うん、行ってきます。(・・・何かお菓子でも買うかな)
店員,ｲﾗｯｼｬｯｾｰ
しんのすけ,(お菓子とコーヒーでも買うかな)。すいません、これで
店員,ﾊｲ､ﾎﾟﾃﾁﾄｶｰﾙﾄｶﾗﾑｰﾁｮﾄﾎﾞｽﾉﾖﾝﾃﾝﾃﾞｽﾈ。ｱﾘｱｯｼﾀｰ
しんのすけ,ただいまんぼう
みさえ・ひろし,おかえりんごあめ
しんのすけ,あっ、父さん起きたんだね
ひろし,おう、まだ頭がガンガンするけどな・・・
みさえ,もう、飲み過ぎよあなた
しんのすけ,もうすぐひまわり来るんじゃない？
ひろし,もうそんな時間か
みさえ,あなたはずっと寝てたからね
ひろし,面目ない
みさえ,あら、来たみたいね
ひまわり(42),ただいまラカス
ひろし・みさえ・しんのすけ,おかえりレー競争
ひまわり,皆、久しぶりだね
みさえ,本当だね
ひろし,よし、早く上がれ、外は寒いだろ
ひまわり,うん、そうするよ
しんのすけ,ひま、おかえり
ひまわり,ただいま、お兄ちゃん
しんのすけ,ほら、色々お菓子あるぞ、どれ開ける？
ひまわり,うーん、チョコビはないの？
しんのすけ,まだ10個位あったと思うぞ、持ってこようか？
ひまわり,本当にチョコビ好きだね
しんのすけ,これだけは年をとっても美味いよ
みさえ,ひまわり、最近どう？夫とは仲良くやってる？
ひまわり,うん、もう24年位たつけどね、いまでも仲良しだよ
みさえ,そう、良かったわ
ひろし,お前らは本当に仲良しだな
しんのすけ,安心したよ
ひまわり,じゃあそろそろ帰るよ
ひろし,もう帰るのか？
みさえ,まだ夕方だし良いじゃないの
ひまわり,私もまだ居たいけど、夕飯の支度があるから
ひろし,そうか、残念だ
ひまわり,大丈夫だよ、またすぐ来るから！
みさえ,うん、またねひまわり
しんのすけ,さようなら、ひまわり
ひまわり,うん、さようなら、お兄ちゃん。さようならいおーん
みさえ・ひろし・しんのすけ,さようならっぱー
ひろし,・・・帰っちゃったな
みさえ,もう少し一緒に居たかったけどねぇ
しんのすけ,(ん？メールか・・・)。(風間君からか・・)。(・・・こんな感じか、送信)
ひろし,ん？どうしたんだしんのすけ？
しんのすけ,今、風間君からメールが来て、五人で飲みに行こうって
みさえ,五人ってあのいつもの五人組ね、懐かしいわ
しんのすけ,うん、８時に居酒屋だって
ひろし,そうか、楽しんでこいよ、しんのすけ
しんのすけ,うん、楽しんでくるよ、父さん。(・・・そろそろ行くかな)。じゃあそろそろ行くよ
みさえ,行ってらっしゃい、夜道に気を付けてね
ひろし,行ってらっしゃい、数年ぶりに全員が揃うんだ、楽しんでこい
しんのすけ,うん、行ってきます。(五人全員、春日部防衛隊か・・・懐かしいな)。(高校でバラバラになっても、しょっちゅう会ってたもんな)。(・・成人してからだったっけな、あまり会わなくなったのわ)。・・・。(・・・ちょっと早かったかな)
風間,お～い、しんのすけ～
しんのすけ,あ、風間君
風間,早かったな、しんのすけ
しんのすけ,うん、ちょっと早かったね
風間,う～、寒い先に中に入ろうか
しんのすけ,そうしよう
風間,何頼む？
しんのすけ,まだ二人だけだしね、とりあえず生で良いんじゃない？
風間,そうだな、すいませーん！生二つお願いしまーす！。最近どうだ？
しんのすけ,う～ん・・・まぁ、ぼちぼちかな、それなりに上手いこといってるよ
風間,そうか
しんのすけ,風間君は？
風間,俺か？俺もぼちぼちだ、会社もそれなりに大きくなっていってる
しんのすけ,そうか
店員,お待たせしましたー生二つですねー
しんのすけ,はい、そうです
風間,お、きたきた。じゃあ乾杯しようか
しんのすけ,そうだね
風間,～～～ｯ、アー美味いな！
