・このSSは,静・ジョースターの奇妙な日常
チェスタ,……撒いたか。ハァハァ……。まさか故郷イタリアからはるばる……こんな島国まで追いかけてくる奴がいたとは、驚きだ。ギャングというのは自分の顔を立てるためなら何でもするものなのだな……クッ。……弾は貫通している。問題は失血だな……すぐに処置をしなければ流石に厳しいか。……チッ。……撒いたはいいが……間に合わない、か。……ハァーッ……天国……幸せを目指したこの俺が……クソ、ドジを踏んでしまったな……。死か……思えば俺の人生は地獄のようなものだった。天国を目指している時だけ、俺は生を実感出来た。こんな暗やみの中でも幸せを感じられた。……それも、ここまでか。……遠いものだな。本当の幸せ……天国というのは。俺には……母が待つ地獄の方がよっぽど近い……。……下らない……人生だった。……？。何だ、クソ……付近の住民に見つかったか。大人しく一人寂しく死なせてくれたらいいものを……。……日本語はそこまで得意では無いんだがな。ああ、大丈夫……じゃあないが、お嬢さん。放っておいてくれると助かる。……男が野垂れ死ぬ所なんざ、教育に悪いからな。家に帰ってトムとジェリーでも見て忘れるんだ……いいな？。……別に。生きるために悪い奴らから金を少ーしばかり拝借したら、地の果てまで追っかけられて撃たれた。それだけさ……。あーあドテッ腹にヘソよりでかいのを開けられたよ。もう助からないだろうな……血が止まらん。俺の人生ではよくある事さ。殺したり、殺されたりなんざ。それが回りまわって今日、俺の身に降り掛かった……それだけだ。そうそう無いもんなんだよ。天国なんて……。……フン、俺とした事が……見ず知らずのガキに何センチになっているんだ。忘れろ。忘れてくれ……今君の目の前にあるのは、ただの夢さ。君の人生ではそうそう無い事だろう。死なんて――……。……何？。ハッ！あいにく医者に見てもらえるほどの人間じゃあなくってね。……世間から見放されたはみ出し者だよ、俺は……。何を根拠に……おい、近寄るなガキ。放っておいてくれ。それは哀れみか？捨てられてダンボールの中で弱々しく鳴いている犬でも見てる気分なのか？。……何故だ？何故そこまで……こんな見知らぬ血だらけの外人である俺を？。？……似てた、だと？俺がか？……誰にだ？。……。！！……なッ……。スタンド……こんな、東の果ての島国に住む、ただの少女が、何故――……！？。……。……。……運命、か……これも……。……俺の名前はチェスタ・テスタロッサ、だ。俺の命の恩人よ。出会ったばかりの親愛なる友よ……君の名前を教えてくれるか？。……ハァハァハァハァ……！。クソ、何故だサカナクション……！矢を貸せッ！。ハァハァハァハァハァハァハァハァ……。うッ……ううッ！
ウォーケン,……何をやっているんだ、お前……
チェスタ,！。……ウォーケン……！
ウォーケン,夜中とはいえなあ～～、路地裏で一人大声出してたら、誰かに見つかっちまうぜ？迂闊だぞ迂闊ゥー。愛しいメイの右腕、チェスタ様らしくない……
チェスタ,……
ウォーケン,浮かない顔だな？どうした？気分でも悪いのか？ン？
チェスタ,……見ろ
ウォーケン,！……そいつが弓と矢……の、矢か？スタンド使いを生み出すという？へえ、僕も刺されたはずだが、その時はよく覚えていなくてね……しっかり見ると古臭くてダサいな
チェスタ,……
ウォーケン,で！……そいつがどうかしたか？キズでもつけちまったのか？相当な骨董品だからな～～まあ売る時にちょいとばかし値段が下がっちまうかもな。けどもうすでにボロボロでキズなんてわからないぜ。得したな
チェスタ,……貴様は、よくもまあ……それだけつまらない台詞を吐けるものだな……
ウォーケン,……アハハ！失敬失敬。どうにもね……ウォーケンなんて呼ばれると、自分が自分じゃあないみたいにテンションが上がってしまってね……今すごく舞い上がっているんだよ。悪い悪い
チェスタ,……。この矢は……スタンド使いとしての素質を持ち、我々の味方となってくれる者を、指し示す力を持っている
ウォーケン,へえ、初めて聞いたよ。また一つ賢くなった
チェスタ,……
ウォーケン,で？今はどこのどいつを指し示しているんだ？いくら僕が強くて素質バリバリだとしても、再び指し示す事は無いんだろう？
チェスタ,何も
ウォーケン,……
チェスタ,……
ウォーケン,……何て言った？今？
チェスタ,何も……いいか、俺はウソをつくという行為が嫌いだし、貴様相手にコソコソするのもシャクだから教えてやる。……この弓と矢は何も……誰も指し示していないッ！ピクリとも動かないのだ……理解出来るか？それがどういう事か？
ウォーケン,……味方が……スタンド使いの素質を持つ者がいない、というのか？ウソだろ？この町の人口何人か知ってるか？
チェスタ,……凶悪な犯罪者ほど、スタンド使いとして目覚める事が多い
ウォーケン,……
チェスタ,必要なものは極罪を犯した36名以上の魂である……ウォーケン、貴様の魂集めは……順調なようだな？
ウォーケン,待て。そいつはお門違いというヤツだ……たしかに！僕は貴様がせっかく射抜いてスタンド使いにしたヤツを何人か殺したかもしれない。射抜く前の優秀な人材を塵に変えてやったかもしれない。だがな、わかるんだよ……同じ悪人の波長というヤツかな？最近殺しても殺してもハズレでね。めっきり極罪を犯した魂に出会わなくなった。……今のこの状況、僕は無関係だ
チェスタ,……
ウォーケン,あとこちらも2、3人殺せば36名になるんだが……その矢が誰も示さないという事は、悪人がいないという事か。スタンド使いの味方なんぞどーでもいいが
チェスタ,……メイが神DIO
ウォーケン,つまりあれか？チェスタ。メイの唯一無二の友達は、僕一人……という事か？
チェスタ,……そうかもな。しかし、まだ奥の手ならあるさ
ウォーケン,？……まだ他にスタンド使いがいるのか？僕は知らないが……
チェスタ,当然だ。今現在イタリアにいる。契約をしたばかりでな……日本に来るまで少し時間がかかっている
ウォーケン,……イタリア？契約？……何の話だ？
チェスタ,無論、ヒットマンだ……元・パッショーネのヒットマンを金で雇った
ウォーケン,…………
チェスタ,リガトニという男を知っているか？イタリアのギャング組織パッショーネの、最後の切り札と呼ばれたヒットマン……
ウォーケン,あ、あのなァ……一応僕は平凡な日本という小さな島国の一男子高校生なんだよ。イタリアのギャングだのヒットマンだの、知ってると思うか？理解出来ると思うか？
チェスタ,……そいつは悪かった。とにかく、そのリガトニという男の後継者とも言われるヒットマンがいるのだ
ウォーケン,後継者、ねえ……愛弟子か何かか？
チェスタ,いや、そういった関係は無い。殺しの腕が凄まじいためそう呼ばれているだけだ
ウォーケン,……
チェスタ,どんなスタンド使いや厳重な警備に守られた組織の幹部でも、そいつの手にかかれば事故死させられる。……わかるか？事故死だぞ。銃で撃ち殺したり剣でたたっ斬ったり拳で殴り飛ばすんじゃあない。事故で死ぬんだ……絶対に
ウォーケン,……それが凄腕のヒットマン？呪術師名乗った方がいいんじゃあないのか？
チェスタ,……リガトニが死んでから、その男が全ての殺しを受け持つと思われたが、組織の方針が変わりその男は組織から見放された……もう10年以上昔の話だがな。フリーの殺し屋をやっている所を雇った訳だ。頼りになるぞ
ウォーケン,……チェスタ、アンタが金の支払いでモメて事故らない事を願っているよ。フン……
チェスタ,あと数週間もすればその男が日本に着く。そうなれば空条承太郎も静・ジョースターもまとめて地獄送りだ
ウォーケン,フーン……そりゃあご苦労なことで……
