看護婦,元気な三つ子ですよ～
父,三つ子か……ちょうどいい。俺は俺の果たせなかった夢を息子達に託す！。俺は子供の頃、格闘家になりたかったが、打撃センスがないためこれを諦め。学者になろうと猛勉強した時期もあったが、これも挫折してしまい。絵描きを目指し、美大を受験したこともあったが、不合格に終わってしまった。よって、長男は格闘家に、次男は学者、三男は絵描きにする！
母,フフフ、あなたったら……いくらなんでも気が早すぎるんじゃない？
父,そんなことはない！そうと決まれば、物心つかないうちから英才教育だ！
母,あ、あなた……
父,ほら、このミットに打ち込んでこい！
長男,えいっ、えいっ
父,もっと腰を入れろ！そんなパンチじゃぬいぐるみですら倒せんぞ！
長男,えーいっ
次男,いちたすいちは……えぇと、えぇと……
父,２だ！バカモノ！これぐらいすぐ解かんか！。こんなザマじゃ、立派な学者にはなれんぞ！親の期待にこたえるんだ！
次男,う、うん
三男,……。お父さん、どう？
父,なんだ、このヘッタクソな絵は！？色づかいも構図もひどすぎる！。せっかくいい画材を買い与えてやってるのに、これじゃ宝の持ち腐れじゃないか！
三男,ごめんなさい……
父,デヤァ！
長男,いだぁっ……。ひ、ひどいや……いきなり殴るなんて
父,バカ、これぐらいよけれないでどうする！。世界チャンピオンのパンチやキック、タックルはもっともっと速いんだぞ！。いいか、今日は１５時間勉強しろ！
次男,ううううう……
父,さっさと参考書を開くんだ！逃げたらただでは済まさんからな！
次男,は、はい……
三男,もう絵なんか描きたくない……。ぼく、他にやりたいことが……
父,俺に逆らうな！
三男,うぐっ……
父,ほら、あのリンゴを模写しろ！うまくできなかったら、今日はメシ抜きだ！
三男,はい……
母,あなた……あなたがやってることは、ただの夢の押しつけで教育なんかじゃないわ！。あの子たちには、それぞれ好きなことをやらせてあげればいいじゃない！
父,うるさい！女のくせに俺のやることに口を出すな！
母,きゃっ！
三つ子,……
長男,話がある
次男,なんだい、兄さん
三男,どしたの、兄さん
長男,お父さんは身勝手だ
次男,お母さんが可哀想だ
三男,ぼくたちは被害者だ
長男,ぼくたちも、もう中学生だ
次男,体力も経験も知識も身についてきた
三男,そのとおり
長男,三人でお父さんを倒そう
次男,賛成
三男,賛成
父,三人とも、今日も特訓するぞ！俺が出す課題をしっかりこなすんだぞ！
三つ子,……
長男,お父さん
父,なんだ？
次男,ぼくたち、もうお父さんには従わないことにした
父,……なんだと！？
三男,ぼくたち、それぞれ好きな道を歩ませてもらうよ
父,フッ……お前たちもとうとう反抗期を迎えたというわけか。いいだろう、好きにしろ……。――なんていうと思うか！？。いいか、子供には親の期待に応える義務があるんだ！。俺の夢を果たさず、好きな道を歩むなんて、そんな勝手を許すわけないだろう！。まだまだ俺も若いし、力ずくでいうことを聞かせられるんだからな！
次男,兄さん、ここはぼくが
父,ふん、学者にするために勉強ばかりさせていたお前が、俺に敵うわけないだろう！。覚悟しろ！
次男,顎にこの角度から打撃を当てれば、脳みそが揺らぐはず
父,えっ……！？
次男,続いて、痛覚が集中してるところに打撃を集中させる
父,いだっ、いだいぃぃぃぃぃぃっ！
次男,あとはお父さんの重心をずらして、バランスを崩せば、簡単に倒れる
父,あぎゃっ！
次男,てこの原理を使ってお父さんの腕を……
父,折れる、折れる！やめてくれ、折らないでくれぇ！。な、なんで……！？勉強ばかりしてたくせに、なんでこんな強いんだ……！？
次男,だってぼく、勉強は大嫌いだったけど、勉強ばかりさせられてたおかげで。人体の構造や弱点にはずいぶん詳しくなったもの
長男,……
父,――おい、なにしてるんだ？
長男,ぼくお父さんに格闘技やらされてたでしょ。才能はなかったけど。だけど、お父さんのおかげで動体視力や一瞬の判断力は鍛えられたから。弟にやられるお父さんの一瞬一瞬の姿を捉えて、絵に描いてるんだ。これとか、不細工で笑えるよね
父,こ、こいつ……！親を侮辱するようなマネしやがって……！
長男,ハハハ、悔しがってる、悔しがってる
次男,いいね、兄さん。どうせお父さん動けないし、もっと描いてやってよ
三男,お父さん、プレゼント
父,うえっ……！？な、なんだこりゃ……！？
三男,画用液だよ。テレピン油――別名松精油、松脂から精製された油さ。化学式にするとC10H16。画材とはいえ油だからね。今のお父さん、きっとよく燃えると思うんだ
父,な……！？お前、いつの間にそんな知識を……！？
三男,絵ばかり描かされてたストレスを解消するために、色々勉強してたんだよ。薬品や化学式って、ホント面白いよね。じゃあ、燃やしちゃおうか
次男,やっちゃえ、やっちゃえ
父,や、やめて……やめてくれぇ……！
長男,その恐怖に歪んだ表情、いいね。スケッチしがいがある
父,あああ……ひいいっ！やめてくれっ！描かないでくれえっ！。すまなかった……お父さんが、俺が悪かったぁっ！ごめんなさいっ！
長男,話が早くて助かるよ。さすが、ぼくたちのお父さんだ。じゃあ、ぼくたちからの要求を伝えるよ。一つ、これからはもう
次男,ぼくたちはお父さんに従わない
三男,好きなように生きる
父,も、もちろんだ！もう何も言わない！好きなように生きてくれ！
長男,それからもう一つ
次男,お母さんに暴力振るうな
三男,きちんと謝れ
父,わ、分かってる……ちゃんと謝る！もう二度とビンタしたりしない！
長男,もし、お父さんがこれらの要求を守らなかった場合
次男,次からは容赦なく折るし
三男,燃やすし
長男,描かせてもらう。お父さんのみじめな姿をたっぷりと
父,ひ、ひいいいっ！分かりましたっ！分かりましたぁぁぁ……っ！
司会,本日の番組のゲストは、今大活躍中の三つ子の皆さんと、そのお父様です！。長男さんは事物の一瞬の姿を捉え、美しく大胆な構図で描く天才画家！。次男さんは合理的で最小限の動きで相手を倒す、天才格闘家！。三男さんは新しい薬品や有用な化学物質を次々開発する、天才学者として――。それぞれの分野で、華々しく活躍されております！。やはり、お三方とも幼い頃から夢に向かってまい進してこられたのでしょうか？
長男,おっしゃるとおりです。全てお父さんの教育のたまものです。ぼくたち三人で
次男,お父さんの果たせなかった夢を
三男,叶えることができて嬉しいです
司会,おぉ～……これはお父様としては本当に嬉しい言葉ですね！
父,……はい
