北与野博士,つ、ついに完成したぞ！私の長年の研究が実を結んだんだ！バンザーイ！
しんのすけ,トオルちゃん、一緒に帰ろ～
風間,分かったからその気持ち悪い口調をやめろ！
しんのすけ,もう、素直じゃないんだから
風間,ったく……そういやしんのすけ、お前大学はどうするんだ？
しんのすけ,ずいぶんと唐突だな風間くん
風間,それを言うなら……って合ってるか。たまにはクソ真面目な話したっていいだろ？
しんのすけ,オラなんかそういうの苦手。照れくさいしオラの父ちゃん足くさいし
風間,でも必要な話だよ
しんのすけ,ほーい
風間,だって、僕らもう高3、しかももうすぐ12月だぜ？そろそろ志望校決めないと……。……ってあれ、しんのすけいない
しんのすけ,ねえねえおねいさんおねいさん
おねいさん,ええ？。はあ
しんのすけ,ラーメンは豚骨派？醤油派？
おねいさん,し、塩かな
しんのすけ,おお！気が合いますな。よかったらオラと一緒にラーメン巡りの旅に……
風間,しんのすけ！僕の話をちゃんと聞けよ！
しんのすけ,しょうがないなあ、せっかく綺麗なおねいさんとデートできそうだったのに
風間,なわけないだろ！見てみろ！お姉さんだってあんなに迷惑そうな顔を……
おねいさん,……
風間,あんたも満更でもないのかよ！。コホン！では改めて
しんのすけ,顔も赤らめて
風間,ええい！赤らめるな気色が悪い！
しんのすけ,あ、まさか……あなた他に男ができたの！？
風間,ああ、残念だけど、僕たち別れよう……ってちがーう！
しんのすけ,で、話ってなんなの？風間くんったらいつになっても本題に入らないんだから
風間,お前が話を逸らすんだろーが！
しんのすけ,あらま
風間,あらまじゃないんだよ！あらまじゃっ！。はあ……はあ……んで、大学どうするんだ？しんのすけは
しんのすけ,大学かあ……あんまり考えてないや
風間,ええ？もう今11月だぜ？
しんのすけ,ていうか、大学いかないかも
風間,ええ！？それはまずいだろう
しんのすけ,ほうほう。何がどうまずいの？
風間,お前なあ。このご時世、それなりの大学は卒業してないと社会から必要とされないんだぞ？。それに僕らが通ってるのは進学校だから、大学に入らない生徒なんてまずいないよ
しんのすけ,じゃあオラ、この学校で唯一の高卒になれるんだな！やったァ！
風間,相変わらず呑気なやつだなあ。……なあしんのすけ、誰かに尾行されてるような気がしないか？
しんのすけ,しない
風間,あ、そ……じゃ、思い過ごしかな
しんのすけ,そうだ風間くん、オラの家に寄ってかない？
風間,しんのすけの家か……そうだな、久しぶりに行こうかな
しんのすけ,……い、いやらしいこと考えないでね！
風間,考えるかっ！
しんのすけ,おかえリチャード・ギアに一度でいいから間違われたい
風間,おじゃましまーす……。誰もいないのか？
しんのすけ,いや、いる。わずかだけど、気を感じる。さては妖怪昼寝女になってるな
ひまわり,ぐ～……すぴ～zzz……
風間,あれ、ひまわりちゃんもう帰ってるんだ
しんのすけ,テスト期間だから
風間,しかし凄い寝相だな……
しんのすけ,……い、いやらしいこと考えないでねっ！
風間,考えねーよっ！！
しんのすけ,さてと。すう……はあ……
風間,？
しんのすけ,あ！キアヌリーブスが脱いでる！
ひまわり,！！？！！？？。え！？どこどこ！？キアヌリーブスどこにいるの！！？？。……
風間,……
しんのすけ,よ！
ひまわり,……
しんのすけ,……み、みさえ譲りのげんこつ……
ひまわり,ったくロクな起こし方しないんだから。！
風間,……あ、ひまわりちゃん、おじゃましてるね
ひまわり,……あんただれ？
しんのすけ,こら！ひまわり！
風間,いいんだよしんのすけ別に。僕はなんとも……
しんのすけ,あんたじゃなくて、トオルちゃんって呼びなさい！
風間,ちがああああうっ！！！
ひまわり,あはは、ごめんなさい！ちょっとしたジョークってやつ！？
しんのすけ,そうだそうだ！かるいジョークだゾ！苦情は受け付けてないよ！
ひまわり,じゃ、風間くん、ごゆっくり～
しんのすけ,風間くんはここでくつろいでて。ちょっと物を取ってくる
風間,うん
しんのすけ,……
風間,な、なんだよ
しんのすけ,ひまわりの抜け毛食べないでね
風間,食べないよっっ！ゴキブリじゃねえんだから！
しんのすけ,ほっ
風間,なんだよそのマジで安心した感じのほっは
