・このSSは,静・ジョースターの奇妙な日常
前に見た時よりも遥かに健康そうでいて,肌は相変わらず青白かったが
静,路地裏の塵から人のDNAを検出……犯人は大型の火炎放射器を所持している可能性あり……か。フーン。怖い事件もあるもんねェ……これ、メイのやつがやったんじゃあないでしょうね？血を吸った死体の証拠隠滅とか、そんなんで……
仗助,う～～んッ！。東方仗助！完全復活ッ！っスよ～～ッ！！
静,……兄さんはノンキねぇ
仗助,いや、実際結構怖かったんだけどよ～～ッ、傷を部品でうめるとか、ヘンな菌とか入んねーか心配で心配で……終わっちまえば、スゲェー便利な能力だぜッ！マジにグレート、おれの遠い親戚さんよ～～ッ！あ、静新聞貸してくれ
静,ハァ～～ッ……お見舞いに行く途中、命狙われたりして散々だったのに……必死こいて来ればもう退院なんて、なんかやるせないわねーッ
仗助,何だあ？仗助兄さんがゲンキに退院したんだからよーッ、もうちょい喜んでもいいんじゃあねーのかぁ？
静,喜んでるわよ、マジに。……まぁ、病室で兄さんがガイジンのおねーさんに触られて悶えてたのを見た時は、兄さん、ついに一線超えちまったか～～ッ！？って悲しくなったけどね
仗助,誤解だっつーの！あれは治療であって、別にヤラシー意味はねーよ！
静,どうだか……兄さん女っ気ないからねー。なんか結構飢えてそう。気高く無いゲスい感じでさ。……あ！あたしをそーいう目で見るの禁止だからねッ！？いくら静ちゃんがカワイイっつってもさーッ！それとも禁断の愛とか燃えるタイプ？あたしそーいうのナシだかね、ナシッ！
仗助,見ねーよ。オメーみてーなチンチクリンの、どこに魅力があるんだァ～～？
静,……うう、痛むわ。なんか色んな所が痛む……
仗助,？オメーの怪我ならよー、病室で完ペキに治してやっただろ？おれがよ～～ッ。まだどっか痛む所でもあんのか？
静,……うーん、兄さんってさ～～ッ、なんかそーいう、鈍感で遠回しな言い方に気付かない所、スッゲェーマイナスポイントよね
仗助,？
静,いい？今シクシク痛んでいるのはね……あたしの無垢な可愛い女の子の気持ちって、やつなのよ……
仗助,静、そこの醤油取ってくれ
静,聞いてよッ！あたしの乙女心をもうちょい理解しようとしてよッ！
仗助,あー、はいはい。静は可愛い、カワイイ
静,クッソー……今日から牛乳飲む量、1リットルから2リットルに増やしてやるからね。はい醤油
仗助,牛乳飲んでもチチはでかくならねーらしいぞ？ん、ありがとう
静,……身長の話だし。あたしすでにグラマーだし
仗助,あー、はいはい身長な。身長だようん。それにしてもよ～～
静,何？もうすぐ星座占い始まるんだから、話は後にしてよねーッ
仗助,いや、大したことじゃあねーんだ。……オメー昨日大怪我して病室来たワリには、血があんま出てなかったな、と思ってよ……
静,？……今さら何言ってんのォ？
仗助,うん？
静,波紋で傷口の血を止めて、ついでに痛みも抑えてたってだけよ。兄さんもジョースター家の人なんだから、そんくらいラクショーでしょ？
仗助,……ああ、波紋か……
静,そーいや昨日承太郎さんにも聞かれたなぁ。静、お前は波紋が使えるのか？って真剣な顔で……何よ、あたしもジョースター家のモンだってのッ。ジョースターじゃあないヤツは、波紋使ったらイケナイっていう法でもあるっての？フンッ
仗助,……うーん……
静,あーッ、牡牛座最下位じゃん……ラッキーアイテムはフランス料理ィ？そこはせめてイタリア料理にしてよね～～ッ。いいなー、双子座は3位じゃん。きっと良い事あるよ、兄さんは……
仗助,静のやつ……ジョースター家の者は全員波紋が使えると、思い込んでいるんだな。……実は静しか波紋が使えないと知ると……なんつーか、厄介な事になりそうだよなァ……
静,兄さん、今日晩ご飯フランス料理にしよう。ちょっとでも運勢良くしないと……
仗助,承太郎さんには、頭が痛い事だろうなあ……ま、その勘違いがありがたい事でもあるんだが……
静,……兄さん？ちょっと、何ボケーっとしてんのよ？
仗助,あんッ？ああ、何か言ったか？
静,……大丈夫？まだ傷痛むの？病院付き添おうか？
仗助,いや！大丈夫ダイジョーブ！傷はもう何ともねーぜ！ちょっと考え事しててよ～～ッ！
静,……ならいいんだけど……
仗助,で、何の話だったか？
静,別に……今日晩ご飯何食べる？って話
仗助,ああ、晩ご飯なァ……すまねえ静
静,はい？
仗助,今日おれよォ～～、ちょっと昼から出かける予定でよーッ……晩まで長引くかもしんねーから、メシは勝手に作ってくれよ
静,……あのさ、兄さん。……その予定がデートとかお見合いとか……女の子と遊びに行くっていうんなら、あたし妹として祝福するよ？赤飯炊いてあげる。けど……
仗助,けど？
